"English","Italian","IPA","Tags"
"Ketchup","Ketchup","ˈkɛt.tʃap","sauce"
"Mayonnaise","Maionese","ma.joˈneːze","sauce"
"Mustard","Senape","ˈsɛ.na.pe","sauce"
"Barbecue Sauce","Salsa barbecue","ˈsal.sa ˈbar.be.kju","sauce"
"Soy Sauce","Salsa di soia","ˈsal.sa di ˈsɔ.ja","sauce"
"Hot Sauce","Salsa piccante","ˈsal.sa piˈkan.te","sauce"
"Worcestershire Sauce","Salsa Worcestershire","ˈsal.sa ˈwɔr.tʃɛ.stər.ʃaɪr","sauce"
"Pesto","Pesto","ˈpɛsto","sauce"
"Marinara Sauce","Salsa marinara","ˈsal.sa ma.riˈnaːra","sauce"
"Alfredo Sauce","Salsa Alfredo","ˈsal.sa alˈfreːdo","sauce"
"Ranch Dressing","Salsa ranch","ˈsal.sa rantʃ","sauce"
"Caesar Dressing","Salsa Caesar","ˈsal.sa ˈtʃeːsar","sauce"
"Vinaigrette","Vinaigrette","vinaˈɡrɛt","sauce"
"Tartar Sauce","Salsa tartara","ˈsal.sa ˈtar.ta.ra","sauce"
"Aioli","Aioli","aiˈɔːli","sauce"
"Guacamole","Guacamole","ɡwakaˈmɔle","sauce"
"Sour Cream","Panna acida","ˈpan.na ˈa.tʃi.da","sauce"
"Chimichurri","Chimichurri","kimiˈtʃurri","sauce"
"Teriyaki Sauce","Salsa teriyaki","ˈsal.sa te.rjaˈki","sauce"
"Buffalo Sauce","Salsa buffalo","ˈsal.sa ˈbuf.fa.lo","sauce"
"Honey Mustard","Salsa miele e senape","ˈsal.sa ˈmjɛ.le e ˈsɛ.na.pe","sauce"
"Remoulade","Remoulade","remuˈlad","sauce"
"Sweet and Sour Sauce","Salsa agrodolce","ˈsal.sa aɡroˈdol.tʃe","sauce"
"Hoisin Sauce","Salsa hoisin","ˈsal.sa ɔjˈsin","sauce"
"Salsa Verde","Salsa verde","ˈsal.sa ˈvɛr.de","sauce"
"Salsa Roja","Salsa roja","ˈsal.sa ˈrɔ.xa","sauce"
"Salsa di Pomodoro","Salsa di pomodoro","ˈsal.sa di pomoˈdɔːro","sauce"
"Carbonara Sauce","Salsa carbonara","ˈsal.sa kar.boˈnaːra","sauce"
"Putanesca Sauce","Salsa puttanesca","ˈsal.sa put.taˈnes.ka","sauce"
"Béchamel Sauce","Besciamella","be.ʃaˈmel.la","sauce"
"Gravy","Salsa gravy","ˈsal.sa ˈɡre.vi","sauce"
"Brown Sauce","Salsa bruna","ˈsal.sa ˈbruː.na","sauce"
