"English","Italian","IPA","Tags"
"Basil","Basilico","baˈziːliko","spice"
"Parsley","Prezzemolo","pretˈtseːmolo","spice"
"Oregano","Origano","oˈriɡano","spice"
"Rosemary","Rosmarino","rozmaˈriːno","spice"
"Thyme","Timo","ˈtiːmo","spice"
"Sage","Salvia","ˈsalvja","spice"
"Mint","Menta","ˈmɛnta","spice"
"Dill","Aneto","aˈneːto","spice"
"Coriander","Coriandolo","koˈrjandolo","spice"
"Cilantro","Coriandolo","koˈrjandolo","spice"
"Chives","Erba cipollina","ˈɛrba tʃipolˈlina","spice"
"Tarragon","Dragoncello","draɡonˈtʃɛllo","spice"
"Bay leaf","Alloro","alˈlɔːro","spice"
"Marjoram","Maggiorana","maddʒoˈraːna","spice"
"Savory","Santoreggia","santoˈrɛddʒa","spice"
"Lovage","Levistico","leˈvistiko","spice"
"Fennel","Finocchio","fiˈnɔkkjo","spice"
"Caraway","Carvi","ˈkarvi","spice"
"Anise","Anice","ˈaniʧe","spice"
"Cumin","Cumino","kuˈmiːno","spice"
"Paprika","Paprika","ˈpaprika","spice"
"Black pepper","Pepe nero","ˈpepe ˈneːro","spice"
"White pepper","Pepe bianco","ˈpepe ˈbjaŋko","spice"
"Pink pepper","Pepe rosa","ˈpepe ˈrɔːza","spice"
"Green pepper","Pepe verde","ˈpepe ˈverde","spice"
"Chili pepper","Peperoncino","peperonˈtʃiːno","spice"
"Cayenne pepper","Peperoncino di Cayenna","peperonˈtʃiːno di kaˈjɛnna","spice"
"Szechuan pepper","Pepe di Sichuan","ˈpepe di siˈʃwan","spice"
"Long pepper","Pepe lungo","ˈpepe ˈluŋɡo","spice"
"Allspice","Pimento","piˈmɛnto","spice"
"Nutmeg","Noce moscata","ˈnoːtʃe mosˈkaːta","spice"
"Mace","Macis","ˈmaːtʃis","spice"
"Clove","Chiodo di garofano","ˈkjɔːdo di ɡaˈrofano","spice"
"Cinnamon","Cannella","kanˈnɛlla","spice"
"Cassia","Cassia","ˈkasːja","spice"
"Cardamom","Cardamomo","kardaˈmɔːmo","spice"
"Ginger","Zenzero","ˈdzɛndzero","spice"
"Turmeric","Curcuma","ˈkurkuma","spice"
"Galangal","Galingale","ɡaliŋˈɡale","spice"
"Saffron","Zafferano","dzaffeˈraːno","spice"
"Sumac","Sommacco","somˈmakko","spice"
"Fenugreek","Fieno greco","ˈfjɛno ˈɡrɛːko","spice"
"Mustard seed","Senape","ˈsɛːnape","spice"
"Horseradish","Rafano","ˈrafano","spice"
"Wasabi","Wasabi","waˈsabi","spice"
"Curry leaves","Foglie di curry","ˈfoʎʎe di ˈkurri","spice"
"Curry powder","Polvere di curry","ˈpolvere di ˈkurri","spice"
"Garlic","Aglio","ˈaʎʎo","spice"
"Shallot","Scalogno","skaˈloɲɲo","spice"
"Onion powder","Polvere di cipolla","ˈpolvere di tʃiˈpolla","spice"
"Celery seed","Semi di sedano","ˈsɛːmi di ˈsɛːdano","spice"
"Ajwain","Ajowan","adʒˈwan","spice"
"Asafoetida","Assafetida","assaˈfɛːtida","spice"
"Nigella","Nigella","niˈdʒɛlla","spice"
