"English","Italian","IPA","Tags"
"It's 1:00 PM.","È l'una.","[ɛ ˈluna]","Talking_Time"
"It's 2:00 PM.","Sono le due.","[ˈsono le ˈdu.e]","Talking_Time"
"It's 3:00 PM.","Sono le tre.","[ˈsono le ˈtrɛ]","Talking_Time"
"It's 4:00 PM.","Sono le quattro.","[ˈsono le ˈkwattro]","Talking_Time"
"It's 5:00 PM.","Sono le cinque.","[ˈsono le ˈtʃiŋkwe]","Talking_Time"
"It's 6:00 PM.","Sono le sei.","[ˈsono le ˈsɛi]","Talking_Time"
"It's 7:00 PM.","Sono le sette.","[ˈsono le ˈsɛtte]","Talking_Time"
"It's 8:00 PM.","Sono le otto.","[ˈsono le ˈɔtto]","Talking_Time"
"It's 9:00 PM.","Sono le nove.","[ˈsono le ˈnɔve]","Talking_Time"
"It's 10:00 PM.","Sono le dieci.","[ˈsono le ˈdjɛtʃi]","Talking_Time"
"It's 11:00 PM.","Sono le undici.","[ˈsono le ˈunditʃi]","Talking_Time"
"It's noon.","È mezzogiorno.","[ɛ mettsodʒorˈno]","Talking_Time"
"It's midnight.","È mezzanotte.","[ɛ mettsaˈnɔtte]","Talking_Time"
"It's 1:15.","È l'una e un quarto.","[ɛ ˈluna e un ˈkwarto]","Talking_Time"
"It's 1:30.","È l'una e mezza.","[ɛ ˈluna e ˈmɛddza]","Talking_Time"
"It's 1:45.","Sono le due meno un quarto.","[ˈsono le ˈdu.e ˈmeno un ˈkwarto]","Talking_Time"
"It's 2:15.","Sono le due e un quarto.","[ˈsono le ˈdu.e e un ˈkwarto]","Talking_Time"
"It's 2:30.","Sono le due e mezza.","[ˈsono le ˈdu.e e ˈmɛddza]","Talking_Time"
"It's 2:45.","Sono le tre meno un quarto.","[ˈsono le ˈtrɛ ˈmeno un ˈkwarto]","Talking_Time"
"It's 3:15.","Sono le tre e un quarto.","[ˈsono le ˈtrɛ e un ˈkwarto]","Talking_Time"
"It's 3:30.","Sono le tre e mezza.","[ˈsono le ˈtrɛ e ˈmɛddza]","Talking_Time"
"It's 3:45.","Sono le quattro meno un quarto.","[ˈsono le ˈkwattro ˈmeno un ˈkwarto]","Talking_Time"
"It's 4:15.","Sono le quattro e un quarto.","[ˈsono le ˈkwattro e un ˈkwarto]","Talking_Time"
"It's 4:30.","Sono le quattro e mezza.","[ˈsono le ˈkwattro e ˈmɛddza]","Talking_Time"
"It's 4:45.","Sono le cinque meno un quarto.","[ˈsono le ˈtʃiŋkwe ˈmeno un ˈkwarto]","Talking_Time"
"It's 5:15.","Sono le cinque e un quarto.","[ˈsono le ˈtʃiŋkwe e un ˈkwarto]","Talking_Time"
