"English","Italian","IPA","Tags","Notes"
"Apple","Mela","ˈmɛ.la","fruit","A sweet, crisp fruit often red, green, or yellow."
"Banana","Banana","baˈnaːna","fruit","A long, yellow fruit with a soft, sweet interior."
"Orange","Arancia","aˈran.tʃa","fruit","A round, orange citrus fruit known for its juicy and tangy flavor."
"Grape","Uva","ˈu.va","fruit","Small, round fruit often used to make wine."
"Strawberry","Fragola","ˈfra.ɡo.la","fruit","A red, heart-shaped fruit with tiny seeds on its surface."
"Watermelon","Anguria","anˈɡu.rja","fruit","A large, green fruit with a sweet, juicy red interior."
"Pineapple","Ananas","aˈna.nas","fruit","A tropical fruit with spiky skin and sweet, tangy yellow flesh."
"Cherry","Ciliegia","tʃiˈlje.dʒa","fruit","A small, round fruit that is red or black and sweet or tart."
"Lemon","Limone","liˈmo.ne","fruit","A yellow citrus fruit known for its sour taste."
"Lime","Lime","laim","fruit","A small, green citrus fruit with a tart flavor."
"Peach","Pesca","ˈpɛs.ka","fruit","A soft, fuzzy fruit with sweet, juicy flesh."
"Pear","Pera","ˈpe.ra","fruit","A sweet, bell-shaped fruit with a soft texture."
"Plum","Prugna","ˈpruɲ.ɲa","fruit","A small, round fruit with smooth skin and sweet flesh."
"Kiwi","Kiwi","ˈki.wi","fruit","A small, brown fruit with green, tangy flesh."
"Mango","Mango","ˈmaŋ.ɡo","fruit","A tropical fruit with sweet, orange flesh and a large pit."
"Blueberry","Mirtillo","mirˈtil.lo","fruit","A small, round, blue fruit with a sweet flavor."
"Raspberry","Lampone","lamˈpo.ne","fruit","A small, red fruit made up of tiny drupelets."
"Blackberry","Mora","ˈmɔ.ra","fruit","A dark purple fruit made up of tiny drupelets."
"Cantaloupe","Melone","meˈlo.ne","fruit","A melon with orange, sweet flesh and a netted rind."
"Coconut","Noce di cocco","ˈno.tʃe di ˈkɔk.ko","fruit","A large, brown fruit with a hard shell and white interior."
"Fig","Fico","ˈfi.ko","fruit","A soft, sweet fruit with a thin skin and many seeds."
"Pomegranate","Melograno","meloˈɡra.no","fruit","A fruit with a tough outer skin and juicy, red seeds inside."
"Apricot","Albicocca","albiˈkɔk.ka","fruit","A small, orange fruit with a sweet and tangy flavor."
