"English","Italian","IPA","Tags","Notes"
"Ketchup","Salsa di pomodoro dolce","ˈsal.sa di po.moˈdɔː.ro ˈdol.tʃe","sauce","A sweet and tangy tomato-based sauce."
"Mayonnaise","Maionese","ma.joˈneːze","sauce","A creamy sauce made from eggs, oil, and vinegar or lemon juice."
"Mustard","Senape","ˈsɛ.na.pe","sauce","A tangy and spicy yellow or brown condiment."
"Barbecue Sauce","Salsa barbecue","ˈsal.sa ˈbar.be.kju","sauce","A smoky and sweet sauce often used for grilling."
"Soy Sauce","Salsa di soia","ˈsal.sa di ˈsɔ.ja","sauce","A salty, fermented sauce made from soybeans."
"Hot Sauce","Salsa piccante","ˈsal.sa piˈkan.te","sauce","A spicy sauce made from chili peppers."
"Worcestershire Sauce","Salsa inglese","ˈsal.sa iŋˈɡle.se","sauce","A savory sauce with a complex flavor profile."
"Pesto","Pesto","ˈpɛsto","sauce","A green sauce made from basil, garlic, pine nuts, and cheese."
"Marinara Sauce","Salsa marinara","ˈsal.sa ma.riˈnaːra","sauce","A tomato-based sauce with garlic and herbs."
"Alfredo Sauce","Salsa Alfredo","ˈsal.sa alˈfreːdo","sauce","A creamy white sauce made with butter, cream, and cheese."
"Ranch Dressing","Salsa ranch","ˈsal.sa rantʃ","sauce","A creamy dressing with herbs and spices."
"Caesar Dressing","Salsa Caesar","ˈsal.sa ˈtʃeːsar","sauce","A tangy dressing made with anchovies, garlic, and Parmesan."
"Vinaigrette","Vinaigrette","vinaˈɡrɛt","sauce","A dressing made from oil and vinegar."
"Tartar Sauce","Salsa tartara","ˈsal.sa ˈtar.ta.ra","sauce","A creamy sauce with pickles and capers."
"Aioli","Aioli","aiˈɔːli","sauce","A garlic-flavored mayonnaise."
"Guacamole","Guacamole","ɡwakaˈmɔle","sauce","A creamy avocado-based dip."
"Sour Cream","Panna acida","ˈpan.na ˈa.tʃi.da","sauce","A tangy, fermented cream."
"Chimichurri","Chimichurri","kimiˈtʃurri","sauce","A green sauce made with parsley, garlic, and vinegar."
"Teriyaki Sauce","Salsa teriyaki","ˈsal.sa te.rjaˈki","sauce","A sweet and savory Japanese sauce."
"Buffalo Sauce","Salsa buffalo","ˈsal.sa ˈbuf.fa.lo","sauce","A spicy and tangy sauce made with hot sauce and butter."
"Honey Mustard","Salsa miele e senape","ˈsal.sa ˈmjɛ.le e ˈsɛ.na.pe","sauce","A sweet and tangy sauce made with honey and mustard."
"Remoulade","Remoulade","remuˈlad","sauce","A tangy and creamy sauce with herbs and pickles."
"Sweet and Sour Sauce","Salsa agrodolce","ˈsal.sa aɡroˈdol.tʃe","sauce","A tangy and sweet sauce often used in Asian cuisine."
"Hoisin Sauce","Salsa hoisin","ˈsal.sa ɔjˈsin","sauce","A sweet and savory Chinese sauce."
"Salsa Verde","Salsa verde","ˈsal.sa ˈvɛr.de","sauce","A green sauce made with herbs and olive oil."
"Salsa Roja","Salsa roja","ˈsal.sa ˈrɔ.xa","sauce","A red sauce made with tomatoes and chili peppers."
"Salsa di Pomodoro","Salsa di pomodoro","ˈsal.sa di pomoˈdɔːro","sauce","A classic Italian tomato sauce."
"Carbonara Sauce","Salsa carbonara","ˈsal.sa kar.boˈnaːra","sauce","A creamy sauce made with eggs, cheese, and pancetta."
"Putanesca Sauce","Salsa puttanesca","ˈsal.sa put.taˈnes.ka","sauce","A tangy sauce with olives, capers, and anchovies."
"Béchamel Sauce","Besciamella","be.ʃaˈmel.la","sauce","A creamy white sauce made with milk and flour."
"Gravy","Salsa gravy","ˈsal.sa ˈɡre.vi","sauce","A savory sauce made from meat drippings."
"Brown Sauce","Salsa bruna","ˈsal.sa ˈbruː.na","sauce","A rich and savory sauce often used in British cuisine."
"Cranberry Sauce","Salsa di mirtilli rossi","ˈsal.sa di mirˈtil.li ˈros.si","sauce","A sweet and tangy sauce made from cranberries."
"Tzatziki","Tzatziki","tsatˈtsiːki","sauce","A creamy yogurt-based sauce with cucumber and garlic."
"Tahini Sauce","Salsa tahina","ˈsal.sa taˈi.na","sauce","A creamy sauce made from sesame seeds."
"Romesco Sauce","Salsa romesco","ˈsal.sa roˈmes.ko","sauce","A Spanish sauce made with nuts, peppers, and tomatoes."
"Curry Sauce","Salsa al curry","ˈsal.sa al ˈkur.ri","sauce","A flavorful sauce made with curry spices."
"Peppercorn Sauce","Salsa al pepe verde","ˈsal.sa al ˈpe.pe ˈver.de","sauce","A creamy sauce with green peppercorns."
"Gremolata","Gremolata","ɡremoˈlaːta","sauce","A zesty Italian condiment made with lemon zest, garlic, and parsley."
"Mole Sauce","Salsa mole","ˈsal.sa ˈmo.le","sauce","A rich Mexican sauce made with chili peppers and chocolate."
"Ponzu Sauce","Salsa ponzu","ˈsal.sa ˈpon.dzu","sauce","A tangy Japanese sauce made with citrus and soy."
"Chili Sauce","Salsa chili","ˈsal.sa ˈtʃi.li","sauce","A spicy sauce made with chili peppers."
"Garlic Sauce","Salsa all'aglio","ˈsal.sa alˈlaʎ.ʎo","sauce","A creamy sauce flavored with garlic."
"Mornay Sauce","Salsa Mornay","ˈsal.sa mɔrˈnɛ","sauce","A cheesy variation of béchamel sauce."
"Blue Cheese Dressing","Salsa al formaggio blu","ˈsal.sa al forˈmad.dʒo blu","sauce","A creamy dressing with blue cheese."
"French Dressing","Salsa francese","ˈsal.sa franˈtʃeːze","sauce","A tangy and sweet salad dressing."
"Salsa Rosa","Salsa rosa","ˈsal.sa ˈrɔːza","sauce","A pink sauce made with mayonnaise and ketchup."
"Cocktail Sauce","Salsa cocktail","ˈsal.sa kɔkˈtɛl","sauce","A tangy sauce often served with seafood."
"Satay Sauce","Salsa satay","ˈsal.sa saˈtai","sauce","A peanut-based sauce often used in Southeast Asian cuisine."
"Plum Sauce","Salsa di prugne","ˈsal.sa di ˈpruɲ.ɲe","sauce","A sweet and tangy sauce made from plums."
"Yogurt Sauce","Salsa allo yogurt","ˈsal.sa alˈlo ˈjo.ɡurt","sauce","A creamy sauce made with yogurt."
"Harissa","Harissa","aˈris.sa","sauce","A spicy North African chili paste."
"Sriracha","Sriracha","sriˈra.tʃa","sauce","A hot sauce made from chili peppers, vinegar, and garlic."
"Fish Sauce","Salsa di pesce","ˈsal.sa di ˈpeʃ.ʃe","sauce","A salty, fermented sauce made from fish."
"Chutney","Chutney","ˈtʃat.nej","sauce","A sweet and tangy condiment made with fruits and spices."
"Pico de Gallo","Pico de gallo","ˈpi.ko de ˈɡal.lo","sauce","A fresh Mexican salsa made with tomatoes, onions, and cilantro."
"Walnut Sauce","Salsa di noci","ˈsal.sa di ˈno.tʃi","sauce","A creamy sauce made with walnuts."
"Mushroom Sauce","Salsa di funghi","ˈsal.sa di ˈfuŋ.ɡi","sauce","A savory sauce made with mushrooms."
"Onion Sauce","Salsa di cipolle","ˈsal.sa di tʃiˈpol.le","sauce","A sweet and savory sauce made with onions."
"Black Pepper Sauce","Salsa di pepe nero","ˈsal.sa di ˈpe.pe ˈne.ro","sauce","A spicy sauce made with black pepper."
"Anchovy Sauce","Salsa di acciughe","ˈsal.sa di atˈtʃu.ɡe","sauce","A salty sauce made with anchovies."
"Gorgonzola Sauce","Salsa di gorgonzola","ˈsal.sa di ɡor.ɡonˈdzo.la","sauce","A creamy sauce made with Gorgonzola cheese."
"Lemon Sauce","Salsa al limone","ˈsal.sa al liˈmo.ne","sauce","A tangy sauce made with lemon juice."
"Red Wine Sauce","Salsa al vino rosso","ˈsal.sa al ˈvi.no ˈros.so","sauce","A rich sauce made with red wine."
"Butter and Sage Sauce","Salsa al burro e salvia","ˈsal.sa al ˈbur.ro e ˈsal.vja","sauce","A simple sauce made with butter and sage."
"Soffritto Sauce","Salsa di soffritto","ˈsal.sa di sofˈfrit.to","sauce","A base sauce made with sautéed onions, carrots, and celery."
"Artichoke Sauce","Salsa di carciofi","ˈsal.sa di karˈtʃɔ.fi","sauce","A creamy sauce made with artichokes."
"Eggplant Sauce","Salsa di melanzane","ˈsal.sa di me.lanˈtsa.ne","sauce","A savory sauce made with eggplants."
"Bell Pepper Sauce","Salsa di peperoni","ˈsal.sa di pepeˈroːni","sauce","A sweet and tangy sauce made with bell peppers."
"Cherry Tomato Sauce","Salsa di pomodorini","ˈsal.sa di pomo.doˈriːni","sauce","A fresh sauce made with cherry tomatoes."
"Truffle Sauce","Salsa di tartufo","ˈsal.sa di tarˈtu.fo","sauce","A rich and earthy sauce made with truffles."
"Basil Sauce","Salsa di basilico","ˈsal.sa di baˈzi.li.ko","sauce","A fresh and aromatic sauce made with basil."
"Parsley Sauce","Salsa di prezzemolo","ˈsal.sa di pretˈtse.mo.lo","sauce","A light and herby sauce made with parsley."
"Arugula Sauce","Salsa di rucola","ˈsal.sa di ˈru.ko.la","sauce","A peppery sauce made with arugula leaves."
"Spinach Sauce","Salsa di spinaci","ˈsal.sa di spiˈna.tʃi","sauce","A creamy and nutritious sauce made with spinach."
"Pumpkin Sauce","Salsa di zucca","ˈsal.sa di ˈtsuk.ka","sauce","A sweet and savory sauce made with pumpkin."
"Porcini Mushroom Sauce","Salsa di porcini","ˈsal.sa di porˈtʃi.ni","sauce","A rich and flavorful sauce made with porcini mushrooms."
"Broccoli Sauce","Salsa di broccoli","ˈsal.sa di ˈbrɔk.koli","sauce","A healthy and creamy sauce made with broccoli."
"Cauliflower Sauce","Salsa di cavolfiore","ˈsal.sa di ka.volˈfjɔːre","sauce","A mild and creamy sauce made with cauliflower."
"Carrot Sauce","Salsa di carote","ˈsal.sa di kaˈroːte","sauce","A sweet and vibrant sauce made with carrots."
"Zucchini Sauce","Salsa di zucchine","ˈsal.sa di tsukˈkiːne","sauce","A light and fresh sauce made with zucchini."
