"English","Italian","IPA","Tags","Notes"
"Artichoke","Carciofo","/karˈtʃɔfo/","vegetable","A thistle-like vegetable with a tender heart."
"Asparagus","Asparago","/asˈparaɡo/","vegetable","A green stalk vegetable often grilled or steamed."
"Beetroot","Barbabietola","/barbaˈbjɛtola/","vegetable","A root vegetable known for its deep red color."
"Bell pepper","Peperone","/pepeˈroːne/","vegetable","A sweet and colorful vegetable, also called capsicum."
"Bok choy","Bok choy","/bok tʃɔj/","vegetable","A type of Chinese cabbage with green leaves."
"Broccoli","Broccoli","/ˈbrɔkːkoli/","vegetable","A green vegetable with a tree-like structure."
"Brussels sprouts","Cavolini di Bruxelles","/kavoˈlini di bruˈsɛlles/","vegetable","Small, round green vegetables resembling mini cabbages."
"Cabbage","Cavolo","/ˈkaːvolo/","vegetable","A leafy vegetable often used in salads and soups."
"Carrot","Carota","/kaˈrɔta/","vegetable","A crunchy orange root vegetable."
"Cauliflower","Cavolfiore","/kavolˈfjɔre/","vegetable","A white vegetable with a dense, edible head."
"Celery","Sedano","/seˈdano/","vegetable","A green stalk vegetable often used in soups and salads."
"Chard","Bietola","/bjeˈtola/","vegetable","A leafy green vegetable with colorful stems."
"Chili pepper","Peperoncino","/peperoˈtʃiːno/","vegetable","A spicy vegetable used to add heat to dishes."
"Corn","Mais","/mais/","vegetable","A yellow vegetable with kernels on a cob."
"Cucumber","Cetriolo","/tʃeˈtrjolo/","vegetable","A refreshing green vegetable often eaten raw."
"Eggplant","Melanzana","/melanˈdzaːna/","vegetable","A purple vegetable also known as aubergine."
"Endive","Indivia","/inˈdiːvja/","vegetable","A bitter leafy vegetable often used in salads."
"Fennel","Finocchio","/fiˈnɔkkjo/","vegetable","A bulbous vegetable with a mild anise flavor."
"Garlic","Aglio","/ˈaʎʎo/","vegetable","A pungent bulb used as a seasoning."
"Ginger","Zenzero","/ˈdzɛntsero/","vegetable","A spicy root used in cooking and teas."
"Green bean","Fagiolino","/fadʒoˈliːno/","vegetable","A long, slender green vegetable."
"Kale","Cavolo riccio","/ˈkaːvolo ˈrittʃo/","vegetable","A leafy green vegetable rich in nutrients."
"Leek","Porro","/ˈporro/","vegetable","A long, mild-flavored vegetable related to onions."
"Lettuce","Lattuga","/latˈtuɡa/","vegetable","A leafy green vegetable used in salads."
"Mushroom","Fungo","/ˈfuŋɡo/","vegetable","An edible fungus with a variety of types."
"Okra","Gombo","/ˈɡombo/","vegetable","A green pod vegetable often used in stews."
"Onion","Cipolla","/tʃiˈpɔlla/","vegetable","A bulb vegetable with a strong flavor."
"Parsnip","Pastinaca","/pastiˈnaka/","vegetable","A root vegetable similar to a carrot but white."
"Pea","Pisello","/piˈzɛllo/","vegetable","A small, round green vegetable."
"Potato","Patata","/paˈtata/","vegetable","A starchy tuber used in many dishes."
"Pumpkin","Zucca","/ˈzukka/","vegetable","A large orange vegetable often used in pies."
"Radish","Ravanello","/ravaˈnɛllo/","vegetable","A small, spicy root vegetable."
