"Cloze","Back Extra","Tags"
"Subject pronouns: {{c1::io}}, {{c2::tu}}, {{c3::lui}}, {{c4::lei}}, {{c5::noi}}, {{c6::voi}}, {{c7::loro}}","Subject pronouns identify who performs the action; often dropped unless needed for clarity.","A1-Grammar-Foundations-Flashcards, Subject Pronouns"
"'Lei' vs 'lei': {{c1::Lei}} parla con rispetto, mentre {{c2::lei}} è una ragazza.","'Lei' is used for formal situations and is capitalized to distinguish it from 'lei' (she).","A1-Grammar-Foundations-Flashcards, Subject Pronouns"
"Definite articles: {{c1::Il}} libro, {{c2::lo}} studente, {{c3::la}} casa, {{c4::i}} libri, {{c5::gli}} amici, {{c6::le}} ragazze.","Definite articles (il, lo, la, i, gli, le) are used based on gender, number, and initial sound of the following noun.","A1-Grammar-Foundations-Flashcards, Articles"
"Indefinite articles: {{c1::un}} libro, {{c2::uno}} studente, {{c3::una}} casa, {{c4::un'}} amica.","Indefinite articles (un, uno, una, un') are used based on gender, number, and initial sound of the following noun.","A1-Grammar-Foundations-Flashcards, Articles"
"Article usage examples: {{c1::il}} libro, {{c2::una}} casa, {{c3::lo}} studente, {{c4::gli}} amici.","Examples of article usage based on gender and number.","A1-Grammar-Foundations-Flashcards, Articles"
"Masculine noun example: il {{c1::libro}}; Feminine noun example: la {{c2::casa}}.","Masculine nouns often end in -o, feminine in -a.","A1-Grammar-Foundations-Flashcards, Gender and Number"
"Plural formation: il {{c1::libro}} → i {{c2::libri}}, la {{c3::casa}} → le {{c4::case}}, la {{c5::classe}} → le {{c6::classi}}.","Masculine: -o → -i, Feminine: -a → -e, Both: -e → -i.","A1-Grammar-Foundations-Flashcards, Gender and Number"
"Adjective agreement: il libro {{c1::rosso}}, la casa {{c2::rossa}}, i libri {{c3::rossi}}, le case {{c4::rosse}}.","Adjectives must agree in gender and number with the noun.","A1-Grammar-Foundations-Flashcards, Gender and Number"
"Negation with 'non': {{c1::Non}} parlo italiano, {{c1::Non}} è qui, {{c1::Non}} ho parlato.","Place 'non' directly before the verb to negate it.","A1-Grammar-Foundations-Flashcards, Negation with non"
"Negation examples: {{c1::Non}} voglio il caffè, {{c1::Non}} siamo stanchi.","Examples of negation in sentences.","A1-Grammar-Foundations-Flashcards, Negation with non"
"Affirmative structure: {{c1::Maria}} {{c2::legge}} il libro.","Subject + Verb + Object structure in affirmative sentences.","A1-Grammar-Foundations-Flashcards, Basic Sentence Structures"
"Negative structure: {{c1::Non}} {{c2::legge}} il libro.","Negation uses 'non' + Verb + Object.","A1-Grammar-Foundations-Flashcards, Basic Sentence Structures"
"Yes/No question: {{c1::Maria}} legge? or {{c2::Che}} Maria legge?","Yes/No questions can be formed by intonation or with 'che'.","A1-Grammar-Foundations-Flashcards, Basic Sentence Structures"
"WH-questions: {{c1::Dove}} vai?, {{c2::Quanto}} costa?, {{c3::Chi}} è?","Common WH-questions include chi, che, dove, quando, perché, come, quanto/a/i/e.","A1-Grammar-Foundations-Flashcards, Common WH-Questions"
"WH-question examples: {{c1::Dove}} vai?, {{c2::Quanto}} costa?","Examples of WH-questions in sentences.","A1-Grammar-Foundations-Flashcards, Common WH-Questions"
"Essere conjugation: Io {{c1::sono}}, Tu {{c2::sei}}, Lui/Lei {{c3::è}}, Noi {{c4::siamo}}, Voi {{c5::siete}}, Loro {{c6::sono}}.","Present tense conjugation of 'essere' (to be).","A1-Grammar-Foundations-Flashcards, Verb essere (to be)"
"Essere in sentences: Io {{c1::sono}} italiano, È {{c2::mezzogiorno}}.","Examples of 'essere' in sentences.","A1-Grammar-Foundations-Flashcards, Verb essere (to be)"
"Avere conjugation: Io {{c1::ho}}, Tu {{c2::hai}}, Lui/Lei {{c3::ha}}, Noi {{c4::abbiamo}}, Voi {{c5::avete}}, Loro {{c6::hanno}}.","Present tense conjugation of 'avere' (to have).","A1-Grammar-Foundations-Flashcards, Verb avere (to have)"
"Avere expressions: {{c1::avere fame}}, {{c2::avere sete}}, {{c3::avere sonno}}.","Common expressions with 'avere'.","A1-Grammar-Foundations-Flashcards, Verb avere (to have)"
"-are verbs: Io {{c1::parlo}}, Tu {{c2::parli}}, Lui/Lei {{c3::parla}}, Noi {{c4::parliamo}}, Voi {{c5::parlate}}, Loro {{c6::parlano}}.","Conjugation patterns for -are verbs (parlare).","A1-Grammar-Foundations-Flashcards, Regular Verb Conjugations"
"-ere verbs: Io {{c1::credo}}, Tu {{c2::credi}}, Lui/Lei {{c3::crede}}, Noi {{c4::crediamo}}, Voi {{c5::credete}}, Loro {{c6::credono}}.","Conjugation patterns for -ere verbs (credere).","A1-Grammar-Foundations-Flashcards, Regular Verb Conjugations"
"-ire verbs: Io {{c1::dormo}}, Tu {{c2::dormi}}, Lui/Lei {{c3::dorme}}, Noi {{c4::dormiamo}}, Voi {{c5::dormite}}, Loro {{c6::dormono}}.","Conjugation patterns for -ire verbs (dormire).","A1-Grammar-Foundations-Flashcards, Regular Verb Conjugations"
"-ire verbs with -isc-: Io {{c1::finisco}}, Tu {{c2::finisci}}, Lui/Lei {{c3::finisce}}, Noi {{c4::finiamo}}, Voi {{c5::finite}}, Loro {{c6::finiscono}}.","For verbs like finire, capire, preferire, add '-isc-' in certain forms.","A1-Grammar-Foundations-Flashcards, Regular Verb Conjugations"
"Near demonstratives: {{c1::questo}} libro, {{c2::questa}} casa, {{c3::questi}} amici, {{c4::queste}} ragazze.","Used for objects close to the speaker.","A1-Grammar-Foundations-Flashcards, Demonstratives"
"Far demonstratives: {{c1::quello}} studente, {{c2::quella}} casa, {{c3::quelli}} amici, {{c4::quelle}} ragazze.","Used for objects far from the speaker.","A1-Grammar-Foundations-Flashcards, Demonstratives"
"Possessive adjectives: La {{c1::mia}} casa, Il {{c2::tuo}} libro, I {{c3::suoi}} amici, La {{c4::nostra}} famiglia, Il {{c5::vostro}} cane, I {{c6::loro}} gatti.","List of possessive adjectives: mio/a, tuo/a, suo/a, nostro/a, vostro/a, loro.","A1-Grammar-Foundations-Flashcards, Possessive Adjectives"
"Possessive examples: La {{c1::tua}} casa è bella, I {{c2::loro}} amici sono simpatici.","Examples of possessive adjectives in sentences.","A1-Grammar-Foundations-Flashcards, Possessive Adjectives"
"Basic prepositions: Vengo {{c1::da}} Roma, Vado {{c2::a}} scuola, Il libro {{c3::di}} Maria.","Basic prepositions (di, a, da, in, con, su, per, tra/fra) indicate relationships.","A1-Grammar-Foundations-Flashcards, Common Prepositions"
"Articulated prepositions: La casa {{c1::della}} ragazza, Vado {{c2::al}} mercato, Sono {{c3::nel}} parco.","Examples of articulated prepositions: di+la = della, a+il = al, in+il = nel.","A1-Grammar-Foundations-Flashcards, Common Prepositions"
"Connectors: Parlo italiano {{c1::e}} inglese, Non parlo francese {{c2::ma}} spagnolo, Vuoi tè {{c3::o}} caffè?","Basic connectors include e, ma, o, anche, perché, quindi.","A1-Grammar-Foundations-Flashcards, Connectors"
"Connector examples: Non parlo francese, {{c1::ma}} parlo spagnolo.","Examples of connectors in sentences.","A1-Grammar-Foundations-Flashcards, Connectors"
"Time expressions: {{c1::ora}} studio, {{c2::oggi}} è lunedì, {{c3::domani}} vado al mercato, {{c4::ieri}} ho studiato, Sono {{c5::sempre}} felice.","Basic time expressions: ora, oggi, domani, ieri, sempre.","A1-Grammar-Foundations-Flashcards, Time Expressions"
"Time examples: Sono {{c1::sempre}} felice, {{c2::oggi}} è una bella giornata.","Examples of time expressions in sentences.","A1-Grammar-Foundations-Flashcards, Time Expressions"
"Politeness: {{c1::Per favore}}, puoi aiutarmi? {{c2::Grazie}} mille! {{c3::Prego}}!","Politeness expressions: per favore/per piacere, grazie, prego.","A1-Grammar-Foundations-Flashcards, Politeness Expressions"
"Politeness examples: {{c1::Grazie}} mille per l'aiuto, {{c2::Mi dispiace}} per il ritardo.","Examples of politeness expressions in context.","A1-Grammar-Foundations-Flashcards, Politeness Expressions"
