"English","Italian","IPA","Tags"
"zero","zero","ˈdzɛ.ro","Numbers"
"one","uno","ˈu.no","Numbers"
"two","due","ˈdu.e","Numbers"
"three","tre","trɛ","Numbers"
"four","quattro","ˈkwat.tro","Numbers"
"five","cinque","ˈtʃiŋ.kwe","Numbers"
"six","sei","ˈsɛi","Numbers"
"seven","sette","ˈsɛt.te","Numbers"
"eight","otto","ˈɔt.to","Numbers"
"nine","nove","ˈnɔ.ve","Numbers"
"ten","dieci","ˈdjɛ.tʃi","Numbers"
"eleven","undici","ˈun.di.tʃi","Numbers"
"twelve","dodici","ˈdɔ.di.tʃi","Numbers"
"thirteen","tredici","ˈtrɛ.di.tʃi","Numbers"
"fourteen","quattordici","kwatˈtor.di.tʃi","Numbers"
"fifteen","quindici","ˈkwin.di.tʃi","Numbers"
"sixteen","sedici","ˈsɛ.di.tʃi","Numbers"
"seventeen","diciassette","di.tʃasˈsɛt.te","Numbers"
"eighteen","diciotto","diˈtʃɔt.to","Numbers"
"nineteen","diciannove","di.tʃanˈnɔ.ve","Numbers"
"twenty","venti","ˈvɛn.ti","Numbers"
"twenty-one","ventuno","venˈtu.no","Numbers"
"twenty-two","ventidue","ven.tiˈdu.e","Numbers"
"twenty-three","ventitré","ven.tiˈtrɛ","Numbers"
"twenty-four","ventiquattro","ven.tiˈkwat.tro","Numbers"
"twenty-five","venticinque","ven.tiˈtʃiŋ.kwe","Numbers"
"twenty-six","ventisei","ven.tiˈsɛi","Numbers"
"twenty-seven","ventisette","ven.tiˈsɛt.te","Numbers"
"twenty-eight","ventotto","venˈtɔt.to","Numbers"
"twenty-nine","ventinove","ven.tiˈnɔ.ve","Numbers"
"thirty","trenta","ˈtrɛn.ta","Numbers"
"thirty-one","trentuno","trenˈtu.no","Numbers"
"thirty-two","trentadue","tren.taˈdu.e","Numbers"
"thirty-three","trentatré","tren.taˈtrɛ","Numbers"
"thirty-four","trentaquattro","tren.taˈkwat.tro","Numbers"
"thirty-five","trentacinque","tren.taˈtʃiŋ.kwe","Numbers"
"thirty-six","trentasei","tren.taˈsɛi","Numbers"
"thirty-seven","trentasette","tren.taˈsɛt.te","Numbers"
"thirty-eight","trentotto","trenˈtɔt.to","Numbers"
"thirty-nine","trentanove","tren.taˈnɔ.ve","Numbers"
"forty","quaranta","kwaˈran.ta","Numbers"
"forty-one","quarantuno","kwa.ranˈtu.no","Numbers"
"forty-two","quarantadue","kwa.ran.taˈdu.e","Numbers"
