English_Term,Italian_Translation,Italian_IPA,CEFR_Level,Notes,Tag
aberration,,,C2,,
abhor,,,C2,,
abhorrent,,,C2,,
abhorrently,,,C2,,
abject,,,C2,,
abundantly,,,C2,,
accrue,,,C2,,
acreage,,,C2,,
acrobatic,,,C2,,
acrobatically,,,C2,,
acrobatics,,,C2,,
ad lib,,,C2,,
ad-lib,,,C2,,
additive,,,C2,,
adept,,,C2,,
adhesion,,,C2,,
adornment,,,C2,,
adulterate,,,C2,,
affectation,,,C2,,
aghast,,,C2,,
agile,,,C2,,
agility,,,C2,,
all-encompassing,,,C2,,
allegorical,,,C2,,
allegory,,,C2,,
allot,,,C2,,
allotment,,,C2,,
allude,,,C2,,
allusion,,,C2,,
amorphous,,,C2,,
amorphously,,,C2,,
anarchic,,,C2,,
angst,,,C2,,
angsty,,,C2,,
angular,,,C2,,
angularity,,,C2,,
annex,,,C2,,
anonymity,,,C2,,
antediluvian,,,C2,,
anthology,,,C2,,
anthropological,,,C2,,
anthropologically,,,C2,,
anticlimactically,,,C2,,
antidote,,,C2,,
antithesis,,,C2,,
antithetical,,,C2,,
apostle,,,C2,,
apprehend,,,C2,,
aptitude,,,C2,,
arcane,,,C2,,
arcanely,,,C2,,
archetypal,,,C2,,
archetype,,,C2,,
archival,,,C2,,
ardor/ardour,,,C2,,
arduous,,,C2,,
arduously,,,C2,,
armory/armoury,,,C2,,
articulation,,,C2,,
artifact,,,C2,,
artifice,,,C2,,
assimilate,,,C2,,
assimilation,,,C2,,
astringent,,,C2,,
athleticism,,,C2,,
attributive,,,C2,,
attrition,,,C2,,
attuned,,,C2,,
austere,,,C2,,
austerely,,,C2,,
austerity,,,C2,,
authenticity,,,C2,,
automate,,,C2,,
autonomous,,,C2,,
autonomously,,,C2,,
autopilot,,,C2,,
averse,,,C2,,
avian,,,C2,,
axiom,,,C2,,
axiomatic,,,C2,,
babble,,,C2,,
banish,,,C2,,
banishment,,,C2,,
baroque,,,C2,,
bauble,,,C2,,
behest,,,C2,,
belligerence,,,C2,,
belligerent,,,C2,,
bereft,,,C2,,
bereftly,,,C2,,
besiege,,,C2,,
blandishment,,,C2,,
blight,,,C2,,
blitz,,,C2,,
blubber,,,C2,,
blubbery,,,C2,,
blurb,,,C2,,
bogus,,,C2,,
bona fide,,,C2,,
bout,,,C2,,
brandish,,,C2,,
breadwinner,,,C2,,
brevity,,,C2,,
brim,,,C2,,
brimstone,,,C2,,
brink,,,C2,,
brood,,,C2,,
brouhaha,,,C2,,
buccaneer,,,C2,,
buffoonery,,,C2,,
burgeoning,,,C2,,
buzzard,,,C2,,
caffeinate,,,C2,,
calamitous,,,C2,,
calamitously,,,C2,,
