"Time","English","Italian","IPA","Tags"
"00:00","twelve o'clock","le dodici","[le ˈdoditʃi]","Telling_Time"
"00:01","twelve oh one","le dodici e uno","[le ˈdoditʃi e ˈuno]","Telling_Time"
"00:02","twelve oh two","le dodici e due","[le ˈdoditʃi e ˈdu.e]","Telling_Time"
"00:03","twelve oh three","le dodici e tre","[le ˈdoditʃi e ˈtrɛ]","Telling_Time"
"00:04","twelve oh four","le dodici e quattro","[le ˈdoditʃi e ˈkwattro]","Telling_Time"
"00:05","twelve oh five","le dodici e cinque","[le ˈdoditʃi e ˈtʃiŋkwe]","Telling_Time"
"00:06","twelve oh six","le dodici e sei","[le ˈdoditʃi e ˈsɛi]","Telling_Time"
"00:07","twelve oh seven","le dodici e sette","[le ˈdoditʃi e ˈsɛtte]","Telling_Time"
"00:08","twelve oh eight","le dodici e otto","[le ˈdoditʃi e ˈɔtto]","Telling_Time"
"00:09","twelve oh nine","le dodici e nove","[le ˈdoditʃi e ˈnɔve]","Telling_Time"
"00:10","twelve ten","le dodici e dieci","[le ˈdoditʃi e ˈdjɛtʃi]","Telling_Time"
"00:11","twelve eleven","le dodici e undici","[le ˈdoditʃi e ˈunditʃi]","Telling_Time"
"00:12","twelve twelve","le dodici e dodici","[le ˈdoditʃi e ˈdoditʃi]","Telling_Time"
"00:13","twelve thirteen","le dodici e tredici","[le ˈdoditʃi e treˈditʃi]","Telling_Time"
"00:14","twelve fourteen","le dodici e quattordici","[le ˈdoditʃi e kwatˈtorditʃi]","Telling_Time"
"00:15","twelve fifteen","le dodici e quindici","[le ˈdoditʃi e ˈkwinditʃi]","Telling_Time"
"00:16","twelve sixteen","le dodici e sedici","[le ˈdoditʃi e seˈditʃi]","Telling_Time"
"00:17","twelve seventeen","le dodici e diciassette","[le ˈdoditʃi e ditʃasˈsɛtte]","Telling_Time"
"00:18","twelve eighteen","le dodici e diciotto","[le ˈdoditʃi e ditʃˈɔtto]","Telling_Time"
"00:19","twelve nineteen","le dodici e diciannove","[le ˈdoditʃi e ditʃanˈnɔve]","Telling_Time"
"00:20","twelve twenty","le dodici e venti","[le ˈdoditʃi e ˈvɛnti]","Telling_Time"
"00:21","twelve twenty-one","le dodici e ventuno","[le ˈdoditʃi e ventuˈno]","Telling_Time"
"00:22","twelve twenty-two","le dodici e ventidue","[le ˈdoditʃi e ventiˈdu.e]","Telling_Time"
"00:23","twelve twenty-three","le dodici e ventitré","[le ˈdoditʃi e ventiˈtrɛ]","Telling_Time"
"00:24","twelve twenty-four","le dodici e ventiquattro","[le ˈdoditʃi e ventiˈkwattro]","Telling_Time"
"00:25","twelve twenty-five","le dodici e venticinque","[le ˈdoditʃi e ventitʃiŋˈkwe]","Telling_Time"
"00:26","twelve twenty-six","le dodici e ventisei","[le ˈdoditʃi e ventiˈsɛi]","Telling_Time"
"00:27","twelve twenty-seven","le dodici e ventisette","[le ˈdoditʃi e ventiˈsɛtte]","Telling_Time"
"00:28","twelve twenty-eight","le dodici e ventotto","[le ˈdoditʃi e ventˈɔtto]","Telling_Time"
"00:29","twelve twenty-nine","le dodici e ventinove","[le ˈdoditʃi e ventiˈnɔve]","Telling_Time"
"00:30","twelve thirty","le dodici e trenta","[le ˈdoditʃi e ˈtrɛnta]","Telling_Time"
"00:31","twelve thirty-one","le dodici e trentuno","[le ˈdoditʃi e trentuˈno]","Telling_Time"
"00:32","twelve thirty-two","le dodici e trentadue","[le ˈdoditʃi e trentaˈdu.e]","Telling_Time"
"00:33","twelve thirty-three","le dodici e trentatré","[le ˈdoditʃi e trentaˈtrɛ]","Telling_Time"
"00:34","twelve thirty-four","le dodici e trentaquattro","[le ˈdoditʃi e trentakˈkwattro]","Telling_Time"
"00:35","twelve thirty-five","le dodici e trentacinque","[le ˈdoditʃi e trentatʃiŋˈkwe]","Telling_Time"
"00:36","twelve thirty-six","le dodici e trentasei","[le ˈdoditʃi e trantaˈsɛi]","Telling_Time"
"00:37","twelve thirty-seven","le dodici e trentasette","[le ˈdoditʃi e trantaˈsɛtte]","Telling_Time"
"00:38","twelve thirty-eight","le dodici e trentotto","[le ˈdoditʃi e trantˈɔtto]","Telling_Time"
"00:39","twelve thirty-nine","le dodici e trentanove","[le ˈdoditʃi e trantaˈnɔve]","Telling_Time"
"00:40","twelve forty","le dodici e quaranta","[le ˈdoditʃi e kwaˈranta]","Telling_Time"
"00:41","twelve forty-one","le dodici e quarantuno","[le ˈdoditʃi e kwarantuˈno]","Telling_Time"
"00:42","twelve forty-two","le dodici e quarantadue","[le ˈdoditʃi e kwarantaˈdu.e]","Telling_Time"
"00:43","twelve forty-three","le dodici e quarantatré","[le ˈdoditʃi e kwarantaˈtrɛ]","Telling_Time"
"00:44","twelve forty-four","le dodici e quarantaquattro","[le ˈdoditʃi e kwarantaˈkwattro]","Telling_Time"
"00:45","twelve forty-five","le dodici e quarantacinque","[le ˈdoditʃi e kwarantaˈtʃiŋkwe]","Telling_Time"
"00:46","twelve forty-six","le dodici e quarantasei","[le ˈdoditʃi e kwarantaˈsɛi]","Telling_Time"
"00:47","twelve forty-seven","le dodici e quarantasette","[le ˈdoditʃi e kwarantaˈsɛtte]","Telling_Time"
"00:48","twelve forty-eight","le dodici e quarantotto","[le ˈdoditʃi e kwarantˈɔtto]","Telling_Time"
"00:49","twelve forty-nine","le dodici e quarantanove","[le ˈdoditʃi e kwarantaˈnɔve]","Telling_Time"
"00:50","twelve fifty","le dodici e cinquanta","[le ˈdoditʃi e tʃiŋˈkwanta]","Telling_Time"
"00:51","twelve fifty-one","le dodici e cinquantuno","[le ˈdoditʃi e tʃiŋkwantuˈno]","Telling_Time"
"00:52","twelve fifty-two","le dodici e cinquantadue","[le ˈdoditʃi e tʃiŋkwantaˈdu.e]","Telling_Time"
"00:53","twelve fifty-three","le dodici e cinquantatré","[le ˈdoditʃi e tʃiŋkwantaˈtrɛ]","Telling_Time"
"00:54","twelve fifty-four","le dodici e cinquantaquattro","[le ˈdoditʃi e tʃiŋkwantaˈkwattro]","Telling_Time"
