English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
Monday,Lunedì,lu.neˈdi,,1,,,,Calendar Days,
Tuesday,Martedì,mar.teˈdi,,2,,,,Calendar Days,
Wednesday,Mercoledì,mer.ko.leˈdi,,3,,,,Calendar Days,
Thursday,Giovedì,dʒo.veˈdi,,4,,,,Calendar Days,
Friday,Venerdì,ve.nerˈdi,,5,,,,Calendar Days,
Saturday,Sabato,ˈsa.ba.to,,6,,,,Calendar Days,
Sunday,Domenica,doˈme.ni.ka,,7,,,,Calendar Days,
January,Gennaio,dʒenˈna.jo,,1,,,,Calendar Months,
February,Febbraio,febˈbra.jo,,2,,,,Calendar Months,
March,Marzo,ˈmar.tso,,3,,,,Calendar Months,
April,Aprile,aˈpri.le,,4,,,,Calendar Months,
May,Maggio,ˈmad.dʒo,,5,,,,Calendar Months,
June,Giugno,ˈdʒuɲ.ɲo,,6,,,,Calendar Months,
July,Luglio,ˈluʎ.ʎo,,7,,,,Calendar Months,
August,Agosto,aˈɡos.to,,8,,,,Calendar Months,
September,Settembre,setˈtɛm.bre,,9,,,,Calendar Months,
October,Ottobre,otˈto.bre,,10,,,,Calendar Months,
November,Novembre,noˈvɛm.bre,,11,,,,Calendar Months,
December,Dicembre,diˈtʃɛm.bre,,12,,,,Calendar Months,
Spring,Primavera,pri.maˈvɛ.ra,,03-05,,,,Calendar Seasons,
Summer,Estate,eˈsta.te,,06-08,,,,Calendar Seasons,
Autumn,Autunno,auˈtun.no,,09-11,,,,Calendar Seasons,
Winter,Inverno,inˈvɛr.no,,12-02,,,,Calendar Seasons,
Decade,Decennio,deˈtʃɛn.njo,,10 years,,,,Calendar Era,
Century,Secolo,ˈsɛ.ko.lo,,100 years,,,,Calendar Era,
Millennium,Millennio,miˈlɛn.njo,,100,,,,Calendar Era,
Leap Year,Anno bisestile,ˈan.no bi.seˈsti.le,,Every 4 years,Year with an extra day (Feb 29).,,,,
Eon,Eone,eˈo.ne,,Extremely long period of time,,,,,
Buddha Day,Giornata del Buddha,dʒorˈnaːta del ˈbud.da,,Historically falls on the full moon of the lunar month of Vesākha but in modern calendars is typically celebrated on the first full moon of May,"Celebrates the birth, enlightenment, and death of Buddha.",,,,
Vesak,Vesak,ˈve.sak,,Historically falls on the full moon of the lunar month of Vesākha but in modern calendars is typically celebrated on the first full moon of May,"Also known as Buddha Day, it commemorates Buddha's birth, enlightenment, and death.",,,,
Māgha Pūjā,Magha Puja,ˈmaɡʰa ˈpuːdʒa,,Full moon of the 3rd lunar month,"Also known as Sangha Day, it honors the Buddha's teachings and monastic community.",,,,
Asalha Puja,Asalha Puja,aˈsalʰa ˈpuːdʒa,,Full moon of Āsādha in the Lunar calendar; typically July in the Gregorian calendar,Commemorates Buddha's first sermon and the founding of the Buddhist monastic community (Sangha).,,,,
Pavāraṇā,Pavarana,paˈʋaːɾaːna,,Full moon of Aashvin in the Lunar calendar; typically October in the Gregorian calendar,Buddhist day of confession and reflection.,,,,
Kaṭhina,Kathina,kaˈtʰina,,Beginning after the month of the full moon of the 11th month in the Lunar calendar; typically in October in the Gregorian calendar,Buddhist festival which occurs after the end of Vassa (the three month rainy season) for offering robes to monks.,,,,
Ānāpānasati Day,Giornata dell'Anapanasati,dʒorˈnaːta dell anaˈpaːnasati,,Varies (community observance),Day dedicated to mindfulness of breathing meditation in honor of the Buddha's teachings on mindfulness of breathing (Ānāpānasati Sutta).,,,,
Uposatha,Uposatha,upoˈsaːta,,"Uposatha is typically observed about once a week in Theravada countries in accordance with the four lunar phases: the new moon, the full moon, and the two quarter moons in between","The Buddha taught that the Uposatha day is for 'the cleansing of the defiled mind', resulting in inner calm and joy.",,,,
Liberation Day (Italy),Festa della Liberazione,ˈfɛsta ˈdɛl.la libe.raˈtsjo.ne,,April 25th,Commemorates Italy's liberation from fascism in WWII.,,,,
Republic Day (Italy),Festa della Repubblica,ˈfɛsta ˈdɛl.la reˈpub.bli.ka,,June 2nd,Celebrates the founding of the Italian Republic.,,,,
All Saints' Day,Ognissanti,oɲːisˈsan.ti,,November 1st (Western Christianity); Sunday after Pentecost (Eastern Christianity),"Christian holiday honoring all saints, whether they are known or unknown.",,,,
