English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
zero,zero,ˈdzɛ.ro,,,,,,Counting,
one,uno,ˈu.no,,,,,,Counting,
two,due,ˈdu.e,,,,,,Counting,
three,tre,trɛ,,,,,,Counting,
four,quattro,ˈkwat.tro,,,,,,Counting,
five,cinque,ˈtʃiŋ.kwe,,,,,,Counting,
six,sei,ˈsɛi,,,,,,Counting,
seven,sette,ˈsɛt.te,,,,,,Counting,
eight,otto,ˈɔt.to,,,,,,Counting,
nine,nove,ˈnɔ.ve,,,,,,Counting,
ten,dieci,ˈdjɛ.tʃi,,,,,,Counting,
eleven,undici,ˈun.di.tʃi,,,,,,Counting,
twelve,dodici,ˈdɔ.di.tʃi,,,,,,Counting,
thirteen,tredici,ˈtrɛ.di.tʃi,,,,,,Counting,
fourteen,quattordici,kwatˈtor.di.tʃi,,,,,,Counting,
fifteen,quindici,ˈkwin.di.tʃi,,,,,,Counting,
sixteen,sedici,ˈsɛ.di.tʃi,,,,,,Counting,
seventeen,diciassette,di.tʃasˈsɛt.te,,,,,,Counting,
eighteen,diciotto,diˈtʃɔt.to,,,,,,Counting,
nineteen,diciannove,di.tʃanˈnɔ.ve,,,,,,Counting,
twenty,venti,ˈvɛn.ti,,,,,,Counting,
twenty-one,ventuno,venˈtu.no,,,,,,Counting,
twenty-two,ventidue,ven.tiˈdu.e,,,,,,Counting,
twenty-three,ventitré,ven.tiˈtrɛ,,,,,,Counting,
twenty-four,ventiquattro,ven.tiˈkwat.tro,,,,,,Counting,
twenty-five,venticinque,ven.tiˈtʃiŋ.kwe,,,,,,Counting,
twenty-six,ventisei,ven.tiˈsɛi,,,,,,Counting,
twenty-seven,ventisette,ven.tiˈsɛt.te,,,,,,Counting,
twenty-eight,ventotto,venˈtɔt.to,,,,,,Counting,
twenty-nine,ventinove,ven.tiˈnɔ.ve,,,,,,Counting,
