"Term","English Translation","Explanation","Example Sentence (Italian)","Example Sentence (English)","Tags"
"chi","who","","Chi è lui?","Who is he?","A1-Stage6-Questions"
"che cosa","what","","Che cosa fai?","What are you doing?","A1-Stage6-Questions"
"cosa","what","informal alternative","Cosa vuoi?","What do you want?","A1-Stage6-Questions"
"che","what/which","short form","Che film guardi?","Which film are you watching?","A1-Stage6-Questions"
"dove","where","","Dove abiti?","Where do you live?","A1-Stage6-Questions"
"quando","when","","Quando parti?","When are you leaving?","A1-Stage6-Questions"
"perché","why/because","","Perché studi italiano?","Why are you studying Italian?","A1-Stage6-Questions"
"come","how","","Come stai?","How are you?","A1-Stage6-Questions"
"quanto","how much (m.)","","Quanto costa?","How much does it cost?","A1-Stage6-Questions"
"quanta","how much (f.)","","Quanta acqua vuoi?","How much water do you want?","A1-Stage6-Questions"
"quanti","how many (m.)","","Quanti anni hai?","How many years old are you?","A1-Stage6-Questions"
"quante","how many (f.)","","Quante persone ci sono?","How many people are there?","A1-Stage6-Questions"
"qual","which","short before vowel","Qual è il tuo numero di telefono?","What is your phone number?","A1-Stage6-Questions"
"quale","which","full form","Quale preferisci?","Which one do you prefer?","A1-Stage6-Questions"
"perché (risposta)","because","","Studio italiano perché mi piace.","I study Italian because I like it.","A1-Stage6-Questions"
"e","and","","Ho pane e formaggio.","I have bread and cheese.","A1-Stage6-Connectors"
"ma","but","","Mi piace il tè ma non il caffè.","I like tea but not coffee.","A1-Stage6-Connectors"
"o","or","","Vuoi tè o caffè?","Do you want tea or coffee?","A1-Stage6-Connectors"
"anche","also","","Parlo inglese e anche spagnolo.","I speak English and also Spanish.","A1-Stage6-Connectors"
"poi","then","","Facciamo la spesa e poi cuciniamo.","We do the shopping and then cook.","A1-Stage6-Connectors"
"quindi","therefore/so","","Non ho fame, quindi non mangio.","I am not hungry, so I am not eating.","A1-Stage6-Connectors"
"però","however","","È buono, però è costoso.","It’s good, however it’s expensive.","A1-Stage6-Connectors"
"per esempio","for example","","Mi piacciono i frutti, per esempio le mele.","I like fruits, for example apples.","A1-Stage6-Connectors"
