English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
breeze,brezza,/bretsːa/,"It was an invigorating sea breeze, charged with iodine.","Era una brezza marina tonificante, carica di iodio.","/ɛra ʊna bretsːa marina tonifikante, karika dɪ jɔdio./",A2,Abstract,"A2,Abstract",
consequence,conseguenza,/konseɡwɛntsa/,What would be the consequence?,Quali sarebbero le conseguenze?,/kwalɪ sarebːero le konseɡwɛntse?/,A2,Abstract,"A2,Abstract",
harvest,raccolto,/rakːɔlto/,And the harvest was what I saw!,E il raccolto è stato quello che ho visto!,/e il rakːɔlto e stato kwello ke o visto!/,A2,Abstract,"A2,Abstract",
hike,escursione,/eskʊrsjone/,Do you hike?,Fai escursioni?,/faːi eskʊrsjonɪ?/,A2,Abstract,"A2,Abstract",
impact,impatto,/impatːo/,No doubt its impact had caused a flash of fire.,Senza dubbio il suo impatto aveva provocato un lampo di fuoco.,/sɛntsa dubːio il sʊo impatːo aveva provokato ʊn lampo dɪ fʊɔko./,A2,Abstract,"A2,Abstract",
laziness,pigrizia,/piɡritsia/,Laziness is the stain of beauty.,La pigrizia è la macchia della bellezza.,/la piɡritsia e la makːia della belletsːa./,A2,Abstract,"A2,Abstract",
lifestyle,stile di vita,/stile dɪ vita/,"This is the last of lifestyles, mendicants, namely relying on alms.","Questo è l'ultimo degli stili di vita, quello dei mendicanti, cioè l'affidarsi all'elemosina.","/kwesto ɛ lultimo deʎɪ stilɪ dɪ vita, kwello deɪ mendikantɪ, tʃoɛ laffidarsɪ allelemɔzina./",A2,Abstract,"A2,Abstract",
might,potrebbe,/potrɛbːe/,Anybody might have known that.,Chiunque avrebbe potuto saperlo.,/kjunkwe avrɛbːe potuto sapɛrlo./,A2,Abstract,"A2,Abstract",
sunlight,luce solare,/lutʃe solare/,In the sunlight his face was green.,Alla luce del sole il suo viso era verde.,/alla lutʃe del sole il sʊo vizo ɛra verde./,A2,Abstract,"A2,Abstract",
thunderstorm,temporale,/temporale/,"I cried, “who says there are no thunderstorms in April?","Ho gridato: ""Chi dice che non ci sono temporali in aprile?","/o ɡridato: ""kɪ ditʃe ke non tʃɪ sono temporalɪ in aprile?/",A2,Abstract,"A2,Abstract",
