English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
admire,ammirare,/ammirare/,I can admire her without envy.,Posso ammirarla senza invidia.,/pɔsso ammirarla sɛntsa invidia./,A2,Emotions,"A2,Emotions",
ambition,ambizione,/ambitsione/,Brahmins have wealth as their ambition.,I bramini hanno come ambizione la ricchezza.,/i braminɪ anno kome ambitsione la rikːetsːa./,A2,Emotions,"A2,Emotions",
amusement,divertimento,/divertimento/,What are the public amusements?,Quali sono i divertimenti pubblici?,/kwalɪ sono i divertimentɪ pubːlitʃɪ?/,A2,Emotions,"A2,Emotions",
annoy,fastidioso,/fastidjozo/,"Not to annoy the other monks, he was sitting at a distance.","Per non infastidire gli altri monaci, era seduto a distanza.","/per non infastidire ʎɪ altrɪ mɔnatʃɪ, ɛra seduto a distantsa./",A2,Emotions,"A2,Emotions",
appreciate,apprezzare,/apːretsːare/,"I can appreciate drollery--ha, ha, ha!","Posso apprezzare l'umorismo... ah, ah, ah!","/pɔsso apːretsːare lʊmorizmo... a, a, a!/",A2,Emotions,"A2,Emotions",
disturb,disturbare,/distʊrbare/,Do not disturb the cobra!,Non disturbate il cobra!,/non distʊrbate il kɔbra!/,A2,Emotions,"A2,Emotions",
electricity,elettricità,/eletːritʃita/,"Even the existence of ""negative"" and ""positive"" electricity is problematical.","Anche l'esistenza di elettricità ""negativa"" e ""positiva"" è problematica.","/anke lezistɛntsa dɪ eletːritʃita ""neɡativa"" eː ""pozitiva"" e problematika./",A2,Emotions,"A2,Emotions",
envy,invidia,/invidia/,"Do you envy her, Meg?","La invidi, Meg?","/la invidɪ, mɛɡ?/",A2,Emotions,"A2,Emotions",
fear,paura,/paʊra/,Now my fear is this.,Ora la mia paura è questa.,/ora la mia paʊra e kwesta./,A2,Emotions,"A2,Emotions",
frighten,spaventare,/spaventare/,Did I frighten you into falling?,Ti ho spaventato per farti cadere?,/tɪ o spaventato per fartɪ kadere?/,A2,Emotions,"A2,Emotions",
pity,pietà,/pjeta/,"What do you pity, sir?","Cosa le fa pena, signore?","/kɔza le fa pena, siɲore?/",A2,Emotions,"A2,Emotions",
regret,rammarico,/rammariko/,"I shall never regret, ’ said Mr.","Non me ne pentirò mai"", ha detto Mr.","/non me ne pentiɾɔ maj"", a detːo ɛmmeɛrɾe./",A2,Emotions,"A2,Emotions",
shine,brillare,/brillare/,Why does it not shine?,Perché non brilla?,/perke non brilla?/,A2,Emotions,"A2,Emotions",
terrify,terrorizzare,/terɾoridzːare/,"Do you think, ” replied he, “to terrify me with death?","Pensi forse"", rispose, ""di terrorizzarmi con la morte?","/pɛnsɪ forse"", rispoze, ""dɪ terɾoridzːarmɪ kon la mɔrte?/",A2,Emotions,"A2,Emotions",
