English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
it,esso,/esso/,It has given its life.,Ha dato la vita.,/a dato la vita./,A2,Grammar,"A2,Grammar",
olympic,olimpico,/olimpiko/,"See West on the Olympic Games, in his Pindar, vol.","Cfr. West sui giochi olimpici, nel suo Pindaro, vol.","/tʃiɛffeɛrɾe. wɛst sʊi dʒɔkɪ olimpitʃɪ, nel sʊo pindaro, vɔl./",A2,Grammar,"A2,Grammar",
ability,capacità,/kapatʃita/,↩ Here this ability is fully mastered.,Qui questa capacità è pienamente padroneggiata.,/kwi kwesta kapatʃita e pjenamente padronedʒːata./,A2,Grammar,"A2,Grammar",
able,in grado di,/in ɡrado di/,I’m not able to go forth.,Non sono in grado di andare avanti.,/non sono in ɡrado dɪ andare avantɪ./,A2,Grammar,"A2,Grammar",
abroad,all'estero,/allɛstero/,He may be got abroad yet.,Potrebbe essere ancora all'estero.,/potrɛbːe ɛssere ankora allɛstero./,A2,Grammar,"A2,Grammar",
acceptable,accettabile,/atʃːetːabile/,The queen mother hoped the change would be acceptable to both parties.,La regina madre sperava che il cambiamento fosse accettabile per entrambe le parti.,/la redʒina madre sperava ke il kambjamento fosse atʃːetːabile per entrambe le partɪ./,A2,Grammar,"A2,Grammar",
according,secondo,/sekondo/,"I’ve come according to promise, ’ roared Squeers.","Sono venuto come promesso"", ruggì Squeers.","/sono venuto kome promesso"", rʊdʒːi skweɛrs./",A2,Grammar,"A2,Grammar",
actually,in realtà,/in realta/,I had been actually invited.,Ero stato invitato davvero.,/ɛro stato invitato davvero./,A2,Grammar,"A2,Grammar",
additional,aggiuntivo,/adʒːʊntivo/,The additional permutation series is finished.,La serie di permutazioni aggiuntive è terminata.,/la sɛrie dɪ permʊtatsionɪ adʒːʊntive e terminata./,A2,Grammar,"A2,Grammar",
advanced,avanzato,/avantsato/,"He advanced on the platform, not seeming to see me.","Avanzò sulla pedana, senza accorgersi di me.","/avantsɔ sʊlla pedana, sɛntsa akːɔrdʒersɪ dɪ me./",A2,Grammar,"A2,Grammar",
