English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
affect,affliggere,/afflidʒːere/,It does not affect the meaning.,Non influisce sul significato.,/non inflʊiʃe sʊl siɲifikato./,A2,Health,"A2,Health",
ankle,caviglia,/kaviʎa/,"He was taken on board, and instantly manacled at the wrists and ankles.",Fu preso a bordo e subito ammanettato ai polsi e alle caviglie.,/fʊ prezo a bɔrdo e subito ammanetːato aj polsɪ e alle kaviʎe./,A2,Health,"A2,Health",
behavior,comportamento,/komportamento/,My behavior should be different.,Il mio comportamento dovrebbe essere diverso.,/il mio komportamento dovrɛbːe ɛssere divɛrso./,A2,Health,"A2,Health",
behaviour,comportamento,/komportamento/,I never could judge behaviour.,Non sono mai riuscito a giudicare il comportamento.,/non sono maj riʊʃito a dʒʊdikare il komportamento./,A2,Health,"A2,Health",
boil,bollire,/bollire/,And those boils did run—say so.,E quelle bolle scorrevano - lo dico io.,/e kwelle bolle skorɾevano lo diko io./,A2,Health,"A2,Health",
championship,campionato,/kampjonato/,"You will restrain any demonstrative championship or vengeance in this place, of course, Mr.","Naturalmente, in questo luogo, lei si asterrà da qualsiasi campionato dimostrativo o da qualsiasi vendetta, signor...","/natʊralmente, in kwesto lʊɔɡo, lɛi sɪ asterɾa da kwalsiazɪ kampjonato dimostrativo o da kwalsiazɪ vendetːa, siɲor.../",A2,Health,"A2,Health",
climate,clima,/klima/,"The climate, I believe, is healthy?","Il clima, credo, è sano?","/il klima, krɛdo, e sano?/",A2,Health,"A2,Health",
disaster,disastro,/dizastro/,She thought a disaster was averted.,Pensava che un disastro fosse stato evitato.,/pensava ke ʊn dizastro fosse stato evitato./,A2,Health,"A2,Health",
disease,malattia,/malatːia/,"He has an eye-disease, sir.","Ha una malattia agli occhi, signore.","/a ʊna malatːia aʎɪ ɔkːɪ, siɲore./",A2,Health,"A2,Health",
earthquake,terremoto,/terɾemɔto/,That was a really big earthquake!,È stato un terremoto molto forte!,/e stato ʊn terɾemɔto molto fɔrte!/,A2,Health,"A2,Health",
expect,aspettarsi,/aspetːarsɪ/,Do you expect them today?,Li aspettate oggi?,/lɪ aspetːate ɔdʒːɪ?/,A2,Health,"A2,Health",
fault,difetto,/difɛtːo/,It is not HIS fault.,Non è colpa sua.,/non e kolpa sua./,A2,Health,"A2,Health",
feather,piuma,/pjuma/,A feather will turn the scale.,Una piuma farà girare la bilancia.,/ʊna pjuma faɾa dʒirare la bilantʃa./,A2,Health,"A2,Health",
flu,influenza,/inflʊɛntsa/,Sami had a stomach flu.,Sami ha avuto un'influenza intestinale.,/samɪ a avuto ʊninflʊɛntsa intestinale./,A2,Health,"A2,Health",
freedom,libertà,/liberta/,What is freedom from death?,Che cos'è la libertà dalla morte?,/ke kozɛ la liberta dalla mɔrte?/,A2,Health,"A2,Health",
freeze,congelamento,/kondʒelamento/,Water will freeze when it is cold enough.,L'acqua congela quando è sufficientemente fredda.,/lakːwa kondʒɛla kwando e sʊffitʃentemente fredːa./,A2,Health,"A2,Health",
friendship,amicizia,/amitʃitsia/,Can delicate friendship stand that?,Un'amicizia così delicata può essere sopportata?,/ʊnamitʃitsia kozi delikata pʊɔ ɛssere sopːortata?/,A2,Health,"A2,Health",
happiness,felicità,/felitʃita/,This is for your happiness.,Questo è per la vostra felicità.,/kwesto ɛ per la vɔstra felitʃita./,A2,Health,"A2,Health",
harm,danno,/danno/,I have done no harm.,Non ho fatto alcun male.,/non o fatːo alkʊn male./,A2,Health,"A2,Health",
height,altezza,/altetsːa/,The fever was at its height.,La febbre era al culmine.,/la fɛbːre ɛra al kulmine./,A2,Health,"A2,Health",
illness,malattia,/malatːia/,I have mentioned my illness.,Ho parlato della mia malattia.,/o parlato della mia malatːia./,A2,Health,"A2,Health",
importance,importanza,/importantsa/,But it is of small importance.,Ma è di poca importanza.,/ma e dɪ pɔka importantsa./,A2,Health,"A2,Health",
injure,ferire,/ferire/,May I not injure any little creatures on unclear ground.,Che io non ferisca nessuna creaturina su un terreno poco chiaro.,/ke io non feriska nessʊna kreatʊrina sʊ ʊn terɾeno pɔko kjaro./,A2,Health,"A2,Health",
injury,infortunio,/infortunio/,It is our safeguard against injury.,È la nostra salvaguardia contro gli infortuni.,/e la nɔstra salvaɡwardia kontro ʎɪ infortunɪ./,A2,Health,"A2,Health",
lack,mancanza,/mankantsa/,Do you lack sexual organs?,Vi mancano gli organi sessuali?,/vɪ mankano ʎɪ ɔrɡanɪ sessʊalɪ?/,A2,Health,"A2,Health",
opportunity,opportunità,/opːortʊnita/,He just saw the opportunity.,Ha semplicemente visto l'opportunità.,/a semplitʃemente visto lopːortʊnita./,A2,Health,"A2,Health",
panic,panico,/paniko/,I was seized with a panic fear.,Fui colto da una paura panica.,/fʊi kɔlto da ʊna paʊra panika./,A2,Health,"A2,Health",
silence,silenzio,/silɛntsio/,This is called noble silence.,Questo si chiama nobile silenzio.,/kwesto sɪ kjama nɔbile silɛntsio./,A2,Health,"A2,Health",
stomachache,mal di stomaco,/mal dɪ stɔmako/,Soon afterwards the Buddha had a stomachache.,Poco dopo il Buddha ebbe un mal di stomaco.,/pɔko dopo il budːa ɛbːe ʊn mal dɪ stɔmako./,A2,Health,"A2,Health",
storm,tempesta,/tempɛsta/,The town was taken by storm.,La città fu presa d'assalto.,/la tʃitːa fʊ preza dassalto./,A2,Health,"A2,Health",
strength,forza,/fɔrtsa/,It was beyond my strength.,Era al di là delle mie forze.,/ɛra al dɪ la delle mie fɔrtse./,A2,Health,"A2,Health",
sweat,sudore,/sʊdore/,The monks made him sweat by heating him.,I monaci lo facevano sudare riscaldandolo.,/i mɔnatʃɪ lo fatʃevano sʊdare riskaldandolo./,A2,Health,"A2,Health",
tear,strappo,/strapːo/,The queen mother was in tears....,La regina madre era in lacrime....,/la redʒina madre ɛra in lakrime..../,A2,Health,"A2,Health",
toothache,mal di denti,/mal dɪ dɛntɪ/,"I had struck him hard enough to give him the toothache, I suppose.","L'avevo colpito abbastanza forte da fargli venire il mal di denti, suppongo.","/lavevo kolpito abːastantsa fɔrte da farʎɪ venire il mal dɪ dɛntɪ, sʊpːoŋɡo./",A2,Health,"A2,Health",
weep,piangere,/pjandʒere/,Do you think she’ll weep?,Pensi che piangerà?,/pɛnsɪ ke pjandʒeɾa?/,A2,Health,"A2,Health",
