English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
pc,pc,/pitʃi/,And the definition at Bu Pc 50 says “where strife is seen”.,"E la definizione di Bu Pc 50 dice ""dove si vede la lotta"".","/e la definitsione dɪ bu pitʃi tʃinkwanta ditʃe ""dove sɪ vede la lɔtːa""./",A2,Shopping,"A2,Shopping",
airline,linea aerea,/linea aɛːrea/,No-frills airlines have a bad reputation.,Le compagnie aeree senza fronzoli hanno una cattiva reputazione.,/le kompaɲie aɛree sɛntsa frontsolɪ anno ʊna katːiva repʊtatsione./,A2,Shopping,"A2,Shopping",
aisle,corridoio,/korɾidojo/,The procession up the aisle was beautiful.,La processione lungo la navata è stata bellissima.,/la protʃessjone luŋɡo la navata e stata bellissima./,A2,Shopping,"A2,Shopping",
armchair,poltrona,/poltrona/,An armchair is in the bedroom.,Una poltrona si trova nella camera da letto.,/ʊna poltrona sɪ trɔva nella kamera da lɛtːo./,A2,Shopping,"A2,Shopping",
balcony,balcone,/balkone/,Ziri was standing on the balcony.,Ziri era in piedi sul balcone.,/dzirɪ ɛra in pjedɪ sʊl balkone./,A2,Shopping,"A2,Shopping",
balloon,palloncino,/pallontʃino/,How the Balloon Was Launched Chapter XVIII.,Come fu lanciata la mongolfiera Capitolo XVIII.,/kome fʊ lantʃata la moŋɡolfiɛra kapitolo ditʃotːɛzimo./,A2,Shopping,"A2,Shopping",
battery,batteria,/batːeria/,The free end of each goes to a battery terminal.,L'estremità libera di ciascuno di essi va a un terminale della batteria.,/lestremita libera dɪ tʃaskuno dɪ ɛssɪ va a ʊn terminale della batːeria./,A2,Shopping,"A2,Shopping",
bench,panchina,/pankina/,I allow benches made of straw.,Sono ammesse panchine di paglia.,/sono ammesse pankine dɪ paʎa./,A2,Shopping,"A2,Shopping",
bend,curva,/kurva/,Why do you bend such solemn brows on me?,Perché mi guardate con tanta solennità?,/perke mɪ ɡwardate kon tanta solennita?/,A2,Shopping,"A2,Shopping",
blackboard,lavagna,/lavaɲɲa/,"The master sat throned in his great chair upon a raised platform, with his blackboard behind him. He was looking tolerably mellow.","Il maestro sedeva in trono sulla sua grande sedia su una piattaforma rialzata, con la sua lavagna alle spalle. Aveva un'aria tollerante.","/il maɛstro sedɛva in trɔno sʊlla sʊa ɡrande sɛdia sʊ ʊna pjatːaforma rialtsata, kon la sʊa lavaɲɲa alle spalle. aveva ʊnaria tollerante./",A2,Shopping,"A2,Shopping",
bookcase,libreria,/libreria/,They made this bookcase by themselves.,Hanno realizzato questa libreria da soli.,/anno realidzːato kwesta libreria da sɔlɪ./,A2,Shopping,"A2,Shopping",
bookshelf,libreria,/libreria/,He has a large number of books on his bookshelf.,Ha un gran numero di libri nella sua libreria.,/a ʊn ɡran numero dɪ librɪ nella sʊa libreria./,A2,Shopping,"A2,Shopping",
bookshop,libreria,/libreria/,He took his books to a second-hand bookshop.,Ha portato i suoi libri in una libreria di seconda mano.,/a portato i sʊɔi librɪ in ʊna libreria dɪ sekonda mano./,A2,Shopping,"A2,Shopping",
bra,reggiseno,/redʒːiseno/,What size is this bra?,Che taglia ha questo reggiseno?,/ke taʎa a kwesto redʒːiseno?/,A2,Shopping,"A2,Shopping",
brake,freno,/freno/,"Accordingly, brakes operated by steam were tried.","Di conseguenza, sono stati provati freni azionati dal vapore.","/dɪ konseɡwɛntsa, sono statɪ provatɪ frenɪ atsionatɪ dal vapore./",A2,Shopping,"A2,Shopping",
branch,ramo,/ramo/,Badly infested branches should be cut off and burned.,I rami gravemente infestati devono essere tagliati e bruciati.,/i ramɪ ɡravemente infestatɪ devono ɛssere taʎatɪ e brʊtʃatɪ./,A2,Shopping,"A2,Shopping",
budget,bilancio,/bilantʃo/,They want to stay under budget.,Vogliono rimanere sotto il budget.,/voʎono rimanɛre sotːo il baːdʒet./,A2,Shopping,"A2,Shopping",
bug,bug,/buɡ/,"He tried to say ""Hum-bug!","Ha cercato di dire ""Hum-bug!","/a tʃerkato dɪ dire ""umbuɡ!/",A2,Shopping,"A2,Shopping",
bulb,lampadina,/lampadina/,The filament is now ready for enclosure in the bulb.,Il filamento è ora pronto per essere inserito nel bulbo.,/il filamento e ora pronto per ɛssere inserito nel bulbo./,A2,Shopping,"A2,Shopping",
cab,cabina,/kabina/,You must have a cab.,Dovete avere un taxi.,/dovete avere ʊn taksɪ./,A2,Shopping,"A2,Shopping",
cafeteria,caffetteria,/kaffetːeria/,The cafeteria is really loud.,La mensa è molto rumorosa.,/la mɛnsa e molto rʊmoroza./,A2,Shopping,"A2,Shopping",
car,auto,/aʊto/,Shall we all go in my car?,Andiamo tutti nella mia macchina?,/andjamo tutːɪ nella mia makːina?/,A2,Shopping,"A2,Shopping",
carpet,tappeto,/tapːeto/,Suppose you were going to carpet a room.,Supponiamo di dover tappezzare una stanza.,/sʊpːonjamo dɪ dovɛr tapːetsːare ʊna stantsa./,A2,Shopping,"A2,Shopping",
cassette,cassetta,/kassetːa/,You have a cassette player?,Avete un lettore di cassette?,/avete ʊn letːore dɪ kassetːe?/,A2,Shopping,"A2,Shopping",
