English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
id,id,/iː di/,The Ides of March are come.,Le Idi di marzo sono arrivate.,/le idɪ dɪ martso sono arɾivate./,A2,Social,"A2,Social",
id,id,/iː di/,The Ides of March are come.,Le Idi di marzo sono arrivate.,/le idɪ dɪ martso sono arɾivate./,A2,Social,"A2,Social",
ms.,ms.,/ɛmmeɛsse./,The MS. gave evidence of nervous agitation.,La sclerosi multipla ha evidenziato un'agitazione nervosa.,/la sklerɔzɪ multipla a evidentsjato ʊnadʒitatsione nervoza./,A2,Social,"A2,Social",
accept,accettare,/atʃːetːare/,Do you accept this condition?,Accettate questa condizione?,/atʃːetːate kwesta konditsione?/,A2,Social,"A2,Social",
account,conto,/konto/,Could not account for it.,Non è stato possibile spiegarlo.,/non e stato possibile spjeɡarlo./,A2,Social,"A2,Social",
act,atto,/atːo/,Does all the world act?,Tutto il mondo agisce?,/tutːo il mondo adʒiʃe?/,A2,Social,"A2,Social",
active,attivo,/atːivo/,These are called active efforts.,Questi sono chiamati sforzi attivi.,/kwestɪ sono kjamatɪ sfɔrtsɪ atːivɪ./,A2,Social,"A2,Social",
adjective,aggettivo,/adʒːetːivo/,"You have to put an adjective after ""不够.","Bisogna mettere un aggettivo dopo ""不够"".","/bizoɲɲa metːere ʊn adʒːetːivo dopo ""tʃɪnezeletːeːra tʃɪnezeletːeːra""./",A2,Social,"A2,Social",
adjust,regolare,/reɡolare/,"Occasionally, it will adjust details in a more Buddhist light.","Occasionalmente, regolerà i dettagli in una luce più buddista.","/okːazionalmente, reɡoleɾa i detːaʎɪ in ʊna lutʃe pjʊ bʊdːista./",A2,Social,"A2,Social",
advertise,pubblicizzare,/pʊbːlitʃidzːare/,"One store advertises, 'No boilers are being used; lifts running electrically.","Un negozio pubblicizza: ""Non vengono utilizzate caldaie; gli ascensori funzionano elettricamente"".","/ʊn neɡɔtsio pʊbːlitʃidzːa: ""non veŋɡono ʊtilidzːate kaldaje; ʎɪ aʃensorɪ fʊntsjɔnano eletːrikamente""./",A2,Social,"A2,Social",
advertisement,pubblicità,/pʊbːlitʃita/,"I shall put him in the advertisement, this time.",Questa volta lo inserirò nell'annuncio.,/kwesta vɔlta lo inseriɾɔ nellannuntʃo./,A2,Social,"A2,Social",
advertising,pubblicità,/pʊbːlitʃita/,There is an advertising balloon flying above the department store.,Sopra il grande magazzino vola un pallone pubblicitario.,/sopra il ɡrande maɡadzːino vola ʊn pallone pʊbːlitʃitario./,A2,Social,"A2,Social",
advise,consigliare,/konsiʎare/,He advises that this be done.,Egli consiglia di farlo.,/eʎɪ konsiʎa dɪ farlo./,A2,Social,"A2,Social",
agent,agente,/adʒɛnte/,He is not an insurance agent.,Non è un agente assicurativo.,/non e ʊn adʒɛnte assikʊrativo./,A2,Social,"A2,Social",
alarm,allarme,/allarme/,Paris was in the greatest alarm.,Parigi era in grande allarme.,/paridʒɪ ɛra in ɡrande allarme./,A2,Social,"A2,Social",
alarm,allarme,/allarme/,Paris was in the greatest alarm.,Parigi era in grande allarme.,/paridʒɪ ɛra in ɡrande allarme./,A2,Social,"A2,Social",
ancestor,antenato,/antenato/,This gives a total of 14 ancestors.,Il totale è di 14 antenati.,/il totale e dɪ kwatːorditʃɪ antenatɪ./,A2,Social,"A2,Social",
ancient,antico,/antiko/,"How are you, my ancient?","Come stai, mio antico?","/kome staj, mio antiko?/",A2,Social,"A2,Social",
angel,angelo,/andʒelo/,"Wasn't an angel, was it?","Non era un angelo, vero?","/non ɛra ʊn andʒelo, vero?/",A2,Social,"A2,Social",
apologize,chiedere scusa,/kjɛdere skuza/,I must apologize for my interference.,Devo scusarmi per la mia interferenza.,/dɛvo skʊzarmɪ per la mia interferɛntsa./,A2,Social,"A2,Social",
