English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
id,id,/iː di/,The Ides of March are come.,Le Idi di marzo sono arrivate.,/le idɪ dɪ martso sono arɾivate./,A2,Social,"A2,Social",
id,id,/iː di/,The Ides of March are come.,Le Idi di marzo sono arrivate.,/le idɪ dɪ martso sono arɾivate./,A2,Social,"A2,Social",
it,esso,/esso/,It has given its life.,Ha dato la vita.,/a dato la vita./,A2,Grammar,"A2,Grammar",
mp3,mp3,/ɛmmepi tre/,How many audiobooks do you have on your mobile MP3 player?,Quanti audiolibri avete sul vostro lettore MP3 mobile?,/kwantɪ aʊdjolibrɪ avete sʊl vɔstro letːore ɛmmepi tre mɔbile?/,A2,,A2,
ms.,ms.,/ɛmmeɛsse./,The MS. gave evidence of nervous agitation.,La sclerosi multipla ha evidenziato un'agitazione nervosa.,/la sklerɔzɪ multipla a evidentsjato ʊnadʒitatsione nervoza./,A2,Social,"A2,Social",
olympic,olimpico,/olimpiko/,"See West on the Olympic Games, in his Pindar, vol.","Cfr. West sui giochi olimpici, nel suo Pindaro, vol.","/tʃiɛffeɛrɾe. wɛst sʊi dʒɔkɪ olimpitʃɪ, nel sʊo pindaro, vɔl./",A2,Grammar,"A2,Grammar",
pc,pc,/pitʃi/,And the definition at Bu Pc 50 says “where strife is seen”.,"E la definizione di Bu Pc 50 dice ""dove si vede la lotta"".","/e la definitsione dɪ bu pitʃi tʃinkwanta ditʃe ""dove sɪ vede la lɔtːa""./",A2,Shopping,"A2,Shopping",
ability,capacità,/kapatʃita/,↩ Here this ability is fully mastered.,Qui questa capacità è pienamente padroneggiata.,/kwi kwesta kapatʃita e pjenamente padronedʒːata./,A2,Grammar,"A2,Grammar",
able,in grado di,/in ɡrado di/,I’m not able to go forth.,Non sono in grado di andare avanti.,/non sono in ɡrado dɪ andare avantɪ./,A2,Grammar,"A2,Grammar",
abroad,all'estero,/allɛstero/,He may be got abroad yet.,Potrebbe essere ancora all'estero.,/potrɛbːe ɛssere ankora allɛstero./,A2,Grammar,"A2,Grammar",
accept,accettare,/atʃːetːare/,Do you accept this condition?,Accettate questa condizione?,/atʃːetːate kwesta konditsione?/,A2,Social,"A2,Social",
acceptable,accettabile,/atʃːetːabile/,The queen mother hoped the change would be acceptable to both parties.,La regina madre sperava che il cambiamento fosse accettabile per entrambe le parti.,/la redʒina madre sperava ke il kambjamento fosse atʃːetːabile per entrambe le partɪ./,A2,Grammar,"A2,Grammar",
accident,incidente,/intʃidɛnte/,We do not suffer by accident.,Non soffriamo per caso.,/non soffriamo per kazo./,A2,Activities,"A2,Activities",
according,secondo,/sekondo/,"I’ve come according to promise, ’ roared Squeers.","Sono venuto come promesso"", ruggì Squeers.","/sono venuto kome promesso"", rʊdʒːi skweɛrs./",A2,Grammar,"A2,Grammar",
account,conto,/konto/,Could not account for it.,Non è stato possibile spiegarlo.,/non e stato possibile spjeɡarlo./,A2,Social,"A2,Social",
achieve,raggiungere,/radʒːundʒere/,How can we achieve this?,Come possiamo raggiungere questo obiettivo?,/kome possjamo radʒːundʒere kwesto objetːivo?/,A2,Professional,"A2,Professional",
act,atto,/atːo/,Does all the world act?,Tutto il mondo agisce?,/tutːo il mondo adʒiʃe?/,A2,Social,"A2,Social",
active,attivo,/atːivo/,These are called active efforts.,Questi sono chiamati sforzi attivi.,/kwestɪ sono kjamatɪ sfɔrtsɪ atːivɪ./,A2,Social,"A2,Social",
actually,in realtà,/in realta/,I had been actually invited.,Ero stato invitato davvero.,/ɛro stato invitato davvero./,A2,Grammar,"A2,Grammar",
addition,aggiunta,/adʒːunta/,There are two additions to the rule.,Ci sono due aggiunte alla regola.,/tʃɪ sono due adʒːunte alla rɛɡola./,A2,Time & Quantity,"A2,Time & Quantity",
