English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
accuracy,precisione,/pretʃizione/,Some of them are done with much accuracy.,Alcuni di essi sono realizzati con molta precisione.,/alkʊnɪ dɪ ɛssɪ sono realidzːatɪ kon molta pretʃizione./,B1,Abstract,"B1,Abstract",
assistance,assistenza,/assistɛntsa/,"Give assistance, not advice, in a crisis.","Dare assistenza, non consigli, in caso di crisi.","/dare assistɛntsa, non konsiʎɪ, in kazo dɪ krizɪ./",B1,Abstract,"B1,Abstract",
behalf,nome,/nome/,Be eloquent in my behalf to her.,Sii eloquente nei miei confronti.,/sji elokwɛnte nei mjɛi konfrontɪ./,B1,Abstract,"B1,Abstract",
bounce,rimbalzo,/rimbaltso/,Can the economy bounce back after the crisis?,L'economia può riprendersi dopo la crisi?,/lekonomia pʊɔ riprɛndersɪ dopo la krizɪ?/,B1,Abstract,"B1,Abstract",
carelessness,disattenzione,/dizatːentsione/,In carelessness alone they are alike.,Solo nella disattenzione si assomigliano.,/solo nella dizatːentsione sɪ assomiʎano./,B1,Abstract,"B1,Abstract",
courage,coraggio,/koradʒːo/,Such is the honesty of courage.,Questa è l'onestà del coraggio.,/kwesta ɛ lonesta del koradʒːo./,B1,Abstract,"B1,Abstract",
dazzle,abbagliare,/abːaʎare/,"Dazzle mine eyes, or do I see three suns?","Abbagliare i miei occhi, o vedo tre soli?","/abːaʎare i mjɛi ɔkːɪ, o vedo tre sɔlɪ?/",B1,Abstract,"B1,Abstract",
decrease,diminuzione,/diminʊtsione/,That is how there is the increase and decrease of this body.,È così che si verifica l'aumento e la diminuzione di questo corpo.,/e kozi ke sɪ verifika laʊmento e la diminʊtsione dɪ kwesto kɔrpo./,B1,Abstract,"B1,Abstract",
diameter,diametro,/djametro/,It had a diameter of about thirty yards.,Aveva un diametro di circa trenta metri.,/aveva ʊn djametro dɪ tʃirka trenta mɛtrɪ./,B1,Abstract,"B1,Abstract",
diligence,diligenza,/dilidʒɛntsa/,Persist with diligence: this is my instruction.,Perseverate con diligenza: questo è il mio insegnamento.,/perseverate kon dilidʒɛntsa: kwesto ɛ il mio inseɲamento./,B1,Abstract,"B1,Abstract",
glint,luccichio,/lʊtʃːikio/,"Two o’clock and the whole corner of the peninsula was blazing with light, which fell unreal on the shrubbery and made thin elongating glints upon the roadside wires.",Erano le due e l'intero angolo della penisola era illuminato da una luce che cadeva irreale sugli arbusti e produceva sottili bagliori allungati sui fili della strada.,/ɛrano le due e lintɛro aŋɡolo della penizola ɛra illʊminato da ʊna lutʃe ke kadɛva irɾeale sʊʎɪ arbustɪ e prodʊtʃɛva sotːilɪ baʎorɪ allʊŋɡatɪ sʊi filɪ della strada./,B1,Abstract,"B1,Abstract",
goodness,bontà,/bonta/,Have the goodness to explain.,Abbiate la bontà di spiegare.,/abːjate la bonta dɪ spjeɡare./,B1,Abstract,"B1,Abstract",
honesty,onestà,/onesta/,Honesty is the best policy.,L'onestà è la migliore politica.,/lonesta e la miʎore politika./,B1,Abstract,"B1,Abstract",
humanity,umanità,/ʊmanita/,"It is all over with humanity, ” I said.","È tutto finito con l'umanità"", ho detto.","/e tutːo finito kon lʊmanita"", o detːo./",B1,Abstract,"B1,Abstract",
hurricane,uragano,/ʊraɡano/,They are to have dancing on the hurricane-deck to-night.,Stasera ci sarà un ballo sul ponte dell'uragano.,/sta sera tʃɪ saɾa ʊn ballo sʊl ponte dellʊraɡano./,B1,Abstract,"B1,Abstract",
interaction,interazione,/interatsione/,Yanni had no interaction with any Muslims.,Yanni non ha interagito con nessun musulmano.,/jannɪ non a interadʒito kon nessʊn mʊzʊlmano./,B1,Abstract,"B1,Abstract",
interrupt,interrompere,/interɾompere/,It was absolutely necessary to interrupt him now.,Era assolutamente necessario interromperlo ora.,/ɛra assolʊtamente netʃessario interɾomperlo ora./,B1,Abstract,"B1,Abstract",
ivory,avorio,/avɔrio/,Ivory: elephant tooth is what is meant.,Avorio: si intende il dente di elefante.,/avɔrio: sɪ intɛnde il dɛnte dɪ elefante./,B1,Abstract,"B1,Abstract",
kindness,gentilezza,/dʒentiletsːa/,All was joy and kindness.,Tutto era gioia e gentilezza.,/tutːo ɛra dʒɔia e dʒentiletsːa./,B1,Abstract,"B1,Abstract",
leap,salto,/salto/,"It is gurgling by, and little waves leap.","Gorgoglia, e le piccole onde saltano.","/ɡorɡoʎa, e le pikːole onde saltano./",B1,Abstract,"B1,Abstract",
lightning,fulmine,/fulmine/,And who has a mind like lightning?,E chi ha una mente come un fulmine?,/e kɪ a ʊna mente kome ʊn fulmine?/,B1,Abstract,"B1,Abstract",
mischief,malizia,/malitsia/,You’ll do yourself a mischief.,Ti faresti un danno da solo.,/tɪ farɛstɪ ʊn danno da solo./,B1,Abstract,"B1,Abstract",
patience,pazienza,/patsjɛntsa/,"Patience, ’ said I to myself.","Pazienza"", mi sono detto.","/patsjɛntsa"", mɪ sono detːo./",B1,Abstract,"B1,Abstract",
piety,pietà,/pjeta/,What a pleasant thing filial piety is to contemplate!,Che cosa piacevole da contemplare è la pietà filiale!,/ke kɔza pjatʃevole da kontemplare e la pjeta filiale!/,B1,Abstract,"B1,Abstract",
probability,probabilità,/probabilita/,"But time, in all probability, would have qualified this feeling.","Ma il tempo, con ogni probabilità, avrebbe qualificato questa sensazione.","/ma il tɛmpo, kon oɲɲɪ probabilita, avrɛbːe kwalifikato kwesta sensatsione./",B1,Abstract,"B1,Abstract",
procrastination,procrastinazione,/prokrastinatsione/,Procrastination is the thief of time.,La procrastinazione è il ladro del tempo.,/la prokrastinatsione e il ladro del tɛmpo./,B1,Abstract,"B1,Abstract",
rainfall,piogge,/pjɔdʒːe/,It is best grown in regions of restricted rainfall.,Si coltiva al meglio nelle regioni con precipitazioni limitate.,/sɪ koltiva al mɛʎo nelle redʒonɪ kon pretʃipitatsionɪ limitate./,B1,Abstract,"B1,Abstract",
scatter,spargere,/spardʒere/,The French have reinforc’d their scatter’d men.,I francesi hanno rinforzato i loro uomini dispersi.,/i frantʃezɪ anno rinfortsato i lɔro wɔminɪ dispersɪ./,B1,Abstract,"B1,Abstract",
slope,pendenza,/pendɛntsa/,The slope of the waters was excessive.,La pendenza delle acque era eccessiva.,/la pendɛntsa delle akːwe ɛra etʃːessiva./,B1,Abstract,"B1,Abstract",
snowstorm,tempesta di neve,/tempɛsta dɪ nɛve/,A snowstorm is coming in.,È in arrivo una tempesta di neve.,/e in arɾivo ʊna tempɛsta dɪ nɛve./,B1,Abstract,"B1,Abstract",
sparkle,scintilla,/ʃintilla/,If he could see the least sparkle of relief in her face now?,Se ora riuscisse a scorgere un minimo di sollievo sul suo volto?,/se ora riʊʃisse a skɔrdʒere ʊn minimo dɪ solliɛvo sʊl sʊo volto?/,B1,Abstract,"B1,Abstract",
sportsmanship,sportività,/sportivita/,Having good sportsmanship is essential to a sports team.,Una buona sportività è essenziale per una squadra sportiva.,/ʊna bʊɔna sportivita e essentsjale per ʊna skwadra sportiva./,B1,Abstract,"B1,Abstract",
vice,vizio,/vitsio/,"Vices, I would say, sir.","Vizi, direi, signore.","/vitsɪ, dirɛi, siɲore./",B1,Abstract,"B1,Abstract",
vice,vizio,/vitsio/,"Vices, I would say, sir.","Vizi, direi, signore.","/vitsɪ, dirɛi, siɲore./",B1,Abstract,"B1,Abstract",
willingness,Disponibilità,/disponibilita/,Fear can hinder a student's willingness to participate.,La paura può ostacolare la volontà di partecipazione degli studenti.,/la paʊra pʊɔ ostakolare la volonta dɪ partetʃipatsione deʎɪ stʊdɛntɪ./,B1,Abstract,"B1,Abstract",
