English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
atlantic,atlantico,/atlantiko/,"Go to Atlantic City for a week, or up to Montreal.",Andate ad Atlantic City per una settimana o a Montreal.,/andate ad atlantik siːtɪ per ʊna setːimana o a mɔntreal./,B1,Grammar,"B1,Grammar",
mediterranean,mediterraneo,/mediterɾaneo/,I was in the Mediterranean with him; I am quite a sailor.,Sono stato nel Mediterraneo con lui; sono un marinaio.,/sono stato nel mediterɾaneo kon lui; sono ʊn marinaio./,B1,Grammar,"B1,Grammar",
abnormal,anormale,/anormale/,What natural force could possibly have produced such abnormal and extraordinary plants?,Quale forza naturale può aver prodotto piante così anormali e straordinarie?,/kwale fɔrtsa natʊrale pʊɔ avɛr prodotːo pjante kozi anormalɪ e straordinarie?/,B1,Grammar,"B1,Grammar",
aboard,a bordo,/a bɔrdo/,Well may I get aboard!,Che io possa salire a bordo!,/ke io pɔssa salire a bɔrdo!/,B1,Grammar,"B1,Grammar",
absent,assente,/assɛnte/,"These things are starkly, dramatically absent.",Queste cose sono nettamente e drammaticamente assenti.,/kweste kɔze sono netːamente e drammatikamente assɛntɪ./,B1,Grammar,"B1,Grammar",
absolute,assoluto,/assoluto/,Mark you His absolute “shall”?,"Segnare il Suo ""deve"" assoluto?","/seɲare il suo ""dɛve"" assoluto?/",B1,Grammar,"B1,Grammar",
absolutely,assolutamente,/assolʊtamente/,The sky was absolutely black.,Il cielo era assolutamente nero.,/il tʃɛlo ɛra assolʊtamente nero./,B1,Grammar,"B1,Grammar",
abundant,abbondante,/abːondante/,"In that flawless field, a religious donation is abundant.","In questo campo impeccabile, la donazione religiosa è abbondante.","/in kwesto kampo impekːabile, la donatsione relidʒoza e abːondante./",B1,Grammar,"B1,Grammar",
accessible,accessibile,/atʃːessibile/,"Is it accessible, ’ cried Mr.","È accessibile?"", ha gridato Mr.","/e atʃːessibile?"", a ɡridato ɛmmeɛrɾe./",B1,Grammar,"B1,Grammar",
accidentally,accidentalmente,/atʃːidentalmente/,The coroner’s jury found that he took the poison accidentally.,La giuria del coroner ha stabilito che ha assunto il veleno accidentalmente.,/la dʒʊria del koroner a stabilito ke a assunto il veleno atʃːidentalmente./,B1,Grammar,"B1,Grammar",
accurate,accurata,/akːʊrata/,Then we have accurate rules.,Allora abbiamo regole precise.,/allora abːjamo rɛɡole pretʃize./,B1,Grammar,"B1,Grammar",
