English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
hiv,hiv,/akːa iː vu/,There are now treatments for Ebola and HIV.,Oggi esistono trattamenti per l'Ebola e l'HIV.,/ɔdʒːɪ ezistono tratːamentɪ per lebola e lakːa iː vu./,B1,Health,"B1,Health",
ache,acciacchi,/atʃːakːɪ/,Mine ache to think on’t.,Mi fa male pensare a questo.,/mɪ fa male pensare a kwesto./,B1,Health,"B1,Health",
acquire,acquisire,/akːwizire/,What new power can I acquire?,Quale nuovo potere posso acquisire?,/kwale nʊɔvo potere pɔsso akːwizire?/,B1,Health,"B1,Health",
anger,rabbia,/rabːia/,Anger is the one thing.,La rabbia è l'unica cosa.,/la rabːia e lunika kɔza./,B1,Health,"B1,Health",
animation,animazione,/animatsione/,"It IS a wilderness, ’ said the old man with much animation.","È una regione selvaggia"", disse il vecchio con molta animazione.","/e ʊna redʒone selvadʒːa"", disse il vɛkːio kon molta animatsione./",B1,Health,"B1,Health",
anxiety,ansia,/ansia/,I asked with natural anxiety.,Lo chiesi con naturale ansia.,/lo kjɛzɪ kon natʊrale ansia./,B1,Health,"B1,Health",
arrest,arresto,/arɾɛsto/,"I do arrest you, sir.","La dichiaro in arresto, signore.","/la dikjaro in arɾɛsto, siɲore./",B1,Health,"B1,Health",
backache,mal di schiena,/mal dɪ skjɛna/,I had backache from lying down on the cold floor.,Avevo mal di schiena per essermi sdraiata sul pavimento freddo.,/avevo mal dɪ skjɛna per ɛssermɪ zdrajata sʊl pavimento fredːo./,B1,Health,"B1,Health",
bathe,fare il bagno,/fare il baɲɲo/,Come and have a bathe.,Venite a fare il bagno.,/venite a fare il baɲɲo./,B1,Health,"B1,Health",
bleed,sanguinare,/saŋɡwinare/,I do not see them bleed.,Non li vedo sanguinare.,/non lɪ vedo saŋɡwinare./,B1,Health,"B1,Health",
blush,arrossire,/arɾossire/,I blush to think upon this ignomy.,Arrossisco al pensiero di questa ignominia.,/arɾossisko al pensiɛro dɪ kwesta iɲominia./,B1,Health,"B1,Health",
calf,polpaccio,/polpatʃːo/,Is not veal a calf?,Il vitello non è forse un vitello?,/il vitɛllo non e forse ʊn vitɛllo?/,B1,Health,"B1,Health",
calmness,calma,/kalma/,"It is possible, ” said the uncle, with great calmness.","È possibile"", disse lo zio con grande calma.","/e possibile"", disse lo dzio kon ɡrande kalma./",B1,Health,"B1,Health",
citizenship,cittadinanza,/tʃitːadinantsa/,American citizenship is a precious privilege when every goggle-eyed German—” His anger choked him.,"La cittadinanza americana è un privilegio prezioso quando ogni tedesco occhialuto..."" La rabbia lo soffoca.","/la tʃitːadinantsa amerikana e ʊn privilɛdʒo pretsjozo kwando oɲɲɪ tedesko okːjaluto..."" la rabːia lo sɔffoka./",B1,Health,"B1,Health",
collapse,crollo,/krɔllo/,"The veins are all thin-walled, and collapse when empty.",Le vene sono tutte a parete sottile e collassano quando sono vuote.,/le vene sono tutːe a parete sotːile e kollassano kwando sono vʊɔte./,B1,Health,"B1,Health",
consumption,consumo,/konsumo/,"In such cases, a water-meter is required to record the consumption.","In questi casi, è necessario un contatore d'acqua per registrare il consumo.","/in kwestɪ kazɪ, e netʃessario ʊn kontatore dakːwa per redʒistrare il konsumo./",B1,Health,"B1,Health",
cough,tosse,/tosse/,That is a very bad cough.,È una tosse molto brutta.,/e ʊna tosse molto brutːa./,B1,Health,"B1,Health",
crash,incidente,/intʃidɛnte/,The company were quite paralysed by this domestic crash.,L'azienda è rimasta piuttosto paralizzata da questo incidente interno.,/ladzjɛnda e rimasta pjʊtːɔsto paɾalidzːata da kwesto intʃidɛnte intɛrno./,B1,Health,"B1,Health",
crisis,crisi,/krizɪ/,He is having an existential crisis.,Sta avendo una crisi esistenziale.,/sta avɛndo ʊna krizɪ ezistentsjale./,B1,Health,"B1,Health",
decline,declino,/deklino/,"Do you decline it, sir?","Lo rifiuta, signore?","/lo rifjuta, siɲore?/",B1,Health,"B1,Health",
deficiency,carenza,/karɛntsa/,He would only show the deficiency of the others.,Mostrerebbe solo le carenze degli altri.,/mostrerɛbːe solo le karɛntse deʎɪ altrɪ./,B1,Health,"B1,Health",
desire,desiderio,/dezidɛrio/,Thus did I desire it.,Così l'ho desiderato.,/kozi lo deziderato./,B1,Health,"B1,Health",
despair,disperazione,/disperatsione/,By such despair I should accuse myself.,Con tale disperazione dovrei accusare me stesso.,/kon tale disperatsione dovrɛi akːʊzare me stesso./,B1,Health,"B1,Health",
destruction,distruzione,/distrʊtsione/,Expect the time to Troy’s destruction given.,Si attende il momento della distruzione di Troia.,/sɪ atːɛnde il momento della distrʊtsione dɪ trɔia./,B1,Health,"B1,Health",
disability,disabilità,/dizabilita/,Karl has a disability.,Karl è disabile.,/karl e dizabile./,B1,Health,"B1,Health",
disable,disabilitare,/dizabilitare/,There are no casts to disable the type-checking when necessary.,Non ci sono cast per disabilitare il controllo dei tipi quando necessario.,/non tʃɪ sono kast per dizabilitare il kontrɔllo deɪ tipɪ kwando netʃessario./,B1,Health,"B1,Health",
