English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
cd-rom,cd-rom,/tʃid̪iːrom/,The new album was released on CD-ROM.,Il nuovo album è stato pubblicato su CD-ROM.,/il nʊɔvo albʊm e stato pʊbːlikato sʊ tʃid̪iːɛrɾeɔːɛmme./,B1,Shopping,"B1,Shopping",
academy,accademia,/akːadɛmia/,A grand ball at the Academy of Music was given him.,Gli è stato offerto un grande ballo all'Accademia della Musica.,/ʎɪ e stato offɛrto ʊn ɡrande ballo allakːadɛmia della muzika./,B1,Shopping,"B1,Shopping",
aid,aiuto,/ajuto/,It is the aid of God!,È l'aiuto di Dio!,/e lajuto dɪ dio!/,B1,Shopping,"B1,Shopping",
allowance,indennità,/indennita/,"All allowance, ’ he continued, ‘must be made.","Bisogna tenerne conto"", ha proseguito, ""per quanto possibile.","/bizoɲɲa tenɛrne konto"", a prozeɡwito, ""per kwanto possibile./",B1,Shopping,"B1,Shopping",
ambulance,ambulanza,/ambʊlantsa/,"No, ” replied Braith, looking troubled, “he was not at Ambulance Headquarters.","No"", rispose Braith, con aria preoccupata, ""non era al quartier generale dell'ambulanza.","/nɔ"", rispoze braɪt, kon aria preokːʊpata, ""non ɛra al kwartjɛr dʒenerale dellambʊlantsa./",B1,Shopping,"B1,Shopping",
aspirin,aspirina,/aspirina/,How do you synthesize aspirin?,Come si sintetizza l'aspirina?,/kome sɪ sintetidzːa laspirina?/,B1,Shopping,"B1,Shopping",
avenue,viale,/vjale/,We had better go into the avenue.,È meglio andare nel viale.,/e mɛʎo andare nel vjale./,B1,Shopping,"B1,Shopping",
backpack,zaino,/dzaɪno/,Sami had a nice backpack.,Sami aveva un bello zaino.,/samɪ aveva ʊn bɛllo dzaɪno./,B1,Shopping,"B1,Shopping",
bakery,panificio,/panifitʃo/,I used to come here when it was a bakery.,Venivo qui quando era una panetteria.,/venivo kwi kwando ɛra ʊna panetːeria./,B1,Shopping,"B1,Shopping",
bandage,bendaggio,/bendadʒːo/,"Pali has paṭimokkha (“bandage”), paṭimukka (“bound”) and pātimokkha (“that which should be binding”).","Il Pali ha paṭimokkha (""benda""), paṭimukka (""legato"") e pātimokkha (""ciò che deve essere legato"").","/il palɪ a pi a letːeːraunoeːsɛjd̪iː i ɛmme o kapːa kapːa akːa a (""bɛnda""), pi a letːeːraunoeːsɛjd̪iː i ɛmme u kapːa kapːa a (""leɡato"") e patimokːa (""tʃɔ ke dɛve ɛssere leɡato"")./",B1,Shopping,"B1,Shopping",
