English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
cv,cv,/tʃivu/,I don't give a fig about my CV.,Non me ne frega niente del mio CV.,/non me ne freɡa njɛnte del mio tʃivu./,B1,Social,"B1,Social",
christian,cristiano,/kristjano/,Is this your Christian counsel?,È questo il vostro consiglio cristiano?,/e kwesto il vɔstro konsiʎo kristjano?/,B1,Social,"B1,Social",
dj,dj,/dɪ dʒeɪ/,Mary is a bedroom DJ.,Mary è una DJ da camera.,/mɛːɾɪ e ʊna dɪ dʒeɪ da kamera./,B1,Social,"B1,Social",
englishman,inglese,/iŋɡleze/,Is your Englishman so expert in his drinking?,Il vostro inglese è così esperto nel bere?,/il vɔstro iŋɡleze e kozi espɛrto nel bere?/,B1,Social,"B1,Social",
aborigine,aborigeno,/aboridʒeno/,Aborigines see these two reasons not to use regular speech.,Gli aborigeni vedono questi due motivi per non usare il linguaggio normale.,/ʎɪ aboridʒenɪ vedono kwestɪ due motivɪ per non ʊzare il liŋɡwadʒːo normale./,B1,Social,"B1,Social",
abstract,astratto,/astratːo/,There was no conception of an abstract kingship.,Non c'era la concezione di una regalità astratta.,/non tʃɛra la kontʃetsione dɪ ʊna reɡalita astratːa./,B1,Social,"B1,Social",
abundance,abbondanza,/abːondantsa/,On one occasion the monks had an abundance of requisites.,In un'occasione i monaci avevano un'abbondanza di requisiti.,/in ʊnokːazione i mɔnatʃɪ avevano ʊnabːondantsa dɪ rekwizitɪ./,B1,Social,"B1,Social",
academic,accademico,/akːadɛmiko/,"Our being fellow-academics, and friends from childhood up, is security.",Il nostro essere compagni di università e amici fin dall'infanzia è una sicurezza.,/il nɔstro ɛssere kompaɲɲɪ dɪ ʊniversita e amitʃɪ fin dallinfantsia e ʊna sikʊretsːa./,B1,Social,"B1,Social",
accent,accento,/atʃːɛnto/,All hearts were stirred by the accents of this harrowing voice.,Tutti i cuori furono scossi dagli accenti di questa voce straziante.,/tutːɪ i kʊɔrɪ fʊrono skɔssɪ daʎɪ atʃːɛntɪ dɪ kwesta votʃe stratsiante./,B1,Social,"B1,Social",
acceptance,accettazione,/atʃːetːatsione/,Patient acceptance is the ultimate fervor.,L'accettazione del paziente è il massimo del fervore.,/latʃːetːatsione del patsiɛnte e il massimo del fervore./,B1,Social,"B1,Social",
access,accesso,/atʃːɛsso/,There was no access around the fireplace.,Non c'era accesso intorno al camino.,/non tʃɛra atʃːɛsso intorno al kamino./,B1,Social,"B1,Social",
