English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
absence,assenza,/assɛntsa/,Darkness is absence of light.,L'oscurità è assenza di luce.,/loskʊrita e assɛntsa dɪ lutʃe./,B1,Time & Quantity,"B1,Time & Quantity",
administration,amministrazione,/amministratsione/,Only Venice’s administration seems to have been efficient.,Solo l'amministrazione di Venezia sembra essere stata efficiente.,/solo lamministratsione dɪ venɛtsia sembra ɛssere stata effitʃɛnte./,B1,Time & Quantity,"B1,Time & Quantity",
atmosphere,atmosfera,/atmosfɛra/,The atmosphere is otherwise stale and close.,L'atmosfera è altrimenti stantia e chiusa.,/latmosfɛra e altrimentɪ stantia e kjuza./,B1,Time & Quantity,"B1,Time & Quantity",
barrel,barile,/barile/,Say you strike a Forty-barrel-bull—poor devil!,"Di' che colpisci un quarantenne, un povero diavolo!","/dɪ ke kolpiʃɪ ʊn kwaɾantɛnne, ʊn pɔvero djavolo!/",B1,Time & Quantity,"B1,Time & Quantity",
basin,bacino,/batʃino/,What say the niches with their stone basins?,Cosa dicono le nicchie con i loro bacini di pietra?,/kɔza dikono le nikːje kon i lɔro batʃinɪ dɪ pjɛtra?/,B1,Time & Quantity,"B1,Time & Quantity",
candle,candela,/kandela/,Can the candle help it?,La candela può aiutarlo?,/la kandela pʊɔ ajʊtarlo?/,B1,Time & Quantity,"B1,Time & Quantity",
capacity,capacità,/kapatʃita/,In this capacity Hotman was invaluable.,In questa veste Hotman è stato prezioso.,/in kwesta vɛste otman e stato pretsjozo./,B1,Time & Quantity,"B1,Time & Quantity",
carton,cartone,/kartone/,He never thought of Carton.,Non ha mai pensato a Carton.,/non a maj pensato a karton./,B1,Time & Quantity,"B1,Time & Quantity",
checkout,cassa,/kassa/,Damiano was in the checkout area.,Damiano era alla cassa.,/damjano ɛra alla kassa./,B1,Time & Quantity,"B1,Time & Quantity",
deadline,scadenza,/skadɛntsa/,I don't remember when the deadline is.,Non ricordo quando è la scadenza.,/non rikɔrdo kwando e la skadɛntsa./,B1,Time & Quantity,"B1,Time & Quantity",
decade,decennio,/detʃɛnnio/,Other sources which have seen the light within the last three decades are M.,Altre fonti che hanno visto la luce negli ultimi tre decenni sono M.,/altre fontɪ ke anno visto la lutʃe neʎɪ ultimɪ tre detʃɛnnɪ sono ɛmme./,B1,Time & Quantity,"B1,Time & Quantity",
donate,donare,/donare/,I will give: I will donate.,Darò: Donerò.,/daɾɔ: doneɾɔ./,B1,Time & Quantity,"B1,Time & Quantity",
dozen,dozzina,/dodzːina/,"A dozen year, ’ he told her.","Una dozzina di anni"", le disse.","/ʊna dodzːina dɪ annɪ"", le disse./",B1,Time & Quantity,"B1,Time & Quantity",
eternity,eternità,/eternita/,Or are they free from disease for eternity?,O sono liberi dalla malattia per l'eternità?,/o sono liberɪ dalla malatːia per leternita?/,B1,Time & Quantity,"B1,Time & Quantity",
flock,gregge,/ɡrɛdʒːe/,Do you want that flock of birds to stay away?,Volete che quello stormo di uccelli stia lontano?,/volete ke kwello stormo dɪ ʊtʃːɛllɪ stia lontano?/,B1,Time & Quantity,"B1,Time & Quantity",
flow,flusso,/flusso/,What congratulations will then flow in!,Che congratulazioni arriveranno!,/ke koŋɡratʊlatsionɪ arɾiveranno!/,B1,Time & Quantity,"B1,Time & Quantity",
fortnight,quindici giorni,/kwinditʃɪ dʒornɪ/,It was a fortnight since Mrs.,Erano passati quindici giorni da quando Mrs.,/ɛrano passatɪ kwinditʃɪ dʒornɪ da kwando ɛmmeɛrɾeɛsse./,B1,Time & Quantity,"B1,Time & Quantity",
full,completo,/komplɛto/,He is full of harmony.,È pieno di armonia.,/e pjɛno dɪ armonia./,B1,Time & Quantity,"B1,Time & Quantity",
gain,guadagno,/ɡwadaɲɲo/,How is the gain made?,Come viene realizzato il guadagno?,/kome vjɛne realidzːato il ɡwadaɲɲo?/,B1,Time & Quantity,"B1,Time & Quantity",
gallon,gallone,/ɡallone/,The tub has a capacity of fifty gallons.,La vasca ha una capacità di 50 litri.,/la vaska a ʊna kapatʃita dɪ tʃinkwanta litrɪ./,B1,Time & Quantity,"B1,Time & Quantity",
gee,gee,/dʒɛe/,"Gee, it sure is boring around here!","Caspita, è proprio noioso da queste parti!","/kaspita, e prɔprio noiozo da kweste partɪ!/",B1,Time & Quantity,"B1,Time & Quantity",
honeymoon,luna di miele,/luna dɪ mjɛle/,"This is a regular honeymoon Paradise, isn't it?","Questo è un normale paradiso per la luna di miele, vero?","/kwesto ɛ ʊn normale paɾadizo per la luna dɪ mjɛle, vero?/",B1,Time & Quantity,"B1,Time & Quantity",
imaginary,immaginario,/immadʒinario/,The distance is quite imaginary.,La distanza è del tutto immaginaria.,/la distantsa e del tutːo immadʒinaria./,B1,Time & Quantity,"B1,Time & Quantity",
intermission,intervallo,/intervallo/,The rain continued the whole evening without intermission; Jane certainly could not come back.,La pioggia continuò per tutta la sera senza interruzione; Jane non poteva certo tornare indietro.,/la pjɔdʒːa kontinʊɔ per tutːa la sera sɛntsa interɾʊtsione; (en)dʒeɪn(it) non potɛva tʃɛrto tornare indjɛtro./,B1,Time & Quantity,"B1,Time & Quantity",
jar,vaso,/vazo/,"What’s in them stone jars, young touch-and-go?","Cosa c'è in quei vasi di pietra, giovane toccata e fuga?","/kɔza tʃe in kweɪ vazɪ dɪ pjɛtra, dʒovane tokːata e fuɡa?/",B1,Time & Quantity,"B1,Time & Quantity",
jug,brocca,/brɔkːa/,I had filled up the bottle from the tar-water jug.,Avevo riempito la bottiglia dalla brocca di acqua e catrame.,/avevo riempito la botːiʎa dalla brɔkːa dɪ akːwa e katrame./,B1,Time & Quantity,"B1,Time & Quantity",
kettle,bollitore,/bollitore/,Hurrah!—Here we go like three tin kettles at the tail of a mad cougar!,Evviva! - Eccoci qui come tre bricchi di latta alle calcagna di un puma impazzito!,/evviva! ɛkːotʃɪ kwi kome tre brikːɪ dɪ latːa alle kalkaɲɲa dɪ ʊn puma impatsːito!/,B1,Time & Quantity,"B1,Time & Quantity",
league,campionato,/kampjonato/,For the work of this league see pp.,Per il lavoro di questa lega si vedano le pp.,/per il lavɔro dɪ kwesta leɡa sɪ vedano le pipi./,B1,Time & Quantity,"B1,Time & Quantity",
limit,limite,/limite/,The limit of your lives is out.,Il limite della vostra vita è superato.,/il limite della vɔstra vita e sʊperato./,B1,Time & Quantity,"B1,Time & Quantity",
limitation,limitazione,/limitatsione/,"That which has no limitations, has no form.","Ciò che non ha limiti, non ha forma.","/tʃɔ ke non a limitɪ, non a forma./",B1,Time & Quantity,"B1,Time & Quantity",
majority,maggioranza,/madʒːorantsa/,And how is there majority decision?,E come si fa a decidere a maggioranza?,/e kome sɪ fa a detʃidere a madʒːorantsa?/,B1,Time & Quantity,"B1,Time & Quantity",
maximum,massimo,/massimo/,The Gaza Strip is a maximum security prison.,La Striscia di Gaza è un carcere di massima sicurezza.,/la striʃa dɪ ɡatsa e ʊn kartʃere dɪ massima sikʊretsːa./,B1,Time & Quantity,"B1,Time & Quantity",
meanwhile,nel frattempo,/nel fratːɛmpo/,"In the meanwhile, be silent!","Nel frattempo, fate silenzio!","/nel fratːɛmpo, fate silɛntsio!/",B1,Time & Quantity,"B1,Time & Quantity",
minimum,minimo,/minimo/,The minimum result it leads to for a human being is madness.,Il risultato minimo a cui porta un essere umano è la follia.,/il rizʊltato minimo a kuj pɔrta ʊn ɛssere ʊmano e la follia./,B1,Time & Quantity,"B1,Time & Quantity",
minority,minoranza,/minorantsa/,He shall present Hercules in minority.,Presenterà Ercole in minoranza.,/prezenteɾa ɛrkole in minorantsa./,B1,Time & Quantity,"B1,Time & Quantity",
nail,chiodo,/kjɔdo/,"At it they went, tooth and nail.","Hanno continuato a farlo, con le unghie e con i denti.","/anno kontinʊato a farlo, kon le uŋɡje e kon i dɛntɪ./",B1,Time & Quantity,"B1,Time & Quantity",
nap,pisolino,/pizolino/,"It’s always more like a fit than a nap, ” says Mr.","È sempre più simile a una crisi che a un pisolino"", dice Mr.","/e sɛmpre pjʊ simile a ʊna krizɪ ke a ʊn pizolino"", ditʃe ɛmmeɛrɾe./",B1,Time & Quantity,"B1,Time & Quantity",
neighborhood,quartiere,/kwartiɛre/,The neighborhood is secluded—particularly so.,"Il quartiere è appartato, in particolare.","/il kwartiɛre e apːartato, in partikolare./",B1,Time & Quantity,"B1,Time & Quantity",
outweigh,superare,/sʊperare/,Do the benefits outweigh the costs?,I benefici sono superiori ai costi?,/i benefitʃɪ sono sʊperiorɪ aj kɔstɪ?/,B1,Time & Quantity,"B1,Time & Quantity",
oxygen,ossigeno,/ossidʒeno/,"Its combination with oxygen, called combustion, is the act which heats the boiler.","La sua combinazione con l'ossigeno, chiamata combustione, è l'atto che riscalda la caldaia.","/la sʊa kombinatsione kon lossidʒeno, kjamata kombʊstjone, e latːo ke riskalda la kaldaia./",B1,Time & Quantity,"B1,Time & Quantity",
pace,ritmo,/ritmo/,At ten paces not an object was visible.,A dieci passi non era visibile alcun oggetto.,/a djɛtʃɪ passɪ non ɛra vizibile alkʊn odʒːɛtːo./,B1,Time & Quantity,"B1,Time & Quantity",
paralyze,paralizzare,/paɾalidzːare/,"The dream also says: I renounce the infantile wish, I sacrifice my infantile personality (which is synonymous with: I paralyze it, castrate the father or the physician).","Il sogno dice anche: rinuncio al desiderio infantile, sacrifico la mia personalità infantile (che è sinonimo di: La paralizzo, castro il padre o il medico).","/il soɲɲo ditʃe anke: rinuntʃo al dezidɛrio infantile, sakrifiko la mia personalita infantile (ke e sinɔnimo di: la paɾalidzːo, kastro il padre o il mɛdiko)./",B1,Time & Quantity,"B1,Time & Quantity",
pause,pausa,/paʊza/,There was a long pause.,C'è stata una lunga pausa.,/tʃe stata ʊna luŋɡa paʊza./,B1,Time & Quantity,"B1,Time & Quantity",
pot,vaso,/vazo/,These are the four pots.,Questi sono i quattro vasi.,/kwestɪ sono i kwatːro vazɪ./,B1,Time & Quantity,"B1,Time & Quantity",
purify,purificare,/pʊrifikare/,"↩ When striving, one will purify and develop the “mind”.","Quando ci si sforza, si purifica e si sviluppa la ""mente"".","/kwando tʃɪ sɪ sfɔrtsa, sɪ pʊrifika e sɪ zvilupːa la ""mente""./",B1,Time & Quantity,"B1,Time & Quantity",
rational,razionale,/ratsionale/,Rational application of mind is very beneficial.,L'applicazione razionale della mente è molto benefica.,/lapːlikatsione ratsionale della mente e molto benɛfika./,B1,Time & Quantity,"B1,Time & Quantity",
shift,turno,/turno/,"If my shirt were bloody, then to shift it.","Se la mia camicia era insanguinata, allora per spostarla.","/se la mia kamitʃa ɛra insaŋɡwinata, allora per spostarla./",B1,Time & Quantity,"B1,Time & Quantity",
