English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
accessibility,accessibilità,/atʃːessibilita/,This accessibility is common in everyday life.,Questa accessibilità è comune nella vita di tutti i giorni.,/kwesta atʃːessibilita e komune nella vita dɪ tutːɪ i dʒornɪ./,B2,Abstract,"B2,Abstract",
asset,attività,/atːivita/,"I was a majestic king, with lots of property and assets.","Ero un re maestoso, con molte proprietà e beni.","/ɛro ʊn rɛ maestozo, kon molte proprieta e bɛnɪ./",B2,Abstract,"B2,Abstract",
attractiveness,attrattiva,/atːratːiva/,"But when she has the powers of attractiveness, wealth, and relatives she’s complete in that respect.","Ma quando ha i poteri dell'attrattiva, della ricchezza e dei parenti è completa sotto questo aspetto.","/ma kwando a i potɛrɪ dellatːratːiva, della rikːetsːa e deɪ parɛntɪ e komplɛta sotːo kwesto aspɛtːo./",B2,Abstract,"B2,Abstract",
availability,disponibilità,/disponibilita/,I will plan my business trip according to Tom's availability.,Pianificherò il mio viaggio di lavoro in base alla disponibilità di Tom.,/pjanifikeɾɔ il mio vjadʒːo dɪ lavɔro in baze alla disponibilita dɪ tɔm./,B2,Abstract,"B2,Abstract",
blaze,fiammata,/fjammata/,What the Blue Blazes is he?,Che diavolo è?,/ke djavolo ɛː?/,B2,Abstract,"B2,Abstract",
clearness,chiarezza,/kjaretsːa/,"But what I saw was simply a reflection, developed by the clearness of the waters.","Ma quello che vedevo era semplicemente un riflesso, sviluppato dalla limpidezza delle acque.","/ma kwello ke vedɛvo ɛra semplitʃemente ʊn riflɛsso, zvilʊpːato dalla limpidetsːa delle akːwe./",B2,Abstract,"B2,Abstract",
coincidence,coincidenza,/kointʃidɛntsa/,This is more than a coincidence.,Questa è più di una coincidenza.,/kwesta ɛ pjʊ dɪ ʊna kointʃidɛntsa./,B2,Abstract,"B2,Abstract",
competence,competenza,/kompetɛntsa/,"For competence of life I will allow you, That lack of means enforce you not to evils.","Per la competenza della vita vi concederò, che la mancanza di mezzi non vi costringa ai mali.","/per la kompetɛntsa della vita vɪ kontʃedeɾɔ, ke la mankantsa dɪ mɛdzːɪ non vɪ kostriŋɡa aj malɪ./",B2,Abstract,"B2,Abstract",
complexity,complessità,/komplessita/,It is just that I try to express this without undue complexity.,È solo che cerco di esprimerlo senza eccessiva complessità.,/e solo ke tʃerko dɪ esprɪmerlo sɛntsa etʃːessiva komplessita./,B2,Abstract,"B2,Abstract",
correctness,correttezza,/korɾetːetsːa/,"Unless there is outward correctness, TAO will not operate.","Se non c'è correttezza verso l'esterno, la TAO non funziona.","/se non tʃe korɾetːetsːa vɛrso lestɛrno, la tɪaːɔː non fʊntsiona./",B2,Abstract,"B2,Abstract",
disconnect,disconnessione,/diskonnessjone/,Sami had to disconnect that call.,Sami ha dovuto interrompere la chiamata.,/samɪ a dovuto interɾompere la kjamata./,B2,Abstract,"B2,Abstract",
dishonesty,disonestà,/dizonesta/,From all dishonesty he can.,Da ogni disonestà può.,/da oɲɲɪ dizonesta pʊɔ./,B2,Abstract,"B2,Abstract",
distortion,distorsione,/distorsjone/,Never were such distortions as Mr.,Mai ci sono state distorsioni come quelle di Mr.,/maj tʃɪ sono state distorsjonɪ kome kwelle dɪ ɛmmeɛrɾe./,B2,Abstract,"B2,Abstract",
diversity,diversità,/diversita/,This is equanimity based on diversity.,Questa è l'equanimità basata sulla diversità.,/kwesta ɛ lekwanimita bazata sʊlla diversita./,B2,Abstract,"B2,Abstract",
downfall,caduta,/kaduta/,Snp 1.6 Downfalls Parābhavasutta So I have heard.,Snp 1.6 Cadute Parābhavasutta Così ho sentito dire.,/ɛsseɛnnepi uno.sɛj kadute paɾabavazutːa kozi o sentito dire./,B2,Abstract,"B2,Abstract",
effectiveness,efficacia,/effikatʃa/,Effectiveness of assertion is the Alpha and Omega of style.,L'efficacia dell'asserzione è l'alfa e l'omega dello stile.,/leffikatʃa dellassertsione e lalfa e lomɛɡa dello stile./,B2,Abstract,"B2,Abstract",
elegance,eleganza,/eleɡantsa/,His style is equally devoid of elegance and simplicity.,Il suo stile è altrettanto privo di eleganza e semplicità.,/il sʊo stile e altretːanto privo dɪ eleɡantsa e semplitʃita./,B2,Abstract,"B2,Abstract",
exactness,esattezza,/ezatːetsːa/,"They have the exactness, and at the same time, the coldness of mathematical demonstrations.",Hanno l'esattezza e allo stesso tempo la freddezza delle dimostrazioni matematiche.,/anno lezatːetsːa e allo stesso tɛmpo la fredːetsːa delle dimostratsionɪ matematike./,B2,Abstract,"B2,Abstract",
firmness,fermezza,/fermedzːa/,"Clara, my love, have you forgotten?--Firmness, my dear!","Clara, amore mio, l'hai dimenticato? -Firmità, mia cara!","/klaɾa, amore mio, laj dimentikato? firmita, mia kaɾa!/",B2,Abstract,"B2,Abstract",
