English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
adore,adorare,/adorare/,I thought it was “adore.,"Pensavo fosse ""adore"".","/pensavo fosse ""adore""./",B2,Emotions,"B2,Emotions",
agonize,agonizzare,/aɡonidzːare/,This agonize is common in everyday life.,Questa agonia è comune nella vita di tutti i giorni.,/kwesta aɡonia e komune nella vita dɪ tutːɪ i dʒornɪ./,B2,Emotions,"B2,Emotions",
amazement,stupore,/stʊpore/,"Amazement was, of course, predominant.","Lo stupore era, ovviamente, predominante.","/lo stʊpore ɛra, ovviamente, predominante./",B2,Emotions,"B2,Emotions",
assure,assicurare,/assikʊrare/,"Not at all, ” I would assure him.","Niente affatto"", gli assicurai.","/njɛnte affatːo"", ʎɪ assikʊraːɪ./",B2,Emotions,"B2,Emotions",
astonishment,stupore,/stʊpore/,I say to my astonishment.,Dico con stupore.,/diko kon stʊpore./,B2,Emotions,"B2,Emotions",
awe,soggezione,/sodʒːetsione/,What impressions of deep awe did it inspire!,Che impressioni di profondo stupore ha suscitato!,/ke impressjonɪ dɪ profondo stʊpore a sʊʃitato!/,B2,Emotions,"B2,Emotions",
belongings,effetti personali,/effɛtːɪ personalɪ/,I have been trouble enough to my belongings in my day.,Ai miei tempi ho avuto abbastanza problemi con le mie cose.,/aj mjɛi tɛmpɪ o avuto abːastantsa problɛmɪ kon le mie kɔze./,B2,Emotions,"B2,Emotions",
benevolence,benevolenza,/benevolɛntsa/,This was then the reward of my benevolence!,Questa è stata la ricompensa della mia benevolenza!,/kwesta ɛ stata la rikompɛnsa della mia benevolɛntsa!/,B2,Emotions,"B2,Emotions",
bewilder,disorientare,/dizorientare/,But he is so many other things that he bewilders.,Ma è così tante altre cose che sconcerta.,/ma e kozi tante altre kɔze ke skontʃɛrta./,B2,Emotions,"B2,Emotions",
bravery,coraggio,/koradʒːo/,"Bravery, mindfulness, and the spiritual life is lived here.","Qui si vive il coraggio, la consapevolezza e la vita spirituale.","/kwi sɪ vive il koradʒːo, la konsapevoletsːa e la vita spiritʊale./",B2,Emotions,"B2,Emotions",
