English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
accommodate,ospitare,/ospitare/,I may as well accommodate myself to the company.,Potrei anche adattarmi alla compagnia.,/potrɛi anke adatːarmɪ alla kompaɲia./,B2,Food,"B2,Food",
activate,attivare,/atːivare/,And what is the principle to activate?,E qual è il principio da attivare?,/e kwal e il printʃipio da atːivare?/,B2,Food,"B2,Food",
addicted,dipendente,/dipendɛnte/,This is called the addicted practice.,Questa è la cosiddetta pratica della dipendenza.,/kwesta ɛ la kozidːetːa pratika della dipendɛntsa./,B2,Food,"B2,Food",
adopted,adottato,/adotːato/,This reading is adopted by K.R.,Questa lettura è adottata da K.R.,/kwesta letːura e adotːata da kapːa.ɛrɾe./,B2,Food,"B2,Food",
adorn,adornare,/adornare/,The radiant arms are by Patroclus borne; Patroclus’ ships the glorious spoils adorn.,Patroclo porta le sue armi radiose; le navi di Patroclo adornano il glorioso bottino.,/patroklo pɔrta le sʊe armɪ radjɔze; le navɪ dɪ patroklo adɔrnano il ɡloriozo botːino./,B2,Food,"B2,Food",
alter,alterare,/alterare/,But now she should alter.,Ma ora dovrebbe cambiare.,/ma ora dovrɛbːe kambjare./,B2,Food,"B2,Food",
arouse,suscitare,/sʊʃitare/,Would he arouse him with a throb of agony?,Lo avrebbe destato con un palpito di agonia?,/lo avrɛbːe destato kon ʊn palpito dɪ aɡonia?/,B2,Food,"B2,Food",
assemble,assemblare,/assemblare/,77 The united armies were commanded to assemble in a large plain near the city.,77 Agli eserciti uniti fu ordinato di radunarsi in una grande pianura vicino alla città.,/setːantasɛtːe aʎɪ ezɛrtʃitɪ ʊnitɪ fʊ ordinato dɪ radʊnarsɪ in ʊna ɡrande pjanura vitʃino alla tʃitːa./,B2,Food,"B2,Food",
aubergine,melanzana,/melaŋdzana/,The aubergine is a vegetable.,La melanzana è un ortaggio.,/la melaŋdzana e ʊn ortadʒːo./,B2,Food,"B2,Food",
audition,audizione,/aʊditsione/,John was mad about the audition.,John era arrabbiato per l'audizione.,/dʒɔn ɛra arɾabːjato per laʊditsione./,B2,Food,"B2,Food",
barley,orzo,/ɔɾdzo/,How does barley differ from wheat in general composition?,Come si differenzia l'orzo dal frumento nella composizione generale?,/kome sɪ differentsia lɔɾdzo dal frʊmento nella kompozitsione dʒenerale?/,B2,Food,"B2,Food",
