English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
olympia,olimpia,/olimpia/,"Olympias, by equal zeal, displayed in a more pious cause, has obtained the title of saint.","Olimpiade, per lo stesso zelo dimostrato in una causa più pia, ha ottenuto il titolo di santa.","/olimpiade, per lo stesso dzɛlo dimostrato in ʊna kaʊza pjʊ pia, a otːenuto il titolo dɪ santa./",B2,Professional,"B2,Professional",
abolish,abolire,/abolire/,The Sangha abolishes this may-stay-apart-from-the-three-robes area.,Il Sangha abolisce quest'area di permesso di non allontanarsi dalle tre vesti.,/il saŋɡa aboliʃe kwestarea dɪ permesso dɪ non allontanarsɪ dalle tre vɛstɪ./,B2,Professional,"B2,Professional",
aircrew,equipaggio di volo,/ekwipadʒːo dɪ volo/,I forgot an aircrew at home today.,Oggi ho dimenticato a casa una squadra aerea.,/ɔdʒːɪ o dimentikato a kaza ʊna skwadra aɛːrea./,B2,Professional,"B2,Professional",
amuse,divertirsi,/divertirsɪ/,What do you amuse yourself with?,Con cosa si diverte?,/kon kɔza sɪ divɛrte?/,B2,Professional,"B2,Professional",
anticipate,anticipare,/antitʃipare/,And how do you anticipate the future?,E come anticipa il futuro?,/e kome antitʃipa il fʊturo?/,B2,Professional,"B2,Professional",
aristocracy,aristocrazia,/aristokratsia/,He fully believes he is one of the aristocracy!,Crede pienamente di far parte dell'aristocrazia!,/krɛde pjenamente dɪ far parte dellaristokratsia!/,B2,Professional,"B2,Professional",
assault,assalto,/assalto/,"Assault, riot, theft, what do you call these?","Aggressione, sommossa, furto, come li chiamate?","/aɡːressjone, sommɔssa, furto, kome lɪ kjamate?/",B2,Professional,"B2,Professional",
assert,affermare,/affermare/,"You are their champion, and assert their rights.",Siete il loro paladino e fate valere i loro diritti.,/sjete il lɔro paladino e fate valere i lɔro diritːɪ./,B2,Professional,"B2,Professional",
associated,associato,/assotʃato/,Gandhabbas are closely associated with music.,I Gandhaba sono strettamente associati alla musica.,/i ɡandaba sono stretːamente assotʃatɪ alla muzika./,B2,Professional,"B2,Professional",
authorize,autorizzare,/aʊtoridzːare/,Do you authorize Mademoiselle Valentine to intrust herself to my honor?,Autorizzate la signorina Valentine ad affidarsi al mio onore?,/aʊtoridzːate la siɲorina valentine ad affidarsɪ al mio onore?/,B2,Professional,"B2,Professional",
battlefield,campo di battaglia,/kampo dɪ batːaʎa/,I wish I had never given up the battlefield for the mill.,Vorrei non aver mai abbandonato il campo di battaglia per il mulino.,/vorɾɛi non avɛr maj abːandonato il kampo dɪ batːaʎa per il mʊlino./,B2,Professional,"B2,Professional",
betray,tradurre,/tradurɾe/,I do betray myself with blushing.—Maid.,Mi tradisco arrossendo.-Cameriera.,/mɪ tradisko arɾossɛndo.kameriɛra./,B2,Professional,"B2,Professional",
birthplace,luogo di nascita,/lʊɔɡo dɪ naʃita/,"And what is the source, origin, birthplace, and inception of craving?","Qual è la fonte, l'origine, il luogo di nascita e l'inizio del desiderio?","/kwal e la fonte, loridʒine, il lʊɔɡo dɪ naʃita e linitsio del dezidɛrio?/",B2,Professional,"B2,Professional",
bombing,bombardamento,/bombardamento/,3 Malay nationals and a Filipino were killed in the Davao bombing on Mindanao.,"3 cittadini malesi e un filippino sono stati uccisi nell'attentato di Davao, a Mindanao.","/tre tʃitːadinɪ malezɪ e ʊn filipːino sono statɪ ʊtʃːizɪ nellatːentato dɪ davao, a mindanao./",B2,Professional,"B2,Professional",
boost,spinta,/spinta/,Algeria needs to give tourism a significant boost.,L'Algeria deve dare un impulso significativo al turismo.,/laldʒeria dɛve dare ʊn impulso siɲifikativo al tʊrizmo./,B2,Professional,"B2,Professional",
bureaucracy,burocrazia,/bʊrokratsia/,Algeria was known for its bureaucracy.,L'Algeria era nota per la sua burocrazia.,/laldʒeria ɛra nɔta per la sʊa bʊrokratsia./,B2,Professional,"B2,Professional",
burgle,scassinare,/skassinare/,Leon was looking to burgle Amelia's house.,Leon voleva svaligiare la casa di Amelia.,/leon volɛva zvalidʒare la kaza dɪ amelia./,B2,Professional,"B2,Professional",
cascade,cascata,/kaskata/,"The Cascade Harvest Coalition is a nonprofit in Washington state, dedicated to localizing food production.","La Cascade Harvest Coalition è un'associazione senza scopo di lucro dello Stato di Washington, dedicata alla localizzazione della produzione alimentare.","/la kaskade harvest koalitjon e ʊnassotʃatsione sɛntsa skɔpo dɪ lukro dello stato dɪ (en)wɒʃɪŋtən(it), dedikata alla lokalidzːatsione della prodʊtsione alimentare./",B2,Professional,"B2,Professional",
cemetery,cimitero,/tʃimitɛro/,In Provins the church and cemetery were immediately adjacent to the hospital!,A Provins la chiesa e il cimitero erano immediatamente adiacenti all'ospedale!,/a provins la kjɛza e il tʃimitɛro ɛrano immedjatamente adjatʃɛntɪ allospedale!/,B2,Professional,"B2,Professional",
certify,certificare,/tʃertifikare/,"Marry, for that she’s in a wrong belief, I go to certify her Talbot’s here.","Sposa, poiché è convinta di sbagliare, vado a certificare che Talbot è qui.","/spoza, poike e konvinta dɪ zbaʎare, vado a tʃertifikare ke talbot e kwi./",B2,Professional,"B2,Professional",
checkpoint,punto di controllo,/punto dɪ kontrɔllo/,There are no checkpoints at the border crossing.,Non ci sono posti di blocco al valico di frontiera.,/non tʃɪ sono postɪ dɪ blɔkːo al valiko dɪ frontiɛra./,B2,Professional,"B2,Professional",
civilization,civiltà,/tʃivilta/,Modern civilization is founded on science and education.,La civiltà moderna è fondata sulla scienza e sull'istruzione.,/la tʃivilta modɛrna e fondata sʊlla ʃɛntsa e sʊllistrʊtsione./,B2,Professional,"B2,Professional",
coalition,coalizione,/koalitsione/,"The coalition of the Christian churches is very ably explained by Mosheim, p.","La coalizione delle Chiese cristiane è spiegata molto abilmente da Mosheim, pag.","/la koalitsione delle kjɛze kristjane e spjeɡata molto abilmente da moʃɛim, paɡ./",B2,Professional,"B2,Professional",
coastline,costa,/kɔsta/,Does Australia have a coastline?,L'Australia ha una costa?,/laʊstralia a ʊna kɔsta?/,B2,Professional,"B2,Professional",
colony,colonia,/kolɔnia/,"We all do that, all the colony over.",,,B2,Professional,"B2,Professional",
commonwealth,Commonwealth,/(en)kɒmənwɛlθ(it)/,Here comes a member of the commonwealth.,Arriva un membro del Commonwealth.,/arɾiva ʊn mɛmbro del (en)kɒmənwɛlθ(it)./,B2,Professional,"B2,Professional",
compensate,compensare,/kompensare/,You must compensate the loss.,È necessario compensare la perdita.,/e netʃessario kompensare la pɛrdita./,B2,Professional,"B2,Professional",
condemn,condannare,/kondannare/,"Sidonius, bishop of Clermont, might condemn, (l.","Sidonio, vescovo di Clermont, potrebbe condannare (l.","/sidɔnio, veskovo dɪ klɛrmont, potrɛbːe kondannare (ɛlle./",B2,Professional,"B2,Professional",
