English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
aids,aiuti,/ajutɪ/,"The conditions there are right, so the gift aids the one who lives there.","Le condizioni del luogo sono giuste, quindi il dono aiuta colui che vi abita.","/le konditsionɪ del lʊɔɡo sono dʒuste, kwindɪ il dono ajuta koluːi ke vɪ abita./",B2,Shopping,"B2,Shopping",
x-ray,raggi X,/radʒːɪ iks/,The doctor is sending his patient for an X-ray.,Il medico manda il suo paziente a fare una radiografia.,/il mɛdiko manda il sʊo patsiɛnte a fare ʊna radjoɡrafia./,B2,Shopping,"B2,Shopping",
adjustment,regolazione,/reɡolatsione/,The same adjustment is required for the next three rules.,Lo stesso adeguamento è necessario per le tre regole successive.,/lo stesso adeɡwamento e netʃessario per le tre rɛɡole sʊtʃːessive./,B2,Shopping,"B2,Shopping",
aircraft,aereo,/aɛːreo/,Chinese military aircraft will prevent Pelosi from landing in Taiwan.,Gli aerei militari cinesi impediranno a Pelosi di atterrare a Taiwan.,/ʎɪ aɛːɾeɪ militarɪ tʃinezɪ impediranno a pelɔzɪ dɪ atːerɾare a tajwan./,B2,Shopping,"B2,Shopping",
altar,altare,/altare/,Who then shall offer To Mars’s so-scorned altar?,Chi offrirà dunque all'altare così disprezzato di Marte?,/kɪ offriɾa dunkwe allaltare kozi dispretsːato dɪ marte?/,B2,Shopping,"B2,Shopping",
amplifier,amplificatore,/amplifikatore/,"With the help of earphones, amplifiers, and hearing aids, some youngsters can hear the music.","Con l'aiuto di cuffie, amplificatori e apparecchi acustici, alcuni ragazzi riescono a sentire la musica.","/kon lajuto dɪ kuffje, amplifikatorɪ e apːarekːɪ akustitʃɪ, alkʊnɪ raɡatsːɪ rieskono a sentire la muzika./",B2,Shopping,"B2,Shopping",
anchorage,ancoraggio,/ankoradʒːo/,"There ought to have been a tranquil bark in such an anchorage, and there was.","In un ancoraggio del genere avrebbe dovuto esserci un barcone tranquillo, e così fu.","/in ʊn ankoradʒːo del dʒɛnere avrɛbːe dovuto ɛssertʃɪ ʊn barkone trankwillo, e kozi fu./",B2,Shopping,"B2,Shopping",
arena,arena,/arena/,"The body is the arena within which feelings, mind, and principles become apparent.","Il corpo è l'arena all'interno della quale si manifestano i sentimenti, la mente e i principi.","/il kɔrpo e larena allintɛrno della kwale sɪ manifɛstano i sentimentɪ, la mente e i printʃipɪ./",B2,Shopping,"B2,Shopping",
arms,armi,/armɪ/,You’re wanted at the Dedlock Arms.,Siete ricercati al Dedlock Arms.,/sjete ritʃerkatɪ al dedlokː arms./,B2,Shopping,"B2,Shopping",
artery,arteria,/artɛria/,The Nile is the vital artery of Egypt.,Il Nilo è l'arteria vitale dell'Egitto.,/il nilo e lartɛria vitale delledʒitːo./,B2,Shopping,"B2,Shopping",
assembly,assemblea,/assemblɛa/,And what is a shallow assembly?,E che cos'è un'assemblea poco profonda?,/e ke kozɛ ʊnassemblɛa pɔko profonda?/,B2,Shopping,"B2,Shopping",
audit,revisione contabile,/revizione kontabile/,"Her audit (though delayed) answered must be, And her quietus is to render thee.","Il suo audit (anche se ritardato) deve essere risposto, e il suo quietus è quello di renderti.","/il sʊo aʊdit (anke se ritardato) dɛve ɛssere risposto, e il sʊo kwjetʊs e kwello dɪ rɛndertɪ./",B2,Shopping,"B2,Shopping",
ax,asse,/asse/,"No first point is found of blows by spears, swords, arrows, and axes.","Non si trova un primo punto di riferimento per i colpi di lance, spade, frecce e asce.","/non sɪ trɔva ʊn primo punto dɪ riferimento per i kolpɪ dɪ lantʃe, spade, frɛtʃːe e aʃe./",B2,Shopping,"B2,Shopping",
backyard,cortile,/kortile/,"Well, I don’t know as I ever saw a backyard that took my fancy more.","Beh, non so se ho mai visto un cortile che mi abbia appassionato di più.","/bɛ, non sɔ se o maj visto ʊn kortile ke mɪ abːia apːassjonato dɪ pju./",B2,Shopping,"B2,Shopping",
barbershop,barbiere,/barbiɛre/,Sami took Layla to the barbershop.,Sami porta Layla dal barbiere.,/samɪ pɔrta laila dal barbiɛre./,B2,Shopping,"B2,Shopping",
barometer,barometro,/barɔmetro/,The principle is employed in another form for the aneroid barometer (p.,Il principio è impiegato in un'altra forma per il barometro aneroide (pag.,/il printʃipio e impjeɡato in ʊnaltra forma per il barɔmetro anerɔide (paɡ./,B2,Shopping,"B2,Shopping",
bathhouse,stabilimento balneare,/stabilimento balneare/,Did they heat up the bathhouse?,Hanno riscaldato il bagno?,/anno riskaldato il baɲɲo?/,B2,Shopping,"B2,Shopping",
bikini,bikini,/bikinɪ/,She was wearing a bikini.,Indossava un bikini.,/indossava ʊn bikinɪ./,B2,Shopping,"B2,Shopping",
birdcage,gabbia per uccelli,/ɡabːia per ʊtʃːɛllɪ/,He made me a birdcage.,Mi ha fatto una gabbia per uccelli.,/mɪ a fatːo ʊna ɡabːia per ʊtʃːɛllɪ./,B2,Shopping,"B2,Shopping",
bombard,bombardare,/bombardare/,"You’re lazy knaves, And here ye lie baiting of bombards, when Ye should do service.","Siete dei fannulloni pigri, e state qui ad adescare i bombardieri, mentre dovreste fare servizio.","/sjete deɪ fannʊllonɪ piɡrɪ, e state kwi ad adeskare i bombardiɛrɪ, mentre dovreste fare servitsio./",B2,Shopping,"B2,Shopping",
bookmark,segnalibro,/seɲalibro/,I have a bookmark on that page.,Ho un segnalibro su quella pagina.,/o ʊn seɲalibro sʊ kwella padʒina./,B2,Shopping,"B2,Shopping",
brewery,birreria,/birɾeria/,"Uncle, calmly admiring his boots, --'No, my dear, not unless you want beer; that's a brewery.","Lo zio, ammirando con calma i suoi stivali: ""No, mia cara, a meno che tu non voglia della birra; quella è una birreria"".","/lo dzio, ammirando kon kalma i sʊɔi stivalɪ: ""nɔ, mia kaɾa, a meno ke tʊ non voʎa della birɾa; kwella e ʊna birɾeria""./",B2,Shopping,"B2,Shopping",
bumper,paraurti,/paɾaʊrtɪ/,"Sydney drank a bumper of the punch he had made, and laughed.",Sydney bevve un sorso del punch che aveva preparato e rise.,/sidneɪ bɛvve ʊn sorso del puntʃ ke aveva prepaɾato e rize./,B2,Shopping,"B2,Shopping",
bustle,trambusto,/trambusto/,"There were people there—men and women—light, bustle.","C'era gente - uomini e donne -, luce e confusione.","/tʃɛra dʒɛnte wɔminɪ e dɔnne, lutʃe e konfʊzione./",B2,Shopping,"B2,Shopping",
cabinet,mobile,/mɔbile/,Let us go back to the cabinet.,Torniamo al gabinetto.,/tornjamo al ɡabinetːo./,B2,Shopping,"B2,Shopping",
cane,canna,/kanna/,The Sangha was offered a cane bench.,Al Sangha è stato offerto un banco di canne.,/al saŋɡa e stato offɛrto ʊn banko dɪ kanne./,B2,Shopping,"B2,Shopping",
cannonball,palla di cannone,/palla dɪ kannone/,Tom is a human cannonball.,Tom è una palla di cannone umana.,/tɔm e ʊna palla dɪ kannone ʊmana./,B2,Shopping,"B2,Shopping",
caravan,roulotte,/roʊlɔtːe/,A caravan is your friend while journeying.,Una roulotte è la vostra amica durante il viaggio.,/ʊna roʊlɔtːe e la vɔstra amika dʊrante il vjadʒːo./,B2,Shopping,"B2,Shopping",
carbon,carbone,/karbone/,About equal weights of carbon dioxid and alcohol are produced during the fermentation.,Durante la fermentazione si producono circa lo stesso peso di anidride carbonica e di alcol.,/dʊrante la fermentatsione sɪ produkono tʃirka lo stesso pezo dɪ anidrɪde karbɔnika e dɪ alkol./,B2,Shopping,"B2,Shopping",
carbon,carbone,/karbone/,About equal weights of carbon dioxid and alcohol are produced during the fermentation.,Durante la fermentazione si producono circa lo stesso peso di anidride carbonica e di alcol.,/dʊrante la fermentatsione sɪ produkono tʃirka lo stesso pezo dɪ anidrɪde karbɔnika e dɪ alkol./,B2,Shopping,"B2,Shopping",
carbon,carbone,/karbone/,About equal weights of carbon dioxid and alcohol are produced during the fermentation.,Durante la fermentazione si producono circa lo stesso peso di anidride carbonica e di alcol.,/dʊrante la fermentatsione sɪ produkono tʃirka lo stesso pezo dɪ anidrɪde karbɔnika e dɪ alkol./,B2,Shopping,"B2,Shopping",
carbon,carbone,/karbone/,About equal weights of carbon dioxid and alcohol are produced during the fermentation.,Durante la fermentazione si producono circa lo stesso peso di anidride carbonica e di alcol.,/dʊrante la fermentatsione sɪ produkono tʃirka lo stesso pezo dɪ anidrɪde karbɔnika e dɪ alkol./,B2,Shopping,"B2,Shopping",
cardigan,cardigan,/kardiɡan/,Jennifer is wearing a red cardigan.,Jennifer indossa un cardigan rosso.,/dʒennifer indɔssa ʊn kardiɡan rosso./,B2,Shopping,"B2,Shopping",
cellar,cantina,/kantina/,"There’s some champagne in the cellar, ” he said.","C'è dello champagne in cantina"", ha detto.","/tʃe dello ʃampaɲ in kantina"", a detːo./",B2,Shopping,"B2,Shopping",
