English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
shakespearean,shakespeariano,/ʃakespeariano/,How many Shakespearean tragedies did you read?,Quante tragedie shakespeariane ha letto?,/kwante tradʒedje ʃakespeariane a lɛtːo?/,B2,Social,"B2,Social",
aboriginal,aborigeno,/aboridʒeno/,Let us see the natives in their aboriginal condition.,Vediamo gli indigeni nella loro condizione aborigena.,/vedjamo ʎɪ indidʒenɪ nella lɔro konditsione aboridʒena./,B2,Social,"B2,Social",
absentee,assenteista,/assenteista/,"As there are many absentees because of the flu, we were told that from tomorrow the classes will be temporary closed for 3 days.","Poiché ci sono molti assenti a causa dell'influenza, ci è stato detto che da domani le classi saranno temporaneamente chiuse per 3 giorni.","/poike tʃɪ sono moltɪ assɛntɪ a kaʊza dellinflʊɛntsa, tʃɪ e stato detːo ke da domanɪ le klassɪ saɾanno temporaneamente kjuze per tre dʒornɪ./",B2,Social,"B2,Social",
abuse,abuso,/abuzo/,This is a strange abuse.,Si tratta di uno strano abuso.,/sɪ tratːa dɪ uno strano abuzo./,B2,Social,"B2,Social",
accusation,accusa,/akːuza/,There are six roots of accusations.,Le radici delle accuse sono sei.,/le raditʃɪ delle akːuze sono sɛi./,B2,Social,"B2,Social",
acute,acuto,/akuto/,Above all was the sense of hearing acute.,Soprattutto era acuto il senso dell'udito.,/sopratːutːo ɛra akuto il sɛnso dellʊdito./,B2,Social,"B2,Social",
addict,tossicodipendente,/tossikodipendɛnte/,Sami is a meth addict.,Sami è una tossicodipendente.,/samɪ e ʊna tossikodipendɛnte./,B2,Social,"B2,Social",
advancement,avanzamento,/avantsamento/,What a sleep were this For your advancement!,Che sonno era questo Per il vostro avanzamento!,/ke sonno ɛra kwesto per il vɔstro avantsamento!/,B2,Social,"B2,Social",
alert,allarme,/allarme/,They are mindful and alert.,Sono attenti e vigili.,/sono atːɛntɪ e vidʒilɪ./,B2,Social,"B2,Social",
alien,alieno,/aliɛno/,"Though nominally included in the census of Christendom, he was still an alien to it.","Pur essendo nominalmente incluso nel censimento della cristianità, ne era ancora estraneo.","/pur essɛndo nominalmente inkluzo nel tʃensimento della kristjanita, ne ɛra ankora estraneo./",B2,Social,"B2,Social",
allegation,asserzione,/assertsione/,"My Lord of Suffolk, Buckingham, and York, Reprove my allegation if you can, Or else conclude my words effectual.","Mio signore di Suffolk, Buckingham e York, smentite le mie affermazioni, se potete, o concludete che le mie parole sono efficaci.","/mio siɲore dɪ suffolk, bakɪnɡəm e jɔrk, zmentite le mie affermatsionɪ, se potete, o konklʊdete ke le mie paɾɔle sono effikatʃɪ./",B2,Social,"B2,Social",
alliance,alleanza,/alleantsa/,He was the god of alliances.,Era il dio delle alleanze.,/ɛra il dio delle alleantse./,B2,Social,"B2,Social",
