English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
olympiad,olimpiade,/olimpiade/,"The most ancient eruption of Mount Aetna on record is that mentioned by Pindar and Schylus, as occurring under Hiero, in the second year of the 75th Olympiad.","La più antica eruzione del Monte Etna di cui si ha notizia è quella menzionata da Pindaro e Scilo, avvenuta sotto Hiero, nel secondo anno della 75a Olimpiade.","/la pjʊ antika erʊtsione del monte ɛtna dɪ kuj sɪ a notitsia e kwella mentsjonata da pindaro e ʃilo, avvenuta sotːo jɛro, nel sekondo anno della setːantatʃinkwe a olimpiade./",B2,Time & Quantity,"B2,Time & Quantity",
acre,acro,/akro/,"Lord, think of having half an acre of stomach-ache!","Signore, pensa ad avere mezzo acro di mal di stomaco!","/siɲore, pɛnsa ad avere mɛdzːo akro dɪ mal dɪ stɔmako!/",B2,Time & Quantity,"B2,Time & Quantity",
advent,avvento,/avvɛnto/,The advent of the euro is the beacon for the new millennium.,L'avvento dell'euro è il faro del nuovo millennio.,/lavvɛnto dellɛʊro e il faro del nʊɔvo millɛnnio./,B2,Time & Quantity,"B2,Time & Quantity",
armful,bracciata,/bratʃːata/,"He clasped an armful of the enemy's lances, and made a sheaf of them in his body.",Afferrò un braccio pieno di lance del nemico e ne fece un covone nel suo corpo.,/afferɾɔ ʊn bratʃːo pjɛno dɪ lantʃe del nemiko e ne fetʃe ʊn kovone nel sʊo kɔrpo./,B2,Time & Quantity,"B2,Time & Quantity",
attendance,presenza,/prezɛntsa/,This is not a professional attendance.,Non si tratta di una presenza professionale.,/non sɪ tratːa dɪ ʊna prezɛntsa professjonale./,B2,Time & Quantity,"B2,Time & Quantity",
barn,fienile,/fjenile/,Lorenzo was inside the barn.,Lorenzo era all'interno del fienile.,/lorɛntso ɛra allintɛrno del fjenile./,B2,Time & Quantity,"B2,Time & Quantity",
blossom,fiore,/fjore/,↩ Sal trees blossom in April/May.,La fioritura del Sal avviene in aprile/maggio.,/la fjoritura del sal avviɛne in aprile barɾa madʒːo./,B2,Time & Quantity,"B2,Time & Quantity",
cease,cessare,/tʃessare/,And where does it cease?,E dove finisce?,/e dove finiʃe?/,B2,Time & Quantity,"B2,Time & Quantity",
chunk,tronco,/tronko/,It was only a stone or a chunk.,Era solo una pietra o un pezzo.,/ɛra solo ʊna pjɛtra o ʊn pɛtsːo./,B2,Time & Quantity,"B2,Time & Quantity",
concerning,riguardante,/riɡwardante/,The question is concerning your marriage.,La domanda riguarda il vostro matrimonio.,/la domanda riɡwarda il vɔstro matrimɔnio./,B2,Time & Quantity,"B2,Time & Quantity",
constant,costante,/kostante/,He keeps me on a constant see-saw.,Mi tiene su un'altalena costante.,/mɪ tjɛne sʊ ʊnaltalena kostante./,B2,Time & Quantity,"B2,Time & Quantity",
cube,cubo,/kubo/,The cube shown above is better shown here below.,Il cubo mostrato sopra è meglio rappresentato qui sotto.,/il kubo mostrato sopra e mɛʎo rapːrezentato kwi sotːo./,B2,Time & Quantity,"B2,Time & Quantity",
dawn,alba,/alba/,The offense is committed at dawn.,Il reato viene commesso all'alba.,/il reato vjɛne kommesso allalba./,B2,Time & Quantity,"B2,Time & Quantity",
daytime,giorno,/dʒorno/,"Well, well, we must needs talk thus in the daytime!","Bene, bene, dobbiamo parlare così di giorno!","/bɛne, bɛne, dobːjamo parlare kozi dɪ dʒorno!/",B2,Time & Quantity,"B2,Time & Quantity",
