English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
accountability,responsabilità,/responsabilita/,I recently bought an new accountability online.,Di recente ho acquistato online una nuova responsabilità.,/dɪ retʃɛnte o akːwistato on laɪn ʊna nʊɔva responsabilita./,C2,Abstract,"C2,Abstract",
aftermath,dopo,/dopo/,"After extensively studying the quake and its aftermath, scientists say the rupture is unprecedented.","Dopo aver studiato a fondo il terremoto e le sue conseguenze, gli scienziati affermano che la rottura è senza precedenti.","/dopo avɛr stʊdjato a fondo il terɾemɔto e le sʊe konseɡwɛntse, ʎɪ ʃentsjatɪ affermano ke la rotːura e sɛntsa pretʃedɛntɪ./",C2,Abstract,"C2,Abstract",
altruism,altruismo,/altrʊizmo/,I don't think Tom's altruism is sincere.,Non credo che l'altruismo di Tom sia sincero.,/non krɛdo ke laltrʊizmo dɪ tɔm sia sintʃero./,C2,Abstract,"C2,Abstract",
amplification,amplificazione,/amplifikatsione/,"They are taught for the amplification, burgeoning, and transformation of psychic power.","Vengono insegnati per amplificare, far crescere e trasformare il potere psichico.","/veŋɡono inseɲatɪ per amplifikare, far kreʃere e trasformare il potere psikiko./",C2,Abstract,"C2,Abstract",
aqua,acqua,/akːwa/,Aqua Tofana was a poison used in Naples and Rome in the 17th century.,L'Aqua Tofana era un veleno utilizzato a Napoli e a Roma nel XVII secolo.,/lakwa tofana ɛra ʊn veleno ʊtilidzːato a napolɪ e a roma nel ditʃassetːɛzimo sɛkolo./,C2,Abstract,"C2,Abstract",
atrocity,atrocità,/atrotʃita/,Unfortunately the history of our land is tarnished with similar deeds of atrocity.,Purtroppo la storia della nostra terra è macchiata da simili atti di atrocità.,/pʊrtrɔpːo la stɔria della nɔstra tɛrɾa e makːjata da similɪ atːɪ dɪ atrotʃita./,C2,Abstract,"C2,Abstract",
bulk,alla rinfusa,/alla rinfuza/,Also they supply bulk and give the digestive tract needed exercise.,"Inoltre, forniscono massa e fanno fare al tratto digestivo il necessario esercizio fisico.","/inoltre, forniskono massa e fanno fare al tratːo didʒestivo il netʃessario ezertʃitsio fiziko./",C2,Abstract,"C2,Abstract",
bulk,alla rinfusa,/alla rinfuza/,Also they supply bulk and give the digestive tract needed exercise.,"Inoltre, forniscono massa e fanno fare al tratto digestivo il necessario esercizio fisico.","/inoltre, forniskono massa e fanno fare al tratːo didʒestivo il netʃessario ezertʃitsio fiziko./",C2,Abstract,"C2,Abstract",
clarity,chiarezza,/kjaretsːa/,I have added them for clarity.,Li ho aggiunti per chiarezza.,/lɪ o adʒːuntɪ per kjaretsːa./,C2,Abstract,"C2,Abstract",
compliance,conformità,/konformita/,Tom is the chief compliance officer.,Tom è il responsabile della conformità.,/tɔm e il responsabile della konformita./,C2,Abstract,"C2,Abstract",
compulsion,costrizione,/kostritsione/,On what compulsion must I?,In base a quale costrizione devo farlo?,/in baze a kwale kostritsione dɛvo farlo?/,C2,Abstract,"C2,Abstract",
credibility,credibilità,/kredibilita/,This will erode our credibility.,Questo eroderà la nostra credibilità.,/kwesto erodeɾa la nɔstra kredibilita./,C2,Abstract,"C2,Abstract",
density,densità,/densita/,"Well, lower down, the density will become even greater.","Ebbene, più in basso, la densità diventerà ancora maggiore.","/ebːɛne, pjʊ in basso, la densita diventeɾa ankora madʒːore./",C2,Abstract,"C2,Abstract",
domestication,addomesticamento,/adːomestikamento/,There is every reason for believing that the domestication of the wild duck is of quite recent date.,Ci sono tutte le ragioni per credere che l'addomesticamento dell'anatra selvatica sia piuttosto recente.,/tʃɪ sono tutːe le radʒoːnɪ per kredere ke ladːomestikamento dellanatra selvatika sia pjʊtːɔsto retʃɛnte./,C2,Abstract,"C2,Abstract",
