English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
abortion,aborto,/abɔrto/,Please make her have an abortion.,"Per favore, fatela abortire.","/per favore, fatela abortire./",C2,Activities,"C2,Activities",
activation,attivazione,/atːivatsione/,The teacher discussed the activation in class.,L'insegnante ha discusso l'attivazione in classe.,/linseɲante a diskusso latːivatsione in klasse./,C2,Activities,"C2,Activities",
adhere,aderire,/aderire/,The white color still did not adhere.,Il colore bianco non ha ancora aderito.,/il kolore bjanko non a ankora aderito./,C2,Activities,"C2,Activities",
adjoin,contiguità,/kontiɡwita/,Mexico is a country whose borders adjoin with those of the United States.,Il Messico è un Paese i cui confini confinano con quelli degli Stati Uniti.,/il messiko e ʊn paeze i kuj konfinɪ konfinano kon kwellɪ deʎɪ statɪ ʊnitɪ./,C2,Activities,"C2,Activities",
adjoining,adiacente,/adjatʃɛnte/,"Living in two adjoining houses which communicated, they had superb rooms for entertaining.","Vivendo in due case adiacenti e comunicanti, disponevano di splendide sale per l'intrattenimento.","/vivɛndo in due kaze adjatʃɛntɪ e komʊnikantɪ, disponevano dɪ splɛndide sale per lintratːenimento./",C2,Activities,"C2,Activities",
anchored,ancorato,/ankorato/,I could see the bottom of his canoe anchored some feet above his head.,Potevo vedere il fondo della sua canoa ancorato qualche metro sopra la sua testa.,/potɛvo vedere il fondo della sʊa kanɔa ankorato kwalke mɛtro sopra la sʊa tɛsta./,C2,Activities,"C2,Activities",
apprenticeship,apprendistato,/apːrendistato/,Is Mary finding the apprenticeship helpful?,Mary trova utile l'apprendistato?,/mɛːɾɪ trɔva utile lapːrendistato?/,C2,Activities,"C2,Activities",
auction,asta,/asta/,The book was sold at auction for five hundred and eighty krona.,Il libro è stato venduto all'asta per cinquecentottanta corone.,/il libro e stato venduto allasta per tʃinkwetʃentotːanta korɔne./,C2,Activities,"C2,Activities",
billiards,biliardo,/biliardo/,"Also, I have taken rather too much to billiards and that sort of thing.","Inoltre, mi sono appassionato un po' troppo al biliardo e a questo genere di cose.","/inoltre, mɪ sono apːassjonato ʊn po trɔpːo al biliardo e a kwesto dʒɛnere dɪ kɔze./",C2,Activities,"C2,Activities",
brainwashing,lavaggio del cervello,/lavadʒːo del tʃervɛllo/,Some people think that advertising is a form of brainwashing.,Alcuni pensano che la pubblicità sia una forma di lavaggio del cervello.,/alkʊnɪ pensano ke la pʊbːlitʃita sia ʊna forma dɪ lavadʒːo del tʃervɛllo./,C2,Activities,"C2,Activities",
bribery,corruzione,/korɾʊtsione/,Bribery is common in Algeria.,La corruzione è comune in Algeria.,/la korɾʊtsione e komune in aldʒeria./,C2,Activities,"C2,Activities",
carpentry,carpenteria,/karpenteria/,"Some devoted themselves to carpentry, turned wood, made small articles of furniture.","Alcuni si dedicavano alla falegnameria, tornendo il legno, realizzando piccoli mobili.","/alkʊnɪ sɪ dedikavano alla faleɲameria, tornɛndo il leɲɲo, realidzːando pikːolɪ mɔbilɪ./",C2,Activities,"C2,Activities",
cessation,cessazione,/tʃessatsione/,Their cessation has also been stated.,È stata anche dichiarata la loro cessazione.,/e stata anke dikjaɾata la lɔro tʃessatsione./,C2,Activities,"C2,Activities",
collaboration,collaborazione,/kollaboratsione/,"The recent work of M. Emile Burgaud, written in collaboration with Commandant Bazeries, made a great sensation.","La recente opera di M. Emile Burgaud, scritta in collaborazione con il comandante Bazeries, ha fatto molto scalpore.","/la retʃɛnte ɔpera dɪ ɛmme. ɛmile bʊrɡaʊd, skritːa in kollaboratsione kon il komandante batseries, a fatːo molto skalpore./",C2,Activities,"C2,Activities",
combat,combattimento,/kombatːimento/,But say that one Had rather combat me?,Ma dite che uno ha preferito combattere contro di me?,/ma dite ke uno a preferito kombatːere kontro dɪ me?/,C2,Activities,"C2,Activities",
consultancy,consulenza,/konsʊlɛntsa/,Please put the consultancy on the table.,Si prega di mettere sul tavolo la consulenza.,/sɪ prɛɡa dɪ metːere sʊl tavolo la konsʊlɛntsa./,C2,Activities,"C2,Activities",
coup,colpo di stato,/kolpo dɪ stato/,Coups are common in African countries.,I colpi di Stato sono comuni nei Paesi africani.,/i kolpɪ dɪ stato sono komunɪ nei paezɪ afrikanɪ./,C2,Activities,"C2,Activities",
demolition,demolizione,/demolitsione/,"My mind, set on demolition, has reached the end of craving.","La mia mente, votata alla demolizione, ha raggiunto la fine del desiderio.","/la mia mente, votata alla demolitsione, a radʒːunto la fine del dezidɛrio./",C2,Activities,"C2,Activities",
deploy,schierarsi,/skjerarsɪ/,Algeria would never deploy troops in Libya.,L'Algeria non dispiegherebbe mai truppe in Libia.,/laldʒeria non dispjeɡerɛbːe maj trupːe in libia./,C2,Activities,"C2,Activities",
deployment,dispiegamento,/dispjeɡamento/,Deployment of the product cannot take place before January.,La distribuzione del prodotto non può avvenire prima di gennaio.,/la distribʊtsione del prodotːo non pʊɔ avvenire prima dɪ dʒennaio./,C2,Activities,"C2,Activities",
desertion,diserzione,/dizertsione/,26 The sack of Ctesiphon was followed by its desertion and gradual decay.,26 Il sacco di Ctesifonte fu seguito dalla sua diserzione e dalla graduale decadenza.,/ventisɛj il sakːo dɪ ktezifonte fʊ seɡwito dalla sʊa dizertsione e dalla ɡradʊale dekadɛntsa./,C2,Activities,"C2,Activities",
detriment,detrimento,/detrimento/,It is a detriment to my health.,È un danno per la mia salute.,/e ʊn danno per la mia salute./,C2,Activities,"C2,Activities",
diagnosis,diagnosi,/djaɲozɪ/,They both have the same diagnosis.,Entrambi hanno la stessa diagnosi.,/entrambɪ anno la stessa djaɲozɪ./,C2,Activities,"C2,Activities",
digitalization,digitalizzazione,/didʒitalidzːatsione/,"I wonder what effect technical advances such as the Internet, mobile phones and digitalization technology have on the people's awareness, actions and interest in politics.","Mi chiedo quale sia l'effetto dei progressi tecnici come Internet, i telefoni cellulari e la tecnologia di digitalizzazione sulla consapevolezza, le azioni e l'interesse della gente per la politica.","/mɪ kjedo kwale sia leffɛtːo deɪ proɡrɛssɪ tɛknitʃɪ kome internet, i telɛfonɪ tʃellʊlarɪ e la teknolodʒia dɪ didʒitalidzːatsione sʊlla konsapevoletsːa, le atsionɪ e linterɛsse della dʒɛnte per la politika./",C2,Activities,"C2,Activities",
dispose,smaltire,/zmaltire/,We had then merely to dispose of Mr.,A quel punto dovevamo solo sbarazzarci di Mr.,/a kwel punto dovevamo solo zbaɾatsːartʃɪ dɪ ɛmmeɛrɾe./,C2,Activities,"C2,Activities",
dissect,sezionare,/setsjonare/,"Dissect him how I may, then, I but go skin deep; I know him not, and never will.","Sezionarlo come posso, allora, non è che un'operazione a pelle; non lo conosco e non lo conoscerò mai.","/setsjonarlo kome pɔsso, allora, non e ke ʊnoperatsione a pɛlle; non lo konosko e non lo konoʃeɾɔ maj./",C2,Activities,"C2,Activities",
distort,distorcere,/distɔrtʃere/,"Its movements distort the shape of the ""lines of force"" (see p.","I suoi movimenti distorcono la forma delle ""linee di forza"" (vedi pag.","/i sʊɔi movimentɪ distɔrkono la forma delle ""linee dɪ fɔrtsa"" (vedɪ paɡ./",C2,Activities,"C2,Activities",
embed,incorporato,/inkorporato/,How can I embed the debt clock on my Web site?,Come posso incorporare l'orologio del debito nel mio sito web?,/kome pɔsso inkorporare lorolodʒo del debito nel mio sito wɛb?/,C2,Activities,"C2,Activities",
enforcement,applicazione,/apːlikatsione/,"They say everything's bigger in Texas, and that includes absurdity in law enforcement.","Si dice che in Texas tutto è più grande, e questo include l'assurdità nelle forze dell'ordine.","/sɪ ditʃe ke in teksas tutːo e pjʊ ɡrande, e kwesto inklude lassʊrdita nelle fɔrtse dellɔrdine./",C2,Activities,"C2,Activities",
exploitation,sfruttamento,/sfrʊtːamento/,These restrictions were directed either to the practice in the exploitation of the forest or in the use of the material.,Queste restrizioni erano rivolte sia alla pratica dello sfruttamento della foresta sia all'uso del materiale.,/kweste restritsionɪ ɛrano rivɔlte sia alla pratika dello sfrʊtːamento della forɛsta sia alluzo del materiale./,C2,Activities,"C2,Activities",
felony,reato,/reato/,Sami was found guilty of felony stalking.,Sami è stata giudicata colpevole di stalking.,/samɪ e stata dʒʊdikata kolpevole dɪ stɔːlkiŋ./,C2,Activities,"C2,Activities",
genocide,genocidio,/dʒenotʃidio/,↩ Dehumanization of the other is an essential precursor to genocide.,La disumanizzazione dell'altro è un precursore essenziale del genocidio.,/la dizʊmanidzːatsione dellaltro e ʊn prekʊrsore essentsjale del dʒenotʃidio./,C2,Activities,"C2,Activities",
glean,spulciare,/spʊltʃare/,He could glean nothing from their faces; they might as well have been of stone.,Non riuscì a capire nulla dai loro volti; avrebbero potuto anche essere di pietra.,/non riʊʃi a kapire nulla daj lɔro vɔltɪ; avrebːero potuto anke ɛssere dɪ pjɛtra./,C2,Activities,"C2,Activities",
