English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
aggression,aggressione,/aɡːressjone/,"So you should dispel aggression, practicing absorption undistracted.","Dovete quindi eliminare l'aggressività, praticando l'assorbimento senza distrazioni.","/dovete kwindɪ eliminare laɡːressivita, pratikando lassorbimento sɛntsa distratsionɪ./",C2,Emotions,"C2,Emotions",
agonize,agonizzare,/aɡonidzːare/,This agonize is common in everyday life.,Questa agonia è comune nella vita di tutti i giorni.,/kwesta aɡonia e komune nella vita dɪ tutːɪ i dʒornɪ./,C2,Emotions,"C2,Emotions",
alienate,alienare,/alienare/,Had they a right to alienate his gift of the Exarchate?,Avevano il diritto di alienare il suo dono dell'Esarcato?,/avevano il diritːo dɪ alienare il sʊo dono dellezarkato?/,C2,Emotions,"C2,Emotions",
appall,appallare,/apːallare/,"Methinks your looks are sad, your cheer appall’d. Hath the late overthrow wrought this offence?","Mi sembra che il tuo aspetto sia triste, che la tua allegria sia sconcertata. Il recente rovesciamento ha provocato questa offesa?","/mɪ sembra ke il tʊo aspɛtːo sia triste, ke la tʊa alleɡria sia skontʃertata. il retʃɛnte roveʃamento a provokato kwesta offeza?/",C2,Emotions,"C2,Emotions",
closeness,vicinanza,/vitʃinantsa/,Nor do I criticize all kinds of closeness.,Non critico nemmeno tutti i tipi di vicinanza.,/non kritiko nemmeno tutːɪ i tipɪ dɪ vitʃinantsa./,C2,Emotions,"C2,Emotions",
cynicism,cinismo,/tʃinizmo/,In my college-days he came near souring me into cynicism.,"Ai tempi dell'università, egli ha rischiato di inacidirmi nel cinismo.","/aj tɛmpɪ dellʊniversita, eʎɪ a riskjato dɪ inatʃidirmɪ nel tʃinizmo./",C2,Emotions,"C2,Emotions",
daunt,smania,/zmania/,Think you a little din can daunt mine ears?,Pensi che un po' di baccano possa stordirmi le orecchie?,/pɛnsɪ ke ʊn po dɪ bakːano pɔssa stordirmɪ le orekːje?/,C2,Emotions,"C2,Emotions",
degrade,degradare,/deɡradare/,Whoever degrades himself will be exalted.,Chi si degrada sarà esaltato.,/kɪ sɪ deɡrada saɾa ezaltato./,C2,Emotions,"C2,Emotions",
detest,detestare,/detestare/,I do detest conventional intercourse.,Detesto i rapporti sessuali convenzionali.,/detɛsto i rapːɔrtɪ sessʊalɪ konventsionalɪ./,C2,Emotions,"C2,Emotions",
dismay,sgomento,/zɡomento/,Do you go back dismay’d?,Tornate indietro sgomenti?,/tornate indjɛtro zɡomentɪ?/,C2,Emotions,"C2,Emotions",
exhilarate,esaltarsi,/ezaltarsɪ/,A Christmas present like that will certainly exhilarate him.,Un regalo di Natale come questo lo entusiasmerà sicuramente.,/ʊn reɡalo dɪ natale kome kwesto lo entʊzjazmeɾa sikʊramente./,C2,Emotions,"C2,Emotions",
exhilaration,euforia,/eʊforia/,"↩ Soma is the ritual drug of exhilaration, identified with the moon.","Il soma è la droga rituale dell'euforia, identificata con la luna.","/il sɔma e la drɔɡa ritʊale delleʊforia, identifikata kon la luna./",C2,Emotions,"C2,Emotions",
exuberance,esuberanza,/ezʊberantsa/,"They are dancing and singing with exuberance, celebrating the birth of the Bodhisatta.","Danzano e cantano con esuberanza, celebrando la nascita del Bodhisatta.","/dantsano e kantano kon ezʊberantsa, tʃelebrando la naʃita del bodizatːa./",C2,Emotions,"C2,Emotions",
gravity,gravità,/ɡravita/,"I asked, with sudden gravity.","Chiesi, con improvvisa gravità.","/kjɛzɪ, kon improvviza ɡravita./",C2,Emotions,"C2,Emotions",
gusto,gusto,/ɡusto/,Everyone took part in the work with gusto.,Tutti hanno partecipato al lavoro con entusiasmo.,/tutːɪ anno partetʃipato al lavɔro kon entʊzjazmo./,C2,Emotions,"C2,Emotions",
