English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
bequeath,lasciare in eredità,/laʃare in eredita/,"A sister I bequeath you, whom no brother Did ever love so dearly.",Ti lascio in eredità una sorella che nessun fratello ha mai amato così tanto.,/tɪ laʃo in eredita ʊna sorɛlla ke nessʊn fratɛllo a maj amato kozi tanto./,C2,Food,"C2,Food",
beverage,bevanda,/bevanda/,It is a mildly stimulating beverage.,È una bevanda leggermente stimolante.,/e ʊna bevanda ledʒːermente stimolante./,C2,Food,"C2,Food",
bubbly,spumeggiante,/spʊmedʒːante/,Sami had a very bubbly life.,Sami aveva una vita molto frizzante.,/samɪ aveva ʊna vita molto fritsːante./,C2,Food,"C2,Food",
cater,cater,/katɛr/,His master and he (saving your worship’s reverence) are scarce cater-cousins.,Il suo padrone e lui (salvo la riverenza di Vostra Eccellenza) sono scarsamente cugini.,/il sʊo padrone e lui (salvo la riverɛntsa dɪ vɔstra etʃːellɛntsa) sono skarsamente kʊdʒinɪ./,C2,Food,"C2,Food",
chilly,freddo,/fredːo/,At the Bastille the cells were damp and chilly dungeons.,Alla Bastiglia le celle erano prigioni umide e fredde.,/alla bastiʎa le tʃɛlle ɛrano pridʒonɪ umide e fredːe./,C2,Food,"C2,Food",
cling,aggrapparsi,/aɡːrapːarsɪ/,To cling to attachments is to cling to death.,Aggrapparsi agli attaccamenti significa aggrapparsi alla morte.,/aɡːrapːarsɪ aʎɪ atːakːamentɪ siɲifika aɡːrapːarsɪ alla mɔrte./,C2,Food,"C2,Food",
commence,inizio,/initsio/,"Commence, ” was Monsieur Defarge’s not unreasonable reply, “at the commencement.","Cominciate"", fu la risposta non irragionevole di Monsieur Defarge, ""all'inizio.","/komintʃate"", fʊ la risposta non irɾadʒonevole dɪ (fr)məsjø(it) defardʒe, ""allinitsio./",C2,Food,"C2,Food",
commend,raccomandare,/rakːomandare/,"Indeed, you have reason to commend her!","In effetti, avete ragione di lodarla!","/in effɛtːɪ, avete radʒoːne dɪ lodarla!/",C2,Food,"C2,Food",
conjure,evocare,/evokare/,"I’ll conjure you, I’ll fortune-tell you.","Ti farò la magia, ti farò la cartomanzia.","/tɪ faɾɔ la madʒia, tɪ faɾɔ la kartomantsia./",C2,Food,"C2,Food",
conserve,conservare,/konservare/,Will’t please your honour taste of these conserves?,Il vostro onore non vuole assaggiare queste conserve?,/il vɔstro onore non vʊɔle assadʒːare kweste konsɛrve?/,C2,Food,"C2,Food",
crave,bramare,/bramare/,But I shall crave your pardon.,Ma vi chiedo scusa.,/ma vɪ kjedo skuza./,C2,Food,"C2,Food",
craving,desiderio,/dezidɛrio/,Craving has ensnared the world.,La brama ha irretito il mondo.,/la brama a irɾetito il mondo./,C2,Food,"C2,Food",
daydream,sogno ad occhi aperti,/soɲɲo ad ɔkːɪ apɛrtɪ/,"Tom daydreams about Mary, believing he can conjure her up that way.","Tom sogna ad occhi aperti Mary, credendo di poterla evocare in questo modo.","/tɔm soɲɲa ad ɔkːɪ apɛrtɪ mɛːɾɪ, kredɛndo dɪ potɛrla evokare in kwesto mɔdo./",C2,Food,"C2,Food",
depict,raffigurare,/raffiɡʊrare/,No words in any human language can depict my utter despair.,Nessuna parola in nessuna lingua umana può descrivere la mia totale disperazione.,/nessʊna paɾɔla in nessʊna liŋɡwa ʊmana pʊɔ deskrivere la mia totale disperatsione./,C2,Food,"C2,Food",
devise,ideare,/ideare/,"From henceforth I will, coz, and devise sports.","D'ora in poi farò, farò e farò sport.","/dora in pɔi faɾɔ, faɾɔ e faɾɔ spɔrt./",C2,Food,"C2,Food",
