English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
abstraction,astrazione,/astratsione/,These things are mere abstractions.,Queste cose sono mere astrazioni.,/kweste kɔze sono mɛre astratsionɪ./,C2,Grammar,"C2,Grammar",
accomplishment,realizzazione,/realidzːatsione/,These are the three accomplishments.,Queste sono le tre realizzazioni.,/kweste sono le tre realidzːatsionɪ./,C2,Grammar,"C2,Grammar",
accountable,responsabile,/responsabile/,She was held accountable.,È stata ritenuta responsabile.,/e stata ritenuta responsabile./,C2,Grammar,"C2,Grammar",
accustomed,abituato,/abitʊato/,I have not been accustomed to such language as this.,Non sono stato abituato a un linguaggio come questo.,/non sono stato abitʊato a ʊn liŋɡwadʒːo kome kwesto./,C2,Grammar,"C2,Grammar",
acidic,acido,/atʃido/,"Seas are warming, rising, and becoming more acidic.","I mari si riscaldano, si innalzano e diventano più acidi.","/i marɪ sɪ riskaldano, sɪ innaltsano e diventano pjʊ atʃidɪ./",C2,Grammar,"C2,Grammar",
acoustic,acustico,/akustiko/,We are conversing by means of some extraordinary acoustic arrangement of the labyrinth.,Stiamo conversando per mezzo di una straordinaria disposizione acustica del labirinto.,/stjamo konversando per mɛdzːo dɪ ʊna straordinaria dispozitsione akustika del labirinto./,C2,Grammar,"C2,Grammar",
acoustically,acusticamente,/akʊstikamente/,He explained the acoustically during the meeting.,Durante la riunione ha illustrato la questione dell'acustica.,/dʊrante la riʊnjone a illʊstrato la kwestjone dellakustika./,C2,Grammar,"C2,Grammar",
acutely,acutamente,/akʊtamente/,"The advice was followed readily, for the feverish symptoms increased, and her head ached acutely.","Il consiglio fu seguito prontamente, perché i sintomi febbrili aumentarono e la testa le doleva acutamente.","/il konsiʎo fʊ seɡwito prontamente, perke i sintomɪ febːrilɪ aʊmentarono e la tɛsta le dolɛva akʊtamente./",C2,Grammar,"C2,Grammar",
adjacent,adiacente,/adjatʃɛnte/,Immediately adjacent to the Great Hell is the vast Dung Hell.,Immediatamente adiacente al Grande Inferno si trova il vasto Inferno di sterco.,/immedjatamente adjatʃɛnte al ɡrande infɛrno sɪ trɔva il vasto infɛrno dɪ stɛrko./,C2,Grammar,"C2,Grammar",
adjustable,regolabile,/reɡolabile/,"The water escapes through a leak, which is adjustable.","L'acqua fuoriesce attraverso una perdita, che è regolabile.","/lakːwa fʊorieʃe atːravɛrso ʊna pɛrdita, ke e reɡolabile./",C2,Grammar,"C2,Grammar",
advantageous,vantaggioso,/vantadʒːozo/,Here is everything advantageous to life.,Qui c'è tutto ciò che è vantaggioso per la vita.,/kwi tʃe tutːo tʃɔ ke e vantadʒːozo per la vita./,C2,Grammar,"C2,Grammar",
aesthetic,estetica,/estɛtika/,"Nor does it consider the grouping of trees for aesthetic effect, --that would be landscape gardening.","Non considera nemmeno il raggruppamento di alberi per effetto estetico, che sarebbe un'operazione di giardinaggio.","/non konsidera nemmeno il raɡːrʊpːamento dɪ alberɪ per effɛtːo estɛtiko, ke sarɛbːe ʊnoperatsione dɪ dʒardinadʒːo./",C2,Grammar,"C2,Grammar",
aesthetically,esteticamente,/estetikamente/,"As a critic, Mr. Poe was aesthetically deficient.","Come critico, Poe era esteticamente carente.","/kome kritiko, pɔe ɛra estetikamente karɛnte./",C2,Grammar,"C2,Grammar",
agreeable,gradevole,/ɡradevole/,"It’s not agreeable, is it?","Non è piacevole, vero?","/non e pjatʃevole, vero?/",C2,Grammar,"C2,Grammar",
aimless,senza meta,/sɛntsa meta/,These are the five drawbacks for someone who likes long and aimless wandering.,Questi sono i cinque svantaggi per chi ama il vagabondaggio lungo e senza meta.,/kwestɪ sono i tʃinkwe zvantadʒːɪ per kɪ ama il vaɡabondadʒːo luŋɡo e sɛntsa meta./,C2,Grammar,"C2,Grammar",
aimlessly,senza meta,/sɛntsa meta/,"So they moved on again—aimlessly—simply at random—all they could do was to move, keep moving.","Così si mossero di nuovo, senza alcuno sforzo, semplicemente a caso: tutto ciò che potevano fare era muoversi, continuare a muoversi.","/kozi sɪ mɔssero dɪ nʊɔvo, sɛntsa alkʊno sfɔrtso, semplitʃemente a kazo: tutːo tʃɔ ke potevano fare ɛra mʊoversɪ, kontinʊare a mʊoversɪ./",C2,Grammar,"C2,Grammar",
allegedly,presumibilmente,/prezʊmibilmente/,Skura had allegedly slept with other women and Yanni was troubled by that.,Skura aveva presumibilmente dormito con altre donne e Yanni ne era turbato.,/skura aveva prezʊmibilmente dormito kon altre dɔnne e jannɪ ne ɛra tʊrbato./,C2,Grammar,"C2,Grammar",
altruistic,altruista,/altrʊista/,Compassion is the most altruistic form of love.,La compassione è la forma più altruistica di amore.,/la kompassjone e la forma pjʊ altrʊistika dɪ amore./,C2,Grammar,"C2,Grammar",
amply,ampiamente,/ampjamente/,The abbey was amply provisioned.,L'abbazia era ampiamente rifornita.,/labːatsia ɛra ampjamente rifornita./,C2,Grammar,"C2,Grammar",
animatedly,animatamente,/animatamente/,The teacher discussed the animatedly in class.,L'insegnante ha discusso animatamente in classe.,/linseɲante a diskusso animatamente in klasse./,C2,Grammar,"C2,Grammar",
anthropology,antropologia,/antropolodʒia/,Remember that anthropology is still a young science.,Ricordiamo che l'antropologia è una scienza ancora giovane.,/rikordjamo ke lantropolodʒia e ʊna ʃɛntsa ankora dʒovane./,C2,Grammar,"C2,Grammar",
anticlimactic,anticlimatico,/antiklimatiko/,"The first half of the movie was captivating, but the ending was anticlimactic.","La prima metà del film è stata avvincente, ma il finale è stato anticlimatico.","/la prima meta del film e stata avvintʃɛnte, ma il finale e stato antiklimatiko./",C2,Grammar,"C2,Grammar",
antiquated,antiquato,/antikwato/,Mademoiselle de Gondelaurier knew how her mother’s antiquated mode of speech shocked the captain.,Mademoiselle de Gondelaurier sapeva quanto il modo di parlare antiquato di sua madre scandalizzasse il capitano.,/mademoizɛlle de ɡondelaʊriɛr sapeva kwanto il mɔdo dɪ parlare antikwato dɪ sʊa madre skandalidzːasse il kapitano./,C2,Grammar,"C2,Grammar",
appalling,spaventoso,/spaventozo/,The appalling people they have sent me!,Le persone terribili che mi hanno mandato!,/le persone terɾibilɪ ke mɪ anno mandato!/,C2,Grammar,"C2,Grammar",
appallingly,spaventosamente,/spaventozamente/,I recently bought an new appallingly online.,Di recente ho acquistato online un nuovo prodotto spaventoso.,/dɪ retʃɛnte o akːwistato on laɪn ʊn nʊɔvo prodotːo spaventozo./,C2,Grammar,"C2,Grammar",
appealing,attraente,/atːraɛnte/,"You see he knows me, ” cried Nancy, appealing to the by-standers.","Vedete che mi conosce"", gridò Nancy, facendo appello ai passanti.","/vedete ke mɪ konoʃe"", ɡridɔ nɛːnsɪ, fatʃɛndo apːɛllo aj passantɪ./",C2,Grammar,"C2,Grammar",
