English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
discard,scartare,/skartare/,"Go off, I discard you.","Vattene, ti scarto.","/vatːene, tɪ skarto./",C2,Home,"C2,Home",
hedgehog,riccio,/ritʃːo/,"We must have Hedgehog there, I mean Quohog, in one of our boats.","Dobbiamo avere Hedgehog lì, cioè Quohog, in una delle nostre barche.","/dobːjamo avere eddʒeoɡ li, tʃoɛ kwooɡ, in ʊna delle nɔstre barke./",C2,Home,"C2,Home",
heifer,giovenca,/dʒovɛnka/,Even such kin as the parish heifers are to the town bull.,Anche i parenti come le giovenche della parrocchia lo sono per il toro della città.,/anke i parɛntɪ kome le dʒovenke della parɾɔkːia lo sono per il tɔro della tʃitːa./,C2,Home,"C2,Home",
mainland,terraferma,/terɾaferma/,All communication with the mainland was cut off by the typhoon.,Tutte le comunicazioni con la terraferma sono state interrotte dal tifone.,/tutːe le komʊnikatsionɪ kon la terɾaferma sono state interɾotːe dal tifone./,C2,Home,"C2,Home",
otter,lontra,/lontra/,See likewise a note of Otter (p.,Si veda anche una nota di Otter (p.,/sɪ veda anke ʊna nɔta dɪ otːɛr (pi./,C2,Home,"C2,Home",
peacock,pavone,/pavone/,But the Peacock was not appeased.,Ma il Pavone non si placò.,/ma il pavone non sɪ plakɔ./,C2,Home,"C2,Home",
peninsula,penisola,/penizola/,"Yes, an inhabitant of the peninsula on which Sneffels is situated.","Sì, un abitante della penisola su cui si trova Sneffels.","/siː, ʊn abitante della penizola sʊ kuj sɪ trɔva zneffels./",C2,Home,"C2,Home",
pigeon,piccione,/pitʃːone/,"An’ hond up another pigeon-pie, will ‘ee?","E poi, se vuoi, tira su un'altra tortina di piccione.","/e pɔi, se vʊɔi, tira sʊ ʊnaltra tortina dɪ pitʃːone./",C2,Home,"C2,Home",
buzzard,poiana,/poiana/,"Ay, for a turtle, as he takes a buzzard.","Sì, per una tartaruga, come prende una poiana.","/siː, per ʊna tartaruɡa, kome prɛnde ʊna poiana./",C2,Home,"C2,Home",
cay,cay,/kai/,Everyone mentioned the cay at work.,Tutti hanno parlato della baia al lavoro.,/tutːɪ anno parlato della baia al lavɔro./,C2,Home,"C2,Home",
chrysalis,crisalide,/krizalide/,Humanity has yet to form its chrysalis.,L'umanità deve ancora formare la sua crisalide.,/lʊmanita dɛve ankora formare la sʊa krizalide./,C2,Home,"C2,Home",
floe,galleggiante,/ɡalledʒːante/,"The thermometer marked -12 degrees centigrade, and a fresh breeze left a sharp nip in the air. Ice floes were increasing over the open water.",Il termometro segnava -12 gradi centigradi e una brezza fresca lasciava un'aria pungente. I banchi di ghiaccio si moltiplicano sul mare aperto.,/il termɔmetro seɲava meno doditʃɪ ɡradɪ tʃentiɡradɪ e ʊna bretsːa freska laʃava ʊnaria pʊndʒɛnte. i bankɪ dɪ ɡjatʃːo sɪ moltiplikano sʊl mare apɛrto./,C2,Home,"C2,Home",
maggot,verme,/vɛrme/,A mass of maggots were infecting Gabriel's arm.,Una massa di vermi stava infettando il braccio di Gabriel.,/ʊna massa dɪ vɛrmɪ stava infetːando il bratʃːo dɪ ɡabriel./,C2,Home,"C2,Home",
plumage,piumaggio,/pjʊmadʒːo/,What little bird of scarlet plumage may this be?,Quale uccellino dal piumaggio scarlatto può essere?,/kwale ʊtʃːellino dal pjʊmadʒːo skarlatːo pʊɔ ɛssere?/,C2,Home,"C2,Home",
rift,spaccatura,/spakːatura/,"The blind was drawn, but I found a rift at the sill.","La tenda era chiusa, ma ho trovato una fessura sul davanzale.","/la tɛnda ɛra kjuza, ma o trovato ʊna fessura sʊl davantsale./",C2,Home,"C2,Home",
stratosphere,stratosfera,/stratosfɛra/,Yanni told Skura that he couldn't see her anymore and this sent her into the stratosphere.,Yanni disse a Skura che non poteva più vederla e questo la mandò su tutte le furie.,/jannɪ disse a skura ke non potɛva pjʊ vedɛrla e kwesto la mandɔ sʊ tutːe le furie./,C2,Home,"C2,Home",
wrack,pancetta,/pantʃetːa/,"Here I have a pilot’s thumb, Wrack’d as homeward he did come.","Qui ho il pollice di un pilota, che si è rovinato mentre tornava a casa.","/kwi o il pɔllitʃe dɪ ʊn pilɔta, ke sɪ e rovinato mentre tornava a kaza./",C2,Home,"C2,Home",
