English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
administer,amministrare,/amministrare/,Rulers must practise inaction in order to administer the empire.,I governanti devono praticare l'inazione per amministrare l'impero.,/i ɡovernantɪ devono pratikare linatsione per amministrare limpɛro./,C2,Professional,"C2,Professional",
alignment,allineamento,/allineamento/,"Except for the uncertain Soreyya, all these places are on a roughly west/east alignment, undoubtedly following the ancient Madhura to Payāga road.","Ad eccezione dell'incerto Soreyya, tutti questi luoghi si trovano su un allineamento approssimativamente ovest/est, senza dubbio seguendo l'antica strada Madhura-Payāga.","/ad etʃːetsione dellintʃɛrto sorɛjja, tutːɪ kwestɪ lʊɔɡɪ sɪ trovano sʊ ʊn allineamento apːrossimativamente ɔvest barɾa est, sɛntsa dubːio seɡwɛndo lantika strada madurapajaɡa./",C2,Professional,"C2,Professional",
authorise,autorizzare,/aʊtoridzːare/,I forgot an authorise at home today.,Oggi ho dimenticato a casa un'autorizzazione.,/ɔdʒːɪ o dimentikato a kaza ʊnaʊtoridzːatsione./,C2,Professional,"C2,Professional",
boundary,confine,/konfine/,The paling of Rosings park was their boundary on one side.,Il parco di Rosings li delimitava da un lato.,/il parko dɪ roziŋɡs lɪ delimitava da ʊn lato./,C2,Professional,"C2,Professional",
breach,violazione,/vjolatsione/,I will step into the breach.,Mi metto in gioco.,/mɪ metːo in dʒɔko./,C2,Professional,"C2,Professional",
capitalism,il capitalismo,/il kapitalizmo/,State Capitalism could be democratic or authoritarian.,Il capitalismo di Stato può essere democratico o autoritario.,/il kapitalizmo dɪ stato pʊɔ ɛssere demokratiko o aʊtoritario./,C2,Professional,"C2,Professional",
chiselled,cesellato,/tʃezellato/,=Mill-stone Cutters= and =Stone Masons= inhale the fine particles of stone given off from the material which is being chiselled.,I =Tagliatori di pietra= e i =Muratori di pietra= inalano le particelle fini di pietra rilasciate dal materiale che viene scalpellato.,/i ʊɡwale taʎatorɪ dɪ pjɛtra ʊɡwale e i ʊɡwale mʊratorɪ dɪ pjɛtra ʊɡwale inalano le partitʃɛlle finɪ dɪ pjɛtra rilaʃate dal materiale ke vjɛne skalpellato./,C2,Professional,"C2,Professional",
clan,clan,/klan/,What are the four clans?,Quali sono i quattro clan?,/kwalɪ sono i kwatːro klan?/,C2,Professional,"C2,Professional",
cluster,cluster,/klʊstɛr/,There are many leaves to each cluster.,Ogni grappolo è composto da molte foglie.,/oɲɲɪ ɡrapːolo e komposto da molte fɔʎe./,C2,Professional,"C2,Professional",
collaborate,collaborare,/kollaborare/,It was a pleasure to collaborate with you.,È stato un piacere collaborare con voi.,/e stato ʊn pjatʃere kollaborare kon voi./,C2,Professional,"C2,Professional",
compel,obbligare,/obːliɡare/,"If she cannot entreat, I can compel.","Se non può implorare, posso obbligare.","/se non pʊɔ implorare, pɔsso obːliɡare./",C2,Professional,"C2,Professional",
comply,rispettare,/rispetːare/,You should comply with the wishes of kings.,Dovete assecondare i desideri dei re.,/dovete assekondare i dɛzidɛːrɪ deɪ rɛ./,C2,Professional,"C2,Professional",
congregation,congregazione,/koŋɡreɡatsione/,The average congregation must have been small.,La congregazione media doveva essere piccola.,/la koŋɡreɡatsione mɛdia dovɛva ɛssere pikːola./,C2,Professional,"C2,Professional",
contend,contendere,/kontɛndere/,"If you contend, a thousand lives must wither.","Se contendete, mille vite devono appassire.","/se kontendete, mille vite devono apːassire./",C2,Professional,"C2,Professional",
corps,corpo,/kɔrpo/,Flavio is from the US Marine Corps.,Flavio proviene dal Corpo dei Marines degli Stati Uniti.,/flavio provjɛne dal kɔrpo deɪ marines deʎɪ statɪ ʊnitɪ./,C2,Professional,"C2,Professional",
defect,difetto,/difɛtːo/,Now which is the worse defect?,Qual è il difetto peggiore?,/kwal e il difɛtːo pedʒːore?/,C2,Professional,"C2,Professional",
delegation,delegazione,/deleɡatsione/,The delegation were escorted around the newly-built stadium.,La delegazione è stata accompagnata a visitare il nuovo stadio.,/la deleɡatsione e stata akːompaɲata a vizitare il nʊɔvo stadio./,C2,Professional,"C2,Professional",
denounce,denunciare,/denʊntʃare/,I will denounce a curse upon his head.,Denuncerò una maledizione sulla sua testa.,/denʊntʃeɾɔ ʊna maleditsione sʊlla sʊa tɛsta./,C2,Professional,"C2,Professional",
detain,trattenere,/tratːenɛre/,We will not detain you.,Non vi tratterremo.,/non vɪ tratːerɾɛmo./,C2,Professional,"C2,Professional",
dispense,erogare,/eroɡare/,I will dispense with excuses.,Bando alle scuse.,/bando alle skuze./,C2,Professional,"C2,Professional",
distress,angoscia,/anɡɔʃa/,Later they will fall into distress.,In seguito cadranno nell'angoscia.,/in seːɡwito kadranno nellanɡɔʃa./,C2,Professional,"C2,Professional",
elevate,elevare,/elevare/,"The negative merit suggested appertains to that hobbling criticism which, in letters, would elevate Addison into apotheosis.","Il merito negativo suggerito appartiene a quella critica zoppicante che, nelle lettere, avrebbe elevato Addison all'apoteosi.","/il mɛrito neɡativo sʊdʒːerito apːartjɛne a kwella kritika dzopːikante ke, nelle lɛtːere, avrɛbːe elevato adːizon allapoteɔzɪ./",C2,Professional,"C2,Professional",
