English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
accumulation,accumulo,/akːumʊlo/,These are the two kinds of accumulation.,Questi sono i due tipi di accumulo.,/kwestɪ sono i due tipɪ dɪ akːumʊlo./,C2,Shopping,"C2,Shopping",
acoustics,acustica,/akustika/,The problem as to what form of church might answer the requirements of acoustics seems to have engaged Leonardo's very particular attention.,Il problema di quale forma di chiesa potesse rispondere alle esigenze dell'acustica sembra aver impegnato l'attenzione di Leonardo in modo particolare.,/il problɛma dɪ kwale forma dɪ kjɛza potesse rispondere alle ezidʒɛntse dellakustika sembra avɛr impeɲato latːentsione dɪ leonardo in mɔdo partikolare./,C2,Shopping,"C2,Shopping",
allocation,assegnazione,/asseɲatsione/,The second allocation is one month after the full moon of July.,La seconda assegnazione avviene un mese dopo la luna piena di luglio.,/la sekonda asseɲatsione avviɛne ʊn mɛze dopo la luna pjɛna dɪ luʎo./,C2,Shopping,"C2,Shopping",
apparatus,apparecchio,/apːarekːio/,This was all his apparatus.,Questo era tutto il suo apparato.,/kwesto ɛra tutːo il sʊo apːaɾato./,C2,Shopping,"C2,Shopping",
apparel,abbigliamento,/abːiʎamento/,Is my apparel sumptuous to behold?,Il mio abbigliamento è sontuoso da vedere?,/il mio abːiʎamento e sontʊozo da vedere?/,C2,Shopping,"C2,Shopping",
appliance,apparecchio,/apːarekːio/,The prince had provided all the appliances of pleasure.,Il principe aveva fornito tutti gli strumenti del piacere.,/il printʃipe aveva fornito tutːɪ ʎɪ strʊmentɪ del pjatʃere./,C2,Shopping,"C2,Shopping",
aquarium,acquario,/akːwario/,Tom has a marine aquarium.,Tom ha un acquario marino.,/tɔm a ʊn akːwario marino./,C2,Shopping,"C2,Shopping",
archive,archivio,/arkivio/,The original is in the archives at Stuttgart.,L'originale si trova negli archivi di Stoccarda.,/loridʒinale sɪ trɔva neʎɪ arkivɪ dɪ stokːarda./,C2,Shopping,"C2,Shopping",
arm,braccio,/bratʃːo/,What an arm he has!,Che braccio che ha!,/ke bratʃːo ke a!/,C2,Shopping,"C2,Shopping",
asylum,asilo,/azilo/,"Why, this is a private asylum!",Ma questo è un manicomio privato!,/ma kwesto ɛ ʊn manikɔmio privato!/,C2,Shopping,"C2,Shopping",
auto,auto,/aʊto/,"Just in case, you should get auto insurance.","Per ogni evenienza, è consigliabile stipulare un'assicurazione auto.","/per oɲɲɪ evenjɛntsa, e konsiʎabile stipʊlare ʊnassikʊratsione aʊto./",C2,Shopping,"C2,Shopping",
backdrop,sfondo,/sfondo/,This waterfall is an amazing backdrop for pictures.,Questa cascata è uno sfondo incredibile per le foto.,/kwesta kaskata e uno sfondo inkredibile per le fɔto./,C2,Shopping,"C2,Shopping",
backing,supporto,/sʊpːɔrto/,"Selenitic cement is useful in plastering, as a backing of cements, such as Parian.","Il cemento selenitico è utile nell'intonacatura, come supporto di cementi, come il Parian.","/il tʃemento selenitiko e utile nellintonakatura, kome sʊpːɔrto dɪ tʃementɪ, kome il parian./",C2,Shopping,"C2,Shopping",
blockbuster,blockbuster,/blokːbʊstɛr/,This film studio has produced many blockbusters.,Questo studio cinematografico ha prodotto molti successi.,/kwesto studio tʃinematoɡrafiko a prodotːo moltɪ sʊtʃːɛssɪ./,C2,Shopping,"C2,Shopping",
bouquet,bouquet,/(fr)bukɛ(it)/,I never had such a fine bouquet before!,Non ho mai avuto un bouquet così bello prima d'ora!,/non o maj avuto ʊn (fr)bukɛ(it) kozi bɛllo prima dora!/,C2,Shopping,"C2,Shopping",
bribe,tangente,/tandʒɛnte/,And how does a master thief pay bribes?,E come fa un maestro ladro a pagare le tangenti?,/e kome fa ʊn maɛstro ladro a paɡare le tandʒɛntɪ?/,C2,Shopping,"C2,Shopping",
buzzer,cicalino,/tʃikalino/,The buzzer was still going off.,Il cicalino continuava a suonare.,/il tʃikalino kontinʊava a sʊonare./,C2,Shopping,"C2,Shopping",
bypass,bypass,/baɪ pas/,Good will bypasses ill will.,La buona volontà supera la cattiva volontà.,/la bʊɔna volonta supera la katːiva volonta./,C2,Shopping,"C2,Shopping",
canoe,canoa,/kanɔa/,"However, I had not seen a single native canoe.","Tuttavia, non avevo visto nessuna canoa nativa.","/tʊtːavia, non avevo visto nessʊna kanɔa nativa./",C2,Shopping,"C2,Shopping",
canvas,tela,/tɛla/,"Beside her is a canvas bag, or bundle, she has carried.","Accanto a lei c'è una borsa di tela, o un fagotto, che ha portato con sé.","/akːanto a lɛi tʃe ʊna borsa dɪ tɛla, o ʊn faɡɔtːo, ke a portato kon se./",C2,Shopping,"C2,Shopping",
cargo,carico,/kariko/,"This cargo was consigned to a Whitby solicitor, Mr.","Questo carico è stato consegnato a un avvocato di Whitby, Mr.","/kwesto kariko e stato konseɲato a ʊn avvokato dɪ witbɪ, ɛmmeɛrɾe./",C2,Shopping,"C2,Shopping",
casino,casinò,/kazinɔ/,You went to the casino.,Sei andato al casinò.,/sɛi andato al kazinɔ./,C2,Shopping,"C2,Shopping",
chamber,camera,/kamera/,"Come, I’ll to my chamber.","Vieni, vado nella mia camera.","/vjɛnɪ, vado nella mia kamera./",C2,Shopping,"C2,Shopping",
chisel,scalpello,/skalpɛllo/,Then he’d take a chisel and completely clear it out inside.,Poi prendeva uno scalpello e lo ripuliva completamente all'interno.,/pɔi prendɛva uno skalpɛllo e lo ripʊliva kompletamente allintɛrno./,C2,Shopping,"C2,Shopping",
churn,sfornare,/sfornare/,The farmer is trying to churn milk.,L'agricoltore sta cercando di sfornare il latte.,/laɡrikoltore sta tʃerkando dɪ sfornare il latːe./,C2,Shopping,"C2,Shopping",
clench,stringere,/strindʒere/,"It was in the state of my own feelings, I added bashfully: to clench the explanation.","È stato il mio stato d'animo, ho aggiunto con tono sommesso: per stringere la spiegazione.","/e stato il mio stato danimo, o adʒːunto kon tɔno sommesso: per strindʒere la spjeɡatsione./",C2,Shopping,"C2,Shopping",
cloak,mantello,/mantɛllo/,What colour is this cloak of?,Di che colore è questo mantello?,/dɪ ke kolore e kwesto mantɛllo?/,C2,Shopping,"C2,Shopping",
clutch,frizione,/fritsione/,The latter brake is generally arranged to withdraw the clutch simultaneously.,Quest'ultimo freno è generalmente predisposto per il ritiro simultaneo della frizione.,/kwestultimo freno e dʒeneralmente predispɔsto per il ritiro simʊltaneo della fritsione./,C2,Shopping,"C2,Shopping",
commodity,merce,/mɛrtʃe/,I will turn diseases to commodity.,Trasformerò le malattie in prodotti di base.,/trasformeɾɔ le malatːie in prodotːɪ dɪ baze./,C2,Shopping,"C2,Shopping",
conservatory,giardino d'inverno,/dʒardino dinvɛrno/,Tom is eating in the conservatory.,Tom sta mangiando nel giardino d'inverno.,/tɔm sta mandʒando nel dʒardino dinvɛrno./,C2,Shopping,"C2,Shopping",
constraint,vincolo,/vinkolo/,I will confess what I know without constraint.,"Confesserò ciò che so, senza alcuna costrizione.","/konfesseɾɔ tʃɔ ke sɔ, sɛntsa alkʊna kostritsione./",C2,Shopping,"C2,Shopping",
crystal,cristallo,/kristallo/,No crystal could be clearer than its waters.,Nessun cristallo potrebbe essere più limpido delle sue acque.,/nessʊn kristallo potrɛbːe ɛssere pjʊ limpido delle sʊe akːwe./,C2,Shopping,"C2,Shopping",
darkroom,camera oscura,/kamera oskura/,He is a traditional photographer confronted by the threat that digital technology poses to the developing and printing of images in a darkroom.,È un fotografo tradizionale che si confronta con la minaccia che la tecnologia digitale rappresenta per lo sviluppo e la stampa delle immagini in camera oscura.,/e ʊn fotɔɡrafo traditsionale ke sɪ konfronta kon la minatʃːa ke la teknolodʒia didʒitale rapːrezɛnta per lo zvilupːo e la stampa delle immadʒinɪ in kamera oskura./,C2,Shopping,"C2,Shopping",
dispensary,dispensario,/dispensario/,When do you want to hit up the dispensary?,Quando vuoi andare al dispensario?,/kwando vʊɔi andare al dispensario?/,C2,Shopping,"C2,Shopping",
expenditure,spese,/speze/,"He thinks, ‘In this way my income will exceed my expenditure, not the reverse.","Pensa: ""In questo modo le mie entrate supereranno le mie uscite, non il contrario"".","/pɛnsa: ""in kwesto mɔdo le mie entrate sʊpereranno le mie ʊʃite, non il kontrario""./",C2,Shopping,"C2,Shopping",
extortion,estorsione,/estorsjone/,The commons hast thou racked; the clergy’s bags Are lank and lean with thy extortions.,"I comuni li hai devastati, i sacchi del clero sono magri e spelacchiati per le tue estorsioni.","/i komunɪ lɪ aj devastatɪ, i sakːɪ del klɛro sono maɡrɪ e spelakːjatɪ per le tʊe estorsjonɪ./",C2,Shopping,"C2,Shopping",
fibre,fibra,/fibra/,Every root fibre is thus brought into close contact with the soil.,Ogni fibra radicale viene così portata a stretto contatto con il terreno.,/oɲɲɪ fibra radikale vjɛne kozi portata a stretːo kontatːo kon il terɾeno./,C2,Shopping,"C2,Shopping",
firewall,firewall,/faɪr wɔll/,A firewall will guarantee Internet security.,Un firewall garantisce la sicurezza di Internet.,/ʊn faɪr wɔll ɡaɾantiʃe la sikʊretsːa dɪ internet./,C2,Shopping,"C2,Shopping",
footage,filmati,/filmatɪ/,Antonio took footage of the dead bodies.,Antonio ha ripreso i cadaveri.,/antɔnio a riprezo i kadaverɪ./,C2,Shopping,"C2,Shopping",
fuse,fusibile,/fʊzibile/,He shouldn't have blown a fuse.,Non avrebbe dovuto far saltare un fusibile.,/non avrɛbːe dovuto far saltare ʊn fʊzibile./,C2,Shopping,"C2,Shopping",
gadget,gadget,/ɡaddʒet/,She has too many unnecessary gadgets.,Ha troppi gadget inutili.,/a trɔpːɪ ɡaddʒet inutilɪ./,C2,Shopping,"C2,Shopping",
gathering,raccolta,/rakːɔlta/,The gathering up chapter is finished.,Il capitolo della raccolta è terminato.,/il kapitolo della rakːɔlta e terminato./,C2,Shopping,"C2,Shopping",
gig,calesse,/kalɛsse/,You were talking about nothing else in the gig.,Non stavate parlando d'altro nel concerto.,/non stavate parlando daltro nel kontʃɛrto./,C2,Shopping,"C2,Shopping",
gut,budello,/bʊdɛllo/,"O, if it should, how would thy guts fall about thy knees!","Oh, se dovesse accadere, come ti cadrebbero le budella sulle ginocchia!","/oː, se dovɛsse akːadere, kome tɪ kadrebːero le bʊdɛlla sʊlle dʒinokːia!/",C2,Shopping,"C2,Shopping",
inheritance,eredità,/eredita/,They’ll take care of the inheritance.,Si occuperanno dell'eredità.,/sɪ okːʊperanno delleredita./,C2,Shopping,"C2,Shopping",
intake,assunzione,/assʊntsione/,You should limit caffeine intake.,È necessario limitare l'assunzione di caffeina.,/e netʃessario limitare lassʊntsione dɪ kaffeina./,C2,Shopping,"C2,Shopping",
jersey,maglia,/maʎa/,"Jumping mud creeks in Jersey, ” he said.","Saltare i torrenti di fango nel Jersey"", ha detto.","/saltare i torɾɛntɪ dɪ faŋɡo nel dʒɛrsɪ"", a detːo./",C2,Shopping,"C2,Shopping",
lavatory,gabinetto,/ɡabinetːo/,Where can I find the lavatory?,Dove posso trovare la toilette?,/dove pɔsso trovare la twaletː?/,C2,Shopping,"C2,Shopping",
legacy,eredità,/eredita/,There was also a legacy of one thousand pounds.,C'era anche un lascito di mille sterline.,/tʃɛra anke ʊn laʃito dɪ mille sterline./,C2,Shopping,"C2,Shopping",
machinery,macchinari,/makːinarɪ/,All the machinery had gone.,Tutti i macchinari erano spariti.,/tutːɪ i makːinarɪ ɛrano sparitɪ./,C2,Shopping,"C2,Shopping",
marketplace,mercato,/merkato/,On th’ marketplace I know they do attend us.,Sul mercato so che ci frequentano.,/sʊl merkato sɔ ke tʃɪ frekwentano./,C2,Shopping,"C2,Shopping",
ministry,ministero,/ministɛro/,The record was sent to the ministry.,Il disco è stato inviato al ministero.,/il disko e stato inviato al ministɛro./,C2,Shopping,"C2,Shopping",
nest,nido,/nido/,Don’t you have a little nest?,Non avete un piccolo nido?,/non avete ʊn pikːolo nido?/,C2,Shopping,"C2,Shopping",
niche,nicchia,/nikːia/,What say the niches with their stone basins?,Cosa dicono le nicchie con i loro bacini di pietra?,/kɔza dikono le nikːje kon i lɔro batʃinɪ dɪ pjɛtra?/,C2,Shopping,"C2,Shopping",
oddity,stranezza,/stranetsːa/,"The oddity of the thing is, ” said Mr.","La stranezza della cosa è che"", ha detto Mr.","/la stranetsːa della kɔza e ke"", a detːo ɛmmeɛrɾe./",C2,Shopping,"C2,Shopping",
orchard,frutteto,/frʊtːeto/,His lordship is walk’d forth into the orchard.,Sua Signoria si è incamminata verso il frutteto.,/sʊa siɲoria sɪ e inkamminata vɛrso il frʊtːeto./,C2,Shopping,"C2,Shopping",
overalls,salopette,/salopetːe/,This overalls is common in everyday life.,Questa tuta è comune nella vita di tutti i giorni.,/kwesta tuta e komune nella vita dɪ tutːɪ i dʒornɪ./,C2,Shopping,"C2,Shopping",
overdraft,Scoperto,/skopɛrto/,Did you ever get that bank overdraft sorted out?,Sei riuscito a risolvere il problema dello scoperto di conto corrente?,/sɛi riʊʃito a rizolvere il problɛma dello skopɛrto dɪ konto korɾɛnte?/,C2,Shopping,"C2,Shopping",
