English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
accused,accusato,/akːʊzato/,How should the accused proceed?,Come deve procedere l'accusato?,/kome dɛve protʃedere lakːʊzato?/,C2,Social,"C2,Social",
activist,attivista,/atːivista/,Skura is a gender activist.,Skura è un'attivista di genere.,/skura e ʊnatːivista dɪ dʒɛnere./,C2,Social,"C2,Social",
adaptation,adattamento,/adatːamento/,But with this change in condition comes inevitably adaptations to the change.,Ma con questo cambiamento di condizione arrivano inevitabilmente anche gli adattamenti al cambiamento.,/ma kon kwesto kambjamento dɪ konditsione arɾivano inevitabilmente anke ʎɪ adatːamentɪ al kambjamento./,C2,Social,"C2,Social",
administrator,amministratore,/amministratore/,"Scrooge was his sole executor, his sole administrator, his sole assign, his sole residuary legatee, his sole friend, and sole mourner.","Scrooge era il suo unico esecutore, il suo unico amministratore, il suo unico assegnatario, il suo unico legatario residuo, il suo unico amico e il suo unico lutto.","/skroodʒe ɛra il sʊo uniko ezekʊtore, il sʊo uniko amministratore, il sʊo uniko asseɲatario, il sʊo uniko leɡatario rezidʊo, il sʊo uniko amiko e il sʊo uniko lutːo./",C2,Social,"C2,Social",
adolescent,adolescente,/adoleʃɛnte/,Puberty blockers for trans adolescents are safe.,I bloccanti della pubertà per gli adolescenti trans sono sicuri.,/i blokːantɪ della pʊberta per ʎɪ adoleʃɛntɪ trans sono sikurɪ./,C2,Social,"C2,Social",
adversary,avversario,/avversario/,An adversary would prove that he had never read the Henoticon.,Un avversario potrebbe dimostrare che non ha mai letto l'Henoticon.,/ʊn avversario potrɛbːe dimostrare ke non a maj lɛtːo lenotikon./,C2,Social,"C2,Social",
advisory,consulenza,/konsʊlɛntsa/,The committee can only act in an advisory capacity.,Il comitato può agire solo a titolo consultivo.,/il komitato pʊɔ adʒire solo a titolo konsʊltivo./,C2,Social,"C2,Social",
advocate,sostenitore,/sostenitore/,But advocates and proctors are not one and the same?,Ma i difensori e i prorettori non sono la stessa cosa?,/ma i difensorɪ e i proretːorɪ non sono la stessa kɔza?/,C2,Social,"C2,Social",
aide,aiutante,/ajʊtante/,With monseigneur were the oldest captains and his aides-de-camp.,Con monsignor c'erano i capitani più anziani e i suoi aiutanti di campo.,/kon monsiɲɔr tʃɛrano i kapitanɪ pjʊ antsjanɪ e i sʊɔi ajʊtantɪ dɪ kampo./,C2,Social,"C2,Social",
allege,asserire,/asserire/,We may allege a famous and similar case.,Possiamo citare un caso famoso e simile.,/possjamo tʃitare ʊn kazo famozo e simile./,C2,Social,"C2,Social",
