English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
antiquity,antichità,/antikita/,"Bawd is he doubtless, and of antiquity, too.","Senza dubbio si tratta di un uomo, e per di più antico.","/sɛntsa dubːio sɪ tratːa dɪ ʊn wɔmo, e per dɪ pjʊ antiko./",C2,Time & Quantity,"C2,Time & Quantity",
calorie,calorie,/kalorie/,Why is it necessary to consider the calorie value of a ration?,Perché è necessario considerare il valore calorico di una razione?,/perke e netʃessario konsiderare il valore kalɔriko dɪ ʊna ratsione?/,C2,Time & Quantity,"C2,Time & Quantity",
demise,scomparsa,/skomparsa/,I will always be here for Tom until my demise.,Sarò sempre presente per Tom fino alla mia morte.,/saɾɔ sɛmpre prezɛnte per tɔm fino alla mia mɔrte./,C2,Time & Quantity,"C2,Time & Quantity",
diminish,diminuire,/diminʊire/,Does the Whale’s Magnitude Diminish?—Will He Perish?,La grandezza della balena diminuisce? Perirà?,/la ɡrandetsːa della balena diminʊiʃe? periɾa?/,C2,Time & Quantity,"C2,Time & Quantity",
domesticate,addomesticare,/adːomestikare/,I forgot a domesticate at home today.,Oggi ho dimenticato a casa una domestica.,/ɔdʒːɪ o dimentikato a kaza ʊna domɛstika./,C2,Time & Quantity,"C2,Time & Quantity",
flask,fiasco,/fjasko/,"Who would have thought it, Flask!","Chi l'avrebbe mai detto, Flask!","/kɪ lavrɛbːe maj detːo, flask!/",C2,Time & Quantity,"C2,Time & Quantity",
handful,maneggevole,/manedʒːevole/,I had rather have a handful or two of dried peas.,Avrei preferito una manciata o due di piselli secchi.,/avrɛi preferito ʊna mantʃata o due dɪ pizɛllɪ sekːɪ./,C2,Time & Quantity,"C2,Time & Quantity",
interim,intermedio,/intermɛdio/,What shall defend the interim?,Che cosa deve difendere l'interim?,/ke kɔza dɛve difɛndere linterim?/,C2,Time & Quantity,"C2,Time & Quantity",
lapse,giro,/dʒiro/,Notwithstanding the lapse of time that had occurred since Mr.,Nonostante il tempo trascorso da quando il Sig.,/nonostante il tɛmpo traskorso da kwando il siɡ./,C2,Time & Quantity,"C2,Time & Quantity",
litre,litro,/litro/,What does a litre of milk cost?,Quanto costa un litro di latte?,/kwanto kɔsta ʊn litro dɪ latːe?/,C2,Time & Quantity,"C2,Time & Quantity",
meantime,nel frattempo,/nel fratːɛmpo/,"In the meantime, ” said Mr.","Nel frattempo"", ha detto Mr.","/nel fratːɛmpo"", a detːo ɛmmeɛrɾe./",C2,Time & Quantity,"C2,Time & Quantity",
outset,inizio,/initsio/,Defeat at the outset would probably upset the whole journey!,Una sconfitta all'inizio probabilmente sconvolgerebbe l'intero viaggio!,/ʊna skonfitːa allinitsio probabilmente skonvoldʒerɛbːe lintɛro vjadʒːo!/,C2,Time & Quantity,"C2,Time & Quantity",
poise,equilibrio,/ekwilibrio/,So is the equal poise of this fell war.,Lo stesso vale per l'equilibrio di questa guerra caduca.,/lo stesso vale per lekwilibrio dɪ kwesta ɡwɛrɾa kaduka./,C2,Time & Quantity,"C2,Time & Quantity",
reign,regno,/reɲɲo/,I would conquer it and reign over it.,Lo conquisterei e regnerei su di esso.,/lo konkwisterɛi e reɲerɛi sʊ dɪ esso./,C2,Time & Quantity,"C2,Time & Quantity",
respite,sollievo,/solliɛvo/,"Deprived of this respite, I should have sunk under my hardships.","Senza questa tregua, sarei dovuto sprofondare nelle mie difficoltà.","/sɛntsa kwesta treɡwa, sarɛi dovuto sprofondare nelle mie diffikolta./",C2,Time & Quantity,"C2,Time & Quantity",
restoration,restauro,/restaʊro/,I have followed the restoration of the xii.,Ho seguito il restauro della xii.,/o seɡwito il restaʊro della ksji./,C2,Time & Quantity,"C2,Time & Quantity",
rod,asta,/asta/,"I say the physical rod, Reverend Gotama.","Io dico la verga fisica, Reverendo Gotama.","/io diko la verɡa fizika, reverɛndo ɡotama./",C2,Time & Quantity,"C2,Time & Quantity",
suspension,sospensione,/sospensjone/,The offenses entailing suspension are finished.,Le infrazioni che comportano la sospensione sono terminate.,/le infratsionɪ ke kompɔrtano la sospensjone sono terminate./,C2,Time & Quantity,"C2,Time & Quantity",
tenure,tenuta,/tenuta/,"Where be his quiddits now, his quillets, his cases, his tenures, and his tricks?","Dove sono ora i suoi quiddits, le sue quillets, i suoi casi, le sue tenute e i suoi trucchi?","/dove sono ora i sʊɔi kwidːits, le sʊe kwillets, i sʊɔi kazɪ, le sʊe tenute e i sʊɔi trukːɪ?/",C2,Time & Quantity,"C2,Time & Quantity",
threshold,soglia,/sɔʎa/,Her shadow had faded across the threshold.,La sua ombra era svanita oltre la soglia.,/la sʊa ombra ɛra zvanita oltre la sɔʎa./,C2,Time & Quantity,"C2,Time & Quantity",
baroque,barocco,/barɔkːo/,He was into baroque music.,Era appassionato di musica barocca.,/ɛra apːassjonato dɪ muzika barɔkːa./,C2,Time & Quantity,"C2,Time & Quantity",
bout,bout,/boʊt/,"Yes, you did—’bout six chaws.","Sì, l'hai fatto... circa sei chaws.","/siː, laj fatːo... tʃirka sɛi tʃaws./",C2,Time & Quantity,"C2,Time & Quantity",
