English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
accelerate,accelerare,/atʃːelerare/,"Accelerate a bit, otherwise the car will stop on this hill.","Accelerate un po', altrimenti l'auto si fermerà su questa collina.","/atʃːelerate ʊn po, altrimentɪ laʊto sɪ fermeɾa sʊ kwesta kollina./",C2,Travel,"C2,Travel",
align,allineare,/allineare/,"Should the stars align, the night will be unforgettable.","Se le stelle si allineano, la notte sarà indimenticabile.","/se le stelle sɪ allineano, la nɔtːe saɾa indimentikabile./",C2,Travel,"C2,Travel",
allocate,allocare,/allokare/,You should allocate the dwellings.,Dovreste assegnare le abitazioni.,/dovreste asseɲare le abitatsionɪ./,C2,Travel,"C2,Travel",
circulate,circolare,/tʃirkolare/,As soon as current circulates through the coil the bar is drawn upwards against the spring.,"Non appena la corrente circola attraverso la bobina, la barra viene tirata verso l'alto contro la molla.","/non apːena la korɾɛnte tʃirkola atːravɛrso la bobina, la barɾa vjɛne tirata vɛrso lalto kontro la mɔlla./",C2,Travel,"C2,Travel",
congregate,riunirsi,/riʊnirsɪ/,"(Definitions 1 through 5 are correlated, and people who fit them congregate.",(Le definizioni da 1 a 5 sono correlate e le persone che vi corrispondono si riuniscono.,/(le definitsionɪ da uno a tʃinkwe sono korɾelate e le persone ke vɪ korɾispondono sɪ riʊniskono./,C2,Travel,"C2,Travel",
crumble,sbriciolare,/zbritʃolare/,The church's steeple is beginning to crumble with age.,Il campanile della chiesa comincia a sgretolarsi con l'età.,/il kampanile della kjɛza komintʃa a zɡretolarsɪ kon leta./,C2,Travel,"C2,Travel",
dislodge,sloggiare,/zlodʒːare/,Otoliths may dislodge suddenly and tumble down.,Gli otoliti possono staccarsi improvvisamente e cadere a terra.,/ʎɪ otolitɪ pɔssono stakːarsɪ improvvizamente e kadere a tɛrɾa./,C2,Travel,"C2,Travel",
diverge,divergere,/divɛrdʒere/,The roads diverge up ahead; take the left one.,Le strade divergono davanti a noi; prendete quella di sinistra.,/le strade divɛrɡono davantɪ a noi; prendete kwella dɪ sinistra./,C2,Travel,"C2,Travel",
elude,sfuggire,/sfʊdʒːire/,"The other object, to elude pursuit and to be lost.","L'altro oggetto, sfuggire all'inseguimento e perdersi.","/laltro odʒːɛtːo, sfʊdʒːire allinseɡwimento e pɛrdersɪ./",C2,Travel,"C2,Travel",
flicker,sfarfallio,/sfarfallio/,"Before I could distinguish clearly how the man lay, the flicker of light had passed.","Prima che potessi distinguere chiaramente come giaceva l'uomo, lo sfarfallio di luce era passato.","/prima ke potessɪ distiŋɡwere kjaɾamente kome dʒatʃɛva lwɔmo, lo sfarfallio dɪ lutʃe ɛra passato./",C2,Travel,"C2,Travel",
heighten,aumentare,/aʊmentare/,"What you say, Captain, only heightens my curiosity; I am ready to follow you.","Quello che dice, capitano, non fa che aumentare la mia curiosità; sono pronto a seguirla.","/kwello ke ditʃe, kapitano, non fa ke aʊmentare la mia kʊriozita; sono pronto a seɡwirla./",C2,Travel,"C2,Travel",
plunge,tuffo,/tuffo/,"Well, suppose we take a plunge in the swimming pool?",E se facessimo un tuffo in piscina?,/e se fatʃessimo ʊn tuffo in piʃina?/,C2,Travel,"C2,Travel",
pounce,balzare,/baltsare/,"The tiger was stalking Ziri, preparing to pounce.","La tigre stava inseguendo Ziri, preparandosi a colpire.","/la tiɡre stava inseɡwɛndo dzirɪ, prepaɾandozɪ a kolpire./",C2,Travel,"C2,Travel",
prowl,caccia,/katʃːa/,Who gave you leave to prowl about?,Chi ti ha dato il permesso di aggirarti?,/kɪ tɪ a dato il permesso dɪ adʒːirartɪ?/,C2,Travel,"C2,Travel",
