English_Term,Translation,English_Sentence,Sentence_Translation,IPA,CEFR_Level,Tags,Notes
april,,,,,a1,,
august,,,,,a1,,
buddhist,,,,,a1,,
buddhism,,,,,a1,,
buddha,,,,,a1,,
december,,,,,a1,,
doctor,,,,,a1,,
false,,,,,a1,,
february,,,,,a1,,
friday,,,,,a1,,
i,,,,,a1,,
internet,,,,,a1,,
january,,,,,a1,,
july,,,,,a1,,
june,,,,,a1,,
march,,,,,a1,,
may,,,,,a1,,
miss,,,,,a1,,
monday,,,,,a1,,
mr.,,,,,a1,,
mrs.,,,,,a1,,
november,,,,,a1,,
ok,,,,,a1,,
october,,,,,a1,,
olympics,,,,,a1,,
saturday,,,,,a1,,
september,,,,,a1,,
sunday,,,,,a1,,
t-shirt,,,,,a1,,
true,,,,,a1,,
thursday,,,,,a1,,
tuesday,,,,,a1,,
wednesday,,,,,a1,,
a,,,,,a1,,
about,,,,,a1,,
above,,,,,a1,,
across,,,,,a1,,
action,,,,,a1,,
activity,,,,,a1,,
actor,,,,,a1,,
actress,,,,,a1,,
add,,,,,a1,,
address,,,,,a1,,
adult,,,,,a1,,
advice,,,,,a1,,
afraid,,,,,a1,,
after,,,,,a1,,
afternoon,,,,,a1,,
again,,,,,a1,,
age,,,,,a1,,
ago,,,,,a1,,
agree,,,,,a1,,
air,,,,,a1,,
airplane,,,,,a1,,
airport,,,,,a1,,
album,,,,,a1,,
all,,,,,a1,,
all,,,,,a1,,
almost,,,,,a1,,
alone,,,,,a1,,
along,,,,,a1,,
already,,,,,a1,,
also,,,,,a1,,
always,,,,,a1,,
am,,,,,a1,,
amazing,,,,,a1,,
an,,,,,a1,,
and,,,,,a1,,
angry,,,,,a1,,
animal,,,,,a1,,
another,,,,,a1,,
answer,,,,,a1,,
any,,,,,a1,,
anybody,,,,,a1,,
anyone,,,,,a1,,
anything,,,,,a1,,
apartment,,,,,a1,,
apple,,,,,a1,,
apron,,,,,a1,,
are,,,,,a1,,
area,,,,,a1,,
arm,,,,,a1,,
around,,,,,a1,,
arrive,,,,,a1,,
art,,,,,a1,,
article,,,,,a1,,
artist,,,,,a1,,
as,,,,,a1,,
ask,,,,,a1,,
at,,,,,a1,,
aunt,,,,,a1,,
autumn,,,,,a1,,
awake,,,,,a1,,
away,,,,,a1,,
baby,,,,,a1,,
back,,,,,a1,,
bad,,,,,a1,,
bag,,,,,a1,,
ball,,,,,a1,,
banana,,,,,a1,,
band,,,,,a1,,
bank,,,,,a1,,
bank,,,,,a1,,
bar,,,,,a1,,
baseball,,,,,a1,,
basketball,,,,,a1,,
bat,,,,,a1,,
bath,,,,,a1,,
bathroom,,,,,a1,,
be,,,,,a1,,
beach,,,,,a1,,
bean,,,,,a1,,
bear,,,,,a1,,
beautiful,,,,,a1,,
because,,,,,a1,,
become,,,,,a1,,
bed,,,,,a1,,
bedroom,,,,,a1,,
bee,,,,,a1,,
beef,,,,,a1,,
beer,,,,,a1,,
before,,,,,a1,,
begin,,,,,a1,,
beginning,,,,,a1,,
behind,,,,,a1,,
believe,,,,,a1,,
bell,,,,,a1,,
below,,,,,a1,,
beside,,,,,a1,,
best,,,,,a1,,
better,,,,,a1,,
between,,,,,a1,,
bicycle,,,,,a1,,
big,,,,,a1,,
bike,,,,,a1,,
bill,,,,,a1,,
bird,,,,,a1,,
birth,,,,,a1,,
birthday,,,,,a1,,
biscuit,,,,,a1,,
black,,,,,a1,,
blank,,,,,a1,,
block,,,,,a1,,
blog,,,,,a1,,
blonde,,,,,a1,,
blow,,,,,a1,,
blue,,,,,a1,,
board,,,,,a1,,
boat,,,,,a1,,
body,,,,,a1,,
bone,,,,,a1,,
book,,,,,a1,,
bookstore,,,,,a1,,
boot,,,,,a1,,
bored,,,,,a1,,
boring,,,,,a1,,
born,,,,,a1,,
borrow,,,,,a1,,
both,,,,,a1,,
bottle,,,,,a1,,
bottom,,,,,a1,,
bowl,,,,,a1,,
box,,,,,a1,,
boy,,,,,a1,,
boyfriend,,,,,a1,,
brain,,,,,a1,,
bread,,,,,a1,,
break,,,,,a1,,
breakfast,,,,,a1,,
breathe,,,,,a1,,
bridge,,,,,a1,,
bright,,,,,a1,,
bring,,,,,a1,,
broken,,,,,a1,,
brother,,,,,a1,,
brown,,,,,a1,,
brush,,,,,a1,,
bucket,,,,,a1,,
build,,,,,a1,,
building,,,,,a1,,
burger,,,,,a1,,
bus,,,,,a1,,
business,,,,,a1,,
busy,,,,,a1,,
but,,,,,a1,,
butter,,,,,a1,,
butterfly,,,,,a1,,
button,,,,,a1,,
buy,,,,,a1,,
by,,,,,a1,,
bye,,,,,a1,,
cafe,,,,,a1,,
cafe,,,,,a1,,
cake,,,,,a1,,
call,,,,,a1,,
camera,,,,,a1,,
camp,,,,,a1,,
can,,,,,a1,,
candy,,,,,a1,,
cannot,,,,,a1,,
cap,,,,,a1,,
capital,,,,,a1,,
car,,,,,a1,,
card,,,,,a1,,
care,,,,,a1,,
career,,,,,a1,,
careful,,,,,a1,,
carefully,,,,,a1,,
carrot,,,,,a1,,
carry,,,,,a1,,
cartoon,,,,,a1,,
case,,,,,a1,,
cat,,,,,a1,,
catch,,,,,a1,,
celebrate,,,,,a1,,
celebration,,,,,a1,,
cent,,,,,a1,,
centre,,,,,a1,,
century,,,,,a1,,
chair,,,,,a1,,
change,,,,,a1,,
character,,,,,a1,,
chart,,,,,a1,,
cheap,,,,,a1,,
check,,,,,a1,,
cheese,,,,,a1,,
chicken,,,,,a1,,
child,,,,,a1,,
chocolate,,,,,a1,,
choose,,,,,a1,,
church,,,,,a1,,
cinema,,,,,a1,,
