"English","Italian","IPA"
"zero","zero","ˈdzɛ.ro"
"one","uno","ˈu.no"
"two","due","ˈdu.e"
"three","tre","trɛ"
"four","quattro","ˈkwat.tro"
"five","cinque","ˈtʃiŋ.kwe"
"six","sei","ˈsɛi"
"seven","sette","ˈsɛt.te"
"eight","otto","ˈɔt.to"
"nine","nove","ˈnɔ.ve"
"ten","dieci","ˈdjɛ.tʃi"
"eleven","undici","ˈun.di.tʃi"
"twelve","dodici","ˈdɔ.di.tʃi"
"thirteen","tredici","ˈtrɛ.di.tʃi"
"fourteen","quattordici","kwatˈtor.di.tʃi"
"fifteen","quindici","ˈkwin.di.tʃi"
"sixteen","sedici","ˈsɛ.di.tʃi"
"seventeen","diciassette","di.tʃasˈsɛt.te"
"eighteen","diciotto","diˈtʃɔt.to"
"nineteen","diciannove","di.tʃanˈnɔ.ve"
"twenty","venti","ˈvɛn.ti"
"twenty-one","ventuno","venˈtu.no"
"twenty-two","ventidue","ven.tiˈdu.e"
"twenty-three","ventitré","ven.tiˈtrɛ"
"twenty-four","ventiquattro","ven.tiˈkwat.tro"
"twenty-five","venticinque","ven.tiˈtʃiŋ.kwe"
"twenty-six","ventisei","ven.tiˈsɛi"
"twenty-seven","ventisette","ven.tiˈsɛt.te"
"twenty-eight","ventotto","venˈtɔt.to"
"twenty-nine","ventinove","ven.tiˈnɔ.ve"
"thirty","trenta","ˈtrɛn.ta"
"thirty-one","trentuno","trenˈtu.no"
"thirty-two","trentadue","tren.taˈdu.e"
"thirty-three","trentatré","tren.taˈtrɛ"
"thirty-four","trentaquattro","tren.taˈkwat.tro"
"thirty-five","trentacinque","tren.taˈtʃiŋ.kwe"
"thirty-six","trentasei","tren.taˈsɛi"
"thirty-seven","trentasette","tren.taˈsɛt.te"
"thirty-eight","trentotto","trenˈtɔt.to"
"thirty-nine","trentanove","tren.taˈnɔ.ve"
"forty","quaranta","kwaˈran.ta"
"forty-one","quarantuno","kwa.ranˈtu.no"
"forty-two","quarantadue","kwa.ran.taˈdu.e"
"forty-three","quarantatré","kwa.ran.taˈtrɛ"
"forty-four","quarantaquattro","kwa.ran.taˈkwat.tro"
"forty-five","quarantacinque","kwa.ran.taˈtʃiŋ.kwe"
"forty-six","quarantasei","kwa.ran.taˈsɛi"
"forty-seven","quarantasette","kwa.ran.taˈsɛt.te"
"forty-eight","quarantotto","kwa.ranˈtɔt.to"
"forty-nine","quarantanove","kwa.ran.taˈnɔ.ve"
"fifty","cinquanta","tʃiŋˈkwan.ta"
"fifty-one","cinquantuno","tʃiŋ.kwanˈtu.no"
"fifty-two","cinquantadue","tʃiŋ.kwan.taˈdu.e"
"fifty-three","cinquantatré","tʃiŋ.kwan.taˈtrɛ"
"fifty-four","cinquantaquattro","tʃiŋ.kwan.taˈkwat.tro"
"fifty-five","cinquantacinque","tʃiŋ.kwan.taˈtʃiŋ.kwe"
"fifty-six","cinquantasei","tʃiŋ.kwan.taˈsɛi"
"fifty-seven","cinquantasette","tʃiŋ.kwan.taˈsɛt.te"
"fifty-eight","cinquantotto","tʃiŋ.kwanˈtɔt.to"
"fifty-nine","cinquantanove","tʃiŋ.kwan.taˈnɔ.ve"
"sixty","sessanta","sesˈsan.ta"
"sixty-one","sessantuno","ses.sanˈtu.no"
"sixty-two","sessantadue","ses.san.taˈdu.e"
"sixty-three","sessantatré","ses.san.taˈtrɛ"
"sixty-four","sessantaquattro","ses.san.taˈkwat.tro"
"sixty-five","sessantacinque","ses.san.taˈtʃiŋ.kwe"
"sixty-six","sessantasei","ses.san.taˈsɛi"
"sixty-seven","sessantasette","ses.san.taˈsɛt.te"
"sixty-eight","sessantotto","ses.sanˈtɔt.to"
"sixty-nine","sessantanove","ses.san.taˈnɔ.ve"
"seventy","settanta","setˈtan.ta"
"seventy-one","settantuno","set.tanˈtu.no"
"seventy-two","settantadue","set.tan.taˈdu.e"
"seventy-three","settantatré","set.tan.taˈtrɛ"
"seventy-four","settantaquattro","set.tan.taˈkwat.tro"
"seventy-five","settantacinque","set.tan.taˈtʃiŋ.kwe"
"seventy-six","settantasei","set.tan.taˈsɛi"
"seventy-seven","settantasette","set.tan.taˈsɛt.te"
"seventy-eight","settantotto","set.tanˈtɔt.to"
"seventy-nine","settantanove","set.tan.taˈnɔ.ve"
"eighty","ottanta","otˈtan.ta"
"eighty-one","ottantuno","ot.tanˈtu.no"
"eighty-two","ottantadue","ot.tan.taˈdu.e"
"eighty-three","ottantatré","ot.tan.taˈtrɛ"
"eighty-four","ottantaquattro","ot.tan.taˈkwat.tro"
"eighty-five","ottantacinque","ot.tan.taˈtʃiŋ.kwe"
"eighty-six","ottantasei","ot.tan.taˈsɛi"
"eighty-seven","ottantasette","ot.tan.taˈsɛt.te"
"eighty-eight","ottantotto","ot.tanˈtɔt.to"
"eighty-nine","ottantanove","ot.tan.taˈnɔ.ve"
"ninety","novanta","noˈvan.ta"
"ninety-one","novantuno","no.vanˈtu.no"
"ninety-two","novantadue","no.van.taˈdu.e"
"ninety-three","novantatré","no.van.taˈtrɛ"
"ninety-four","novantaquattro","no.van.taˈkwat.tro"
"ninety-five","novantacinque","no.van.taˈtʃiŋ.kwe"
"ninety-six","novantasei","no.van.taˈsɛi"
"ninety-seven","novantasette","no.van.taˈsɛt.te"
"ninety-eight","novantotto","no.vanˈtɔt.to"
"ninety-nine","novantanove","no.van.taˈnɔ.ve"
"one hundred","cento","ˈtʃɛn.to"
