term,votes,chosen
almost,"{""Travel"": 2, ""Calendar & Time"": 1}",Travel
along,"{""Travel"": 2, ""Calendar & Time"": 1, ""Food"": 2, ""Feelings & Emotions"": 1}",Food
animal,"{""Travel"": 2, ""Food"": 2}",Food
any,"{""Travel"": 2, ""Calendar & Time"": 1}",Travel
anybody,"{""Travel"": 2, ""Calendar & Time"": 1}",Social
anyone,"{""Travel"": 2, ""Calendar & Time"": 1}",Social
anything,"{""Travel"": 2, ""Calendar & Time"": 1}",Social
apartment,"{""Travel"": 2, ""Calendar & Time"": 1}",Activities
apple,"{""Travel"": 2, ""Calendar & Time"": 1}",Food
apron,"{""Travel"": 2, ""Calendar & Time"": 1}",Shopping
are,"{""Travel"": 2, ""Calendar & Time"": 1}",Numbers
area,"{""Travel"": 2, ""Calendar & Time"": 1}",Grammar
arm,"{""Travel"": 2, ""Calendar & Time"": 1}",Shopping
around,"{""Travel"": 2, ""Calendar & Time"": 2, ""Events & Activities"": 1, ""Food"": 2}",Food
arrive,"{""Travel"": 3, ""Social"": 3}",Social
art,"{""Travel"": 3, ""Social"": 3}",Social
article,"{""Travel"": 3, ""Social"": 3}",Social
artist,"{""Travel"": 3, ""Social"": 3}",Professional
as,"{""Travel"": 3, ""Social"": 3}",Numbers
ask,"{""Travel"": 3, ""Social"": 3}",Social
at,"{""Travel"": 3, ""Social"": 3}",Numbers
aunt,"{""Travel"": 3, ""Social"": 3}",Social
autumn,"{""Travel"": 3, ""Social"": 3}",Numbers
away,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Travel
baby,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Social
back,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Health
bad,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Social
bag,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Travel
ball,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Social
banana,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Food
band,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Social
bank,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Shopping
bank,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Shopping
bar,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Numbers
baseball,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Shopping
basketball,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Shopping
bat,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Shopping
bath,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Numbers
bathroom,"{""Events & Activities"": 2, ""Travel"": 4, ""Calendar & Time"": 4, ""Opinions & Communication"": 1}",Activities
be,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Social
beach,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Home
bean,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Food
bear,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Social
beautiful,"{""Medical & Health"": 2, ""Feelings & Emotions"": 2, ""Numbers & Quantities"": 1, ""Events & Activities"": 1, ""Opinions & Communication"": 1, ""Food"": 2, ""Calendar & Time"": 1}",Food
because,"{""Medical & Health"": 2, ""Feelings & Emotions"": 2, ""Numbers & Quantities"": 1, ""Events & Activities"": 1, ""Opinions & Communication"": 1, ""Food"": 2, ""Calendar & Time"": 1}",Social
bright,"{""Numbers & Quantities"": 1, ""Travel"": 2, ""Food"": 2}",Food
complete,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Food
computer,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Professional
concert,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Activities
contest,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Activities
conversation,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Social
cook,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Activities
cookie,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Food
cooking,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Activities
cool,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Abstract
cop,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Social
copy,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Social
corn,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Food
corner,"{""Food"": 4, ""Calendar & Time"": 1, ""Social"": 3, ""Travel"": 2, ""Opinions & Communication"": 3}",Shopping
correct,"{""Social"": 6, ""Numbers & Quantities"": 1, ""Opinions & Communication"": 5, ""Travel"": 5, ""Medical & Health"": 3, ""Food"": 2, ""Events & Activities"": 1, ""Calendar & Time"": 1}",Social
cost,"{""Social"": 6, ""Numbers & Quantities"": 1, ""Opinions & Communication"": 5, ""Travel"": 5, ""Medical & Health"": 3, ""Food"": 2, ""Events & Activities"": 1, ""Calendar & Time"": 1}",Shopping
couch,"{""Social"": 6, ""Numbers & Quantities"": 1, ""Opinions & Communication"": 5, ""Travel"": 5, ""Medical & Health"": 3, ""Food"": 2, ""Events & Activities"": 1, ""Calendar & Time"": 1}",Shopping
dangerous,"{""Food"": 2, ""Medical & Health"": 2, ""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1, ""Events & Activities"": 1}",Food
dark,"{""Food"": 2, ""Medical & Health"": 2, ""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1, ""Events & Activities"": 1}",Numbers
date,"{""Food"": 2, ""Medical & Health"": 2, ""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1, ""Events & Activities"": 1}",Food
daughter,"{""Food"": 2, ""Medical & Health"": 2, ""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1, ""Events & Activities"": 1}",Social
day,"{""Food"": 2, ""Medical & Health"": 2, ""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1, ""Events & Activities"": 1}",Numbers
dear,"{""Food"": 2, ""Medical & Health"": 2, ""Feelings & Emotions"": 1, ""Numbers & Quantities"": 1, ""Events & Activities"": 1}",Social
difficult,"{""Food"": 2, ""Calendar & Time"": 1}",Food
dig,"{""Food"": 2, ""Calendar & Time"": 1}",Social
dining,"{""Food"": 2, ""Calendar & Time"": 1}",Activities
dinner,"{""Food"": 2, ""Calendar & Time"": 1}",Food
easy,"{""Food"": 2, ""Feelings & Emotions"": 1, ""Calendar & Time"": 3, ""Travel"": 2}",Numbers
ever,"{""Calendar & Time"": 2, ""Travel"": 2}",Travel
every,"{""Events & Activities"": 1, ""Food"": 2, ""Calendar & Time"": 1}",Food
everyday,"{""Travel"": 2, ""Calendar & Time"": 3, ""Events & Activities"": 1}",Numbers
everywhere,"{""Travel"": 2, ""Food"": 2}",Food
exam,"{""Travel"": 2, ""Food"": 2}",Professional
example,"{""Travel"": 2, ""Food"": 2}",Social
exciting,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Emotions
excuse,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Social
exercise,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Activities
expensive,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Shopping
explain,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Social
extra,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Social
eye,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Grammar
face,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Social
fact,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Social
factory,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Shopping
fair,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Professional
fairy,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Social
fall,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Numbers
family,"{""Feelings & Emotions"": 3, ""Opinions & Communication"": 2, ""Travel"": 2, ""Food"": 2}",Social
follow,"{""Travel"": 17, ""Calendar & Time"": 4, ""Social"": 18, ""Opinions & Communication"": 6, ""Food"": 2}",Social
following,"{""Travel"": 17, ""Calendar & Time"": 4, ""Social"": 18, ""Opinions & Communication"": 6, ""Food"": 2}",Professional
food,"{""Travel"": 17, ""Calendar & Time"": 4, ""Social"": 18, ""Opinions & Communication"": 6, ""Food"": 2}",Food
foot,"{""Travel"": 17, ""Calendar & Time"": 4, ""Social"": 18, ""Opinions & Communication"": 6, ""Food"": 2}",Numbers
football,"{""Travel"": 17, ""Calendar & Time"": 4, ""Social"": 18, ""Opinions & Communication"": 6, ""Food"": 2}",Shopping
happen,"{""Calendar & Time"": 2, ""Events & Activities"": 1, ""Social"": 3}",Social
happy,"{""Calendar & Time"": 2, ""Events & Activities"": 1, ""Social"": 3}",Emotions
hard,"{""Food"": 6, ""Calendar & Time"": 6, ""Numbers & Quantities"": 1, ""Medical & Health"": 2}",Food
healthy,"{""Medical & Health"": 2, ""Travel"": 2, ""Feelings & Emotions"": 1, ""Opinions & Communication"": 1, ""Numbers & Quantities"": 1}",Travel
hear,"{""Opinions & Communication"": 3, ""Social"": 3, ""Calendar & Time"": 1}",Social
heart,"{""Opinions & Communication"": 3, ""Social"": 3, ""Calendar & Time"": 1}",Health
heavy,"{""Opinions & Communication"": 3, ""Social"": 3, ""Calendar & Time"": 1}",Social
hello,"{""Opinions & Communication"": 3, ""Social"": 3, ""Calendar & Time"": 1}",Social
help,"{""Opinions & Communication"": 3, ""Social"": 3, ""Calendar & Time"": 1}",Social
hide,"{""Events & Activities"": 1, ""Food"": 2}",Food
high,"{""Events & Activities"": 1, ""Food"": 2}",Shopping
hill,"{""Events & Activities"": 1, ""Food"": 2}",Social
important,"{""Food"": 2, ""Calendar & Time"": 1, ""Travel"": 2}",Food
include,"{""Opinions & Communication"": 3, ""Social"": 3}",Social
information,"{""Opinions & Communication"": 3, ""Social"": 3}",Social
inside,"{""Opinions & Communication"": 3, ""Social"": 3}",Professional
interest,"{""Opinions & Communication"": 3, ""Social"": 3}",Grammar
interested,"{""Calendar & Time"": 1, ""Events & Activities"": 1, ""Travel"": 2}",Travel
is,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Social
island,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Shopping
it,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Grammar
item,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Social
its,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Grammar
jacket,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Food
jeans,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Shopping
jet,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Shopping
jewelry,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Shopping
job,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Professional
join,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Professional
journey,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Travel
judge,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Social
juice,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Food
jump,"{""Calendar & Time"": 3, ""Social"": 3, ""Food"": 2}",Social
