"English","Italian","IPA"
"It's 1 o'clock.","È l'una.","[ɛ ˈluna]"
"It's 1 in the afternoon.","È l'una del pomeriggio.","[ɛ ˈluna del pomeˈridʒo]"
"It's 1:15.","È l'una e un quarto.","[ɛ ˈluna e un ˈkwarto]"
"It's 1:30.","È l'una e mezza.","[ɛ ˈluna e ˈmɛddza]"
"It's 1:45.","Sono le 2 meno un quarto.","[ˈsono le ˈdu.e ˈmeno un ˈkwarto]"
"It's 12:45.","È l'una meno un quarto.","[ɛ ˈluna ˈmeno un ˈkwarto]"
"It's 24:45.","È l'una meno un quarto.","[ɛ ˈluna ˈmeno un ˈkwarto]"
"It's 2:15.","Sono le 2 e un quarto.","[ˈsono le ˈdu.e e un ˈkwarto]"
"It's 2:30.","Sono le 2 e mezza.","[ˈsono le ˈdu.e e ˈmɛddza]"
"It's 2:45.","Sono le 3 meno un quarto.","[ˈsono le ˈtrɛ ˈmeno un ˈkwarto]"
"It's 2 o'clock.","Sono le 2.","[ˈsono le ˈdu.e]"
"It's 3:15.","Sono le 3 e un quarto.","[ˈsono le ˈtrɛ e un ˈkwarto]"
"It's 3:30.","Sono le 3 e mezza.","[ˈsono le ˈtrɛ e ˈmɛddza]"
"It's 3:45.","Sono le 4 meno un quarto.","[ˈsono le ˈkwattro ˈmeno un ˈkwarto]"
"It's 3 o'clock.","Sono le 3.","[ˈsono le ˈtrɛ]"
"It's 4:15.","Sono le 4 e un quarto.","[ˈsono le ˈkwattro e un ˈkwarto]"
"It's 4:30.","Sono le 4 e mezza.","[ˈsono le ˈkwattro e ˈmɛddza]"
"It's 4:45.","Sono le 5 meno un quarto.","[ˈsono le ˈtʃiŋkwe ˈmeno un ˈkwarto]"
"It's 4 o'clock.","Sono le 4.","[ˈsono le ˈkwattro]"
"It's 5:15.","Sono le 5 e un quarto.","[ˈsono le ˈtʃiŋkwe e un ˈkwarto]"
"It's 5:30.","Sono le 5 e mezza.","[ˈsono le ˈtʃiŋkwe e ˈmɛddza]"
"It's 5:45.","Sono le 6 meno un quarto.","[ˈsono le ˈsɛi ˈmeno un ˈkwarto]"
"It's 5 o'clock.","Sono le 5.","[ˈsono le ˈtʃiŋkwe]"
"It's 6:15.","Sono le 6 e un quarto.","[ˈsono le ˈsɛi e un ˈkwarto]"
"It's 6:30.","Sono le 6 e mezza.","[ˈsono le ˈsɛi e ˈmɛddza]"
"It's 6:45.","Sono le 7 meno un quarto.","[ˈsono le ˈsɛtte ˈmeno un ˈkwarto]"
"It's 6 o'clock.","Sono le 6.","[ˈsono le ˈsɛi]"
"It's 7:15.","Sono le 7 e un quarto.","[ˈsono le ˈsɛtte e un ˈkwarto]"
"It's 7:30.","Sono le 7 e mezza.","[ˈsono le ˈsɛtte e ˈmɛddza]"
"It's 7:45.","Sono le 8 meno un quarto.","[ˈsono le ˈɔtto ˈmeno un ˈkwarto]"
"It's 7 o'clock.","Sono le 7.","[ˈsono le ˈsɛtte]"
"It's 8:15.","Sono le 8 e un quarto.","[ˈsono le ˈɔtto e un ˈkwarto]"
"It's 8:30.","Sono le 8 e mezza.","[ˈsono le ˈɔtto e ˈmɛddza]"
"It's 8:45.","Sono le 9 meno un quarto.","[ˈsono le ˈnɔve ˈmeno un ˈkwarto]"
"It's 8 o'clock.","Sono le 8.","[ˈsono le ˈɔtto]"
"It's 9:15.","Sono le 9 e un quarto.","[ˈsono le ˈnɔve e un ˈkwarto]"
"It's 9:30.","Sono le 9 e mezza.","[ˈsono le ˈnɔve e ˈmɛddza]"
"It's 9:45.","Sono le 10 meno un quarto.","[ˈsono le ˈdjɛtʃi ˈmeno un ˈkwarto]"
"It's 9 o'clock.","Sono le 9.","[ˈsono le ˈnɔve]"
"It's 10:15.","Sono le 10 e un quarto.","[ˈsono le ˈdjɛtʃi e un ˈkwarto]"
"It's 10:30.","Sono le 10 e mezza.","[ˈsono le ˈdjɛtʃi e ˈmɛddza]"
"It's 10:45.","Sono le 11 meno un quarto.","[ˈsono le ˈunditʃi ˈmeno un ˈkwarto]"
"It's 10 o'clock.","Sono le 10.","[ˈsono le ˈdjɛtʃi]"
"It's 11:15.","Sono le 11 e un quarto.","[ˈsono le ˈunditʃi e un ˈkwarto]"
"It's 11:30.","Sono le 11 e mezza.","[ˈsono le ˈunditʃi e ˈmɛddza]"
"It's 11:45.","Sono le 12 meno un quarto.","[ˈsono le ˈdɔditʃi ˈmeno un ˈkwarto]"
"It's 11 o'clock.","Sono le 11.","[ˈsono le ˈunditʃi]"
"It's noon.","È mezzogiorno.","[ɛ mettsodʒorˈno]"
"It's midnight.","È mezzanotte.","[ɛ mettsaˈnɔtte]"
"It's 12:15.","Sono le 12 e un quarto.","[ˈsono le ˈdɔditʃi e un ˈkwarto]"
"It's 12:30.","Sono le 12 e mezza.","[ˈsono le ˈdɔditʃi e ˈmɛddza]"
"It's 13:00.","Sono le 13.","[ˈsono le ˈtreditʃi]"
"It's 13:15.","Sono le 13 e un quarto.","[ˈsono le ˈtreditʃi e un ˈkwarto]"
"It's 13:30.","Sono le 13 e mezza.","[ˈsono le ˈtreditʃi e ˈmɛddza]"
"It's 13:45.","Sono le 14 meno un quarto.","[ˈsono le kwattorˈditʃi ˈmeno un ˈkwarto]"
"It's 14:00.","Sono le 14.","[ˈsono le kwattorˈditʃi]"
"It's 14:15.","Sono le 14 e un quarto.","[ˈsono le kwattorˈditʃi e un ˈkwarto]"
"It's 14:30.","Sono le 14 e mezza.","[ˈsono le kwattorˈditʃi e ˈmɛddza]"
"It's 14:45.","Sono le 15 meno un quarto.","[ˈsono le ˈkwinditʃi ˈmeno un ˈkwarto]"
"It's 15:00.","Sono le 15.","[ˈsono le ˈkwinditʃi]"
"It's 15:15.","Sono le 15 e un quarto.","[ˈsono le ˈkwinditʃi e un ˈkwarto]"
"It's 15:30.","Sono le 15 e mezza.","[ˈsono le ˈkwinditʃi e ˈmɛddza]"
"It's 15:45.","Sono le 16 meno un quarto.","[ˈsono le ˈseditʃi ˈmeno un ˈkwarto]"
"It's 16:00.","Sono le 16.","[ˈsono le ˈseditʃi]"
