term,votes,chosen,confidence,margin
august,"{""wordnet_lexnames"": [""adj.all"", ""noun.time""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Time & Quantity""], ""vote_detail"": null}",Time & Quantity,,
buddhist,"{""wordnet_lexnames"": [""adj.pert"", ""noun.person""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
buddhism,"{""wordnet_lexnames"": [""noun.cognition"", ""noun.group""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Professional""], ""vote_detail"": null}",Grammar,,
buddha,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
doctor,"{""wordnet_lexnames"": [""noun.act"", ""noun.person"", ""verb.body"", ""verb.change""], ""mapped_categories"": [""Activities"", ""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
false,"{""wordnet_lexnames"": [""adj.all"", ""adv.all""], ""mapped_categories"": [""Abstract"", ""Grammar""], ""vote_detail"": null}",Grammar,,
i,"{""wordnet_lexnames"": [""adj.all"", ""noun.communication"", ""noun.quantity"", ""noun.substance""], ""mapped_categories"": [""Abstract"", ""Grammar"", ""Social"", ""Time & Quantity""], ""vote_detail"": null}",Social,,
internet,"{""wordnet_lexnames"": [""noun.artifact""], ""mapped_categories"": [""Home"", ""Shopping"", ""Travel""], ""vote_detail"": null}",Shopping,,
march,"{""wordnet_lexnames"": [""noun.act"", ""noun.communication"", ""noun.group"", ""noun.location"", ""noun.time"", ""verb.contact"", ""verb.motion"", ""verb.social""], ""mapped_categories"": [""Activities"", ""Grammar"", ""Home"", ""Professional"", ""Social"", ""Time & Quantity"", ""Travel""], ""vote_detail"": null}",Social,,
miss,"{""wordnet_lexnames"": [""noun.communication"", ""noun.event"", ""noun.person"", ""verb.cognition"", ""verb.communication"", ""verb.contact"", ""verb.emotion"", ""verb.motion"", ""verb.perception"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Professional"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
mr.,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
mrs.,"{""wordnet_lexnames"": [""noun.communication""], ""mapped_categories"": [""Grammar"", ""Social""], ""vote_detail"": null}",Social,,
miss,"{""wordnet_lexnames"": [""noun.communication"", ""noun.event"", ""noun.person"", ""verb.cognition"", ""verb.communication"", ""verb.contact"", ""verb.emotion"", ""verb.motion"", ""verb.perception"", ""verb.stative""], ""mapped_categories"": [""Activities"", ""Emotions"", ""Grammar"", ""Health"", ""Professional"", ""Social"", ""Travel""], ""vote_detail"": null}",Social,,
sir,"{""wordnet_lexnames"": [""noun.person""], ""mapped_categories"": [""Health"", ""Professional"", ""Social""], ""vote_detail"": null}",Social,,
